Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Contact Rating @ Voltage","Actuator Type","Mounting Type","Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Termination Style","Outline","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Operating Force","Ingress Protection","Features","Operating Temperature"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1786-2-ND,KSC621GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,31500,0,"0.41473","0","750","Tape & Reel (TR)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1786-1-ND,KSC621GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,31982,0,"0.67000","0","1","Cut Tape (CT)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1786-6-ND,KSC621GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,31982,0,"Digi-Reel","0","1","Digi-Reel®","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MFG_KSC621JLFS.jpg,401-1748-2-ND,KSC621J LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,24000,0,"0.41473","0","750","Tape & Reel (TR)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621J,%20KSC641J.jpg",401-1748-1-ND,KSC621J LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,24676,0,"0.67000","0","1","Cut Tape (CT)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621J,%20KSC641J.jpg",401-1748-6-ND,KSC621J LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,24676,0,"Digi-Reel","0","1","Digi-Reel®","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","170gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621J,%20KSC641J.jpg",401-1788-2-ND,KSC641JLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,17250,0,"0.41473","0","750","Tape & Reel (TR)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621J,%20KSC641J.jpg",401-1788-1-ND,KSC641JLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,18030,0,"0.67000","0","1","Cut Tape (CT)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621J,%20KSC641J.jpg",401-1788-6-ND,KSC641JLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,18030,0,"Digi-Reel","0","1","Digi-Reel®","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","J Lead","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1787-2-ND,KSC641GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,12750,0,"0.41473","0","750","Tape & Reel (TR)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1787-1-ND,KSC641GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,13285,0,"0.67000","0","1","Cut Tape (CT)","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1459/ksc.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/KSC621G,%20KSC641G.jpg",401-1787-6-ND,KSC641GLFS,C&K,SWITCH TACTILE SPST-NO 0.05A 32V,13285,0,"Digi-Reel","0","1","Digi-Reel®","KSC","Active","SPST-NO","Off-Mom","0.05A @ 32VDC","Standard","Surface Mount","7.70mm","-","Top Actuated","Gull Wing","6.20mm x 6.20mm","Non-Illuminated","-","-","340gf","IP67 - Dust Tight, Waterproof","-","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/B3F-4055.jpg,SW414-ND,B3F-4055,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,168250,64500,"0.42000","0","1","Bulk","B3F","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Plunger for Cap","Through Hole","7.30mm","-","Top Actuated","PC Pin","12.00mm x 12.00mm","Non-Illuminated","-","-","260gf","-","-","-25°C ~ 70°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/B3F-3150.jpg,SW409-ND,B3F-3150,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,27638,66000,"0.42000","0","1","Bulk","B3F","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Plunger for Cap","Through Hole, Right Angle","-","6.15mm","Side Actuated","PC Pin","7.30mm x 6.25mm","Non-Illuminated","-","-","100gf","-","Grounding Pin","-25°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/MJTP%20Series.pdf,//media.digikey.com/Photos/APEM%20Comp%20Photos/MJTP1140ATR.jpg,679-2420-2-ND,MJTP1140ATR,APEM Inc.,SWITCH TACTILE SPST-NO 0.05A 12V,37400,6800,"0.43500","0","3400","Tape & Reel (TR)","MJTP","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","1.50mm","-","Top Actuated","Gull Wing","4.20mm x 4.20mm","Non-Illuminated","-","-","260gf","-","Tactile Feedback","-20°C ~ 70°C"
