Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Operating Temperature"
https://www.nkkswitches.com/pdf/MSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MS22ANW03-RO.jpg,360-2387-ND,MS22ANW03,NKK Switches,SWITCH SLIDE DPDT 6A 125V,881,2709,"4.92000","0","1","Bulk","MS","Active","DPDT","Non-Shorting (BBM)","On-On","6A (AC)","125V","-","Standard","5.10mm","Silver Alloy","Silver","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS22AP,%20AS23AP.jpg",360-2129-ND,AS23AP,NKK Switches,SWITCH SLIDE DPDT 0.4VA 28V,249,274,"5.01000","0","1","Tray","AS","Active","DPDT","Non-Shorting (BBM)","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1427/v.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/V80214MS02Q.jpg,CKC3008-ND,V80214MS02Q,C&K,SWITCH SLIDE DPDT 10A 125V,162,0,"5.07000","0","1","Bulk","V","Active","DPDT","Not Specified","On-On","10A (AC), 4A (DC)","125V","30V","Screwdriver Slot","Flush","Copper","Silver","Through Hole","PC Pin","O - Marking","-30°C ~ 85°C"
https://www.nkkswitches.com/pdf/MSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MS12ANA03-RO.jpg,360-3456-ND,MS12ANA03,NKK Switches,SWITCH SLIDE SPDT 6A 125V,726,345,"5.15000","0","1","Tray","MS","Active","SPDT","Non-Shorting (BBM)","On-On","6A (AC)","125V","-","Standard","5.10mm","Silver Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/es.pdf,//media.digikey.com/Photos/Copal%20Photos/ES115A12-Z.jpg,563-1602-ND,ES115A12-Z,Nidec Copal Electronics,SWITCH SLIDE SPST 15A 125V,317,0,"5.25000","0","1","Bulk","ES","Active","SPST","Non-Shorting (BBM)","On-Off","15A (AC)","125V","-","Standard","9.00mm","-","-","Panel Mount","Solder Lug","-","-"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=854,//media.digikey.com/photos/APEM%20Comp%20Photos/GH39S010001.JPG,679-1883-ND,GH39S010001,APEM Inc.,SWITCH SLIDE SPDT 3A 30V,173,100,"5.41000","0","1","Bulk","G","Active","SPDT","Not Specified","On-Off-On","3A (DC)","-","30V","Standard","5.10mm","Silver (Ag)","-","Panel Mount","Solder Lug","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M1S3ZGE2.JPG,CKN5060-ND,1101M1S3ZGE2,C&K,SWITCH SLIDE SPDT 6A 120V,110,0,"5.59000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","5.08mm","Copper","Gold","Panel Mount","Solder Lug","Black Actuator, Epoxy Sealed Terminals","-30°C ~ 65°C"
https://www.ckswitches.com/media/1423/l.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/L202021MA04Q.jpg,CKN10653-ND,L202021MA04QE,C&K,SWITCH SLIDE DPDT 4A 125V,824,0,"5.60000","0","1","Bulk","L","Active","DPDT","Not Specified","On-On","4A (AC/DC)","125V","28V","Standard","8.51mm","Copper","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals","-30°C ~ 65°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_AS22AV-RO.jpg,360-3410-ND,AS22AV,NKK Switches,SWITCH SLIDE DPDT 0.4VA 28V,1906,1464,"5.61000","0","1","Tray","AS","Active","DPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/1101M2S5CQE2.JPG,CKN10602-ND,1101M2S5CQE2,C&K,SWITCH SLIDE SPDT 6A 120V,1453,0,"5.64000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","9.40mm","Copper","Silver","Through Hole","PC Pin","Black Actuator, Epoxy Sealed Terminals","-30°C ~ 65°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_AS24AP.jpg,AS24AP-ND,AS24AP,NKK Switches,SWITCH SLIDE SP3T 0.4VA 28V,299,757,"5.71000","0","1","Tray","AS","Active","SP3T","Non-Shorting (BBM)","On-On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole","PC Pin","Jumper needed to achieve triple throw","-30°C ~ 85°C"
