Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Mounting Type","Termination Style","Ingress Protection","Features","Operating Force","Release Force","Pretravel","Differential Travel","Overtravel","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-ss_p.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/SS-01GL13PD,%20SS-3GL13PD,%20SS-3GL13PB,%20SS-01GL13PB.jpg",SW771-ND,SS-3GL13PD,Omron Electronics Inc-EMC Div,SWITCH SNAP ACTION SPDT 3A 125V,1676,0,"1.18000","0","1","Tray","SS-P","Active","SPDT","On-Mom","3A (AC/DC)","125V","30V","Lever, Simulated Roller","Through Hole","PC Pin","IP40","-","51gf","5.099gf","-","0.031"" (0.8mm)","0.039"" (1.0mm)","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-ss_p.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/SS-3FL111P-3T.JPG,Z6377-ND,SS-3FL111P-3T,Omron Electronics Inc-EMC Div,SWITCH SNAP ACT SPST-NO 3A 125V,1494,0,"1.18000","0","1","Bulk","SS-P","Active","SPST-NO","Off-Mom","3A (AC/DC)","125V","30V","Lever, Straight","Chassis Mount","Quick Connect - 0.110"" (2.8mm)","IP40","-","56gf","1.020gf","-","0.118"" (3.0mm)","0.040"" (1.0mm)","-25°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/C&K/MS-118405-H.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MS-118405-H.JPG,CKN10386-ND,MS-118405-H,C&K,SWITCH SNAP ACT SPDT 100MA 30V,5068,0,"1.24000","0","1","Bulk","MS, COMAX","Active","SPDT","On-Mom","100mA (DC)","-","30V","Lever, Simulated Roller","Chassis Mount","Solder Lug","-","-","25gf","5.000gf","-","0.020"" (0.5mm)","0.020"" (0.5mm)","-"
https://www.ckswitches.com/media/1320/sds.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/SDS002R.jpg,401-1738-ND,SDS002,C&K,SWITCH DETECT SPST-NC 100MA 12V,1956,0,"1.29000","0","1","Bulk","SDS","Active","SPST-NC","On-Mom","100mA (DC)","-","12V","Overtravel Plunger","Surface Mount, Right Angle","SMD (SMT) Tab","-","-","75gf","-","-","-","0.079"" (2.0mm)","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-ss_p.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/SS-01GL13PD,%20SS-3GL13PD,%20SS-3GL13PB,%20SS-01GL13PB.jpg",SW783-ND,SS-01GL13PD,Omron Electronics Inc-EMC Div,SWITCH SNAP ACT SPDT 100MA 125V,7331,0,"1.31000","0","1","Tray","SS-P","Active","SPDT","On-Mom","100mA (AC/DC)","125V","30V","Lever, Simulated Roller","Through Hole","PC Pin","IP40","-","51gf","5.099gf","-","0.031"" (0.8mm)","0.039"" (1.0mm)","-25°C ~ 85°C"
https://www.ckswitches.com/media/1320/sds.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/SDS004R.jpg,CKN9484-ND,SDS004,C&K,SWITCH DETECT SPST-NO 100MA 12V,3000,0,"1.32000","0","1","Tray","SDS","Active","SPST-NO","Off-Mom","100mA (DC)","-","12V","Overtravel Plunger","Surface Mount, Right Angle","SMD (SMT) Tab","-","-","75gf","-","-","-","0.079"" (2.0mm)","-40°C ~ 85°C"
https://www.e-switch.com/system/asset/product_line/data_sheet/125/SS.pdf,//media.digikey.com/Photos/E-Switch%20Photos/SS075Q103F020V1A.jpg,EG4930-ND,SS075Q103F020V1A,E-Switch,SWITCH SNAP ACT SPDT 100MA 125V,2631,0,"1.33000","0","1","Bulk","SS","Active","SPDT","On-Mom","100mA (AC)","125V","-","Lever, Simulated Roller","Through Hole, Right Angle","PC Pin","-","-","20gf","5.000gf","0.053"" (1.35mm)","-","-","-25°C ~ 75°C"
http://spec_sheets.e-switch.com/specs/Q970028.pdf,//media.digikey.com/Photos/E-Switch%20Photos/MS0850502F030P1A.JPG,EG5141-ND,MS0850502F030P1A,E-Switch,SWITCH SNAP ACTION SPDT 5A 125V,4556,0,"1.34000","0","1","Bulk","MS","Active","SPDT","On-Mom","5A (AC)","125V","-","Lever, Straight","Through Hole","PC Pin","-","-","30gf","12gf","0.150"" (3.8mm)","-","-","-25°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/Q970016.pdf,//media.digikey.com/photos/E-Switch%20Photos/MS0850503F025S1A.JPG,EG4545-ND,MS0850503F025S1A,E-Switch,SWITCH SNAP ACTION SPDT 5A 125V,1379,0,"1.34000","0","1","Bulk","MS","Active","SPDT","On-Mom","5A (AC)","125V","-","Lever, Straight","Chassis Mount","Solder Lug","-","-","25gf","12gf","0.172"" (4.4mm)","-","-","-25°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/Q970006.pdf,//media.digikey.com/photos/E-Switch%20Photos/MS0850501F070S1A.JPG,EG4541-ND,MS0850501F070S1A,E-Switch,SWITCH SNAP ACTION SPDT 5A 125V,1181,0,"1.34000","0","1","Tray","MS","Active","SPDT","On-Mom","5A (AC)","125V","-","Lever, Straight","Chassis Mount","Solder Lug","-","-","70gf","25gf","0.140"" (3.6mm)","-","-","-25°C ~ 85°C"
