Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Color - Actuator/Cap","Actuator Marking","Illumination Type, Color","Illumination Voltage (Nominal)","Termination Style","Ingress Protection","Features","Panel Cutout Dimensions","Operating Temperature"
http://spec_sheets.e-switch.com/specs/M530771.pdf,//media.digikey.com/photos/E-Switch%20Photos/R5ABLKBLKFF0.jpg,EG1529-ND,R5ABLKBLKFF0,E-Switch,SWITCH ROCKER DPST 20A 125V,18950,0,"1.78000","0","1","Bulk","R5","Active","Panel Mount, Snap-In","DPST","On-Off","20A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.250"" (6.3mm)","-","-","Rectangular - 30.00mm x 22.20mm","-20°C ~ 55°C"
//media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/RC1083BBLKBLKFF0.pdf,//media.digikey.com/photos/E-Switch%20Photos/RC1083BBLKBLKFF.jpg,EG1505-ND,RC1083BBLKBLKFF0,E-Switch,SWITCH ROCKER DPST 8A 125V,3358,0,"1.85000","0","1","Bulk","RC1083","Active","Panel Mount, Snap-In","DPST","On-Off","8A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.30mm x 13.00mm","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/M301215.pdf,"//media.digikey.com/photos/E-Switch%20Photos/R1966ABLKBLKESGRN,%20R1966ABLKBLKESRED,%20R1966ABLKBLKESYEL.jpg",EG1859-ND,R1966ABLKBLKESGRN,E-Switch,SWITCH ROCKER SPST 15A 125V,7803,0,"1.98000","0","1","Bulk","R1966","Active","Panel Mount, Snap-In","SPST","On-Off","15A (AC)","125V","-","Concave (Curved) - Illuminated","Black","No Marking","LED, Green","2.2 VDC","Solder Lug","-","-","Rectangular - 19.40mm x 13.00mm","-30°C ~ 65°C"
//media.digikey.com/pdf/Data%20Sheets/CW%20Industries%20PDFs/GRB112A802BB.pdf,//media.digikey.com/Photos/CW%20Ind%20Photos/GRB112A802BB.jpg,CW102-ND,GRB112A802BB,CW Industries,SWITCH ROCKER SPST 16A 125V,8464,0,"2.71000","0","1","Bulk","GRB","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC), 10A (DC)","125V","28V","Round","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","IP65 - Dust Tight, Water Resistant","-","Circular - 20.20mm Dia","-20°C ~ 85°C"
http://switches-connectors-custom.cwind.com/Asset/GRB130A05BB2.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRB130A05BB2.jpg,SW651-ND,GRB130A05BB2,CW Industries,SWITCH ROCKER SPST 10A 125V,1413,0,"2.71000","0","1","Bulk","GRB","Active","Panel Mount, Threaded Body with Nut","SPST","On-Off","10A (AC)","125V","-","Round","Black","O -","-","-","Solder Lug","-","-","Circular - 18.20mm Dia","-25°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/M050215.pdf,"//media.digikey.com/photos/E-Switch%20Photos/R5BBLKREDFF1,%20R5BBLKREDFF3.jpg",EG1531-ND,R5BBLKREDFF1,E-Switch,SWITCH ROCKER DPST 20A 125V,6920,0,"2.72000","0","1","Bulk","R5","Active","Panel Mount, Snap-In","DPST","On-Off","20A (AC)","125V","-","Concave (Curved) - Illuminated","Red","O -","Neon, Red","125 VAC","Quick Connect - 0.250"" (6.3mm)","-","-","Rectangular - 30.00mm x 22.20mm","-20°C ~ 55°C"
http://spec_sheets.e-switch.com/specs/M050216.pdf,"//media.digikey.com/photos/E-Switch%20Photos/R5BBLKGRNFF1,%20R5BBLKGRNFF2,%20R5BBLKGRNFF3.jpg",EG1534-ND,R5BBLKGRNFF1,E-Switch,SWITCH ROCKER DPST 20A 125V,1600,0,"2.72000","0","1","Bulk","R5","Active","Panel Mount, Snap-In","DPST","On-Off","20A (AC)","125V","-","Concave (Curved) - Illuminated","Green","O -","Neon, Green","125 VAC","Quick Connect - 0.250"" (6.3mm)","-","-","Rectangular - 30.00mm x 22.20mm","-20°C ~ 55°C"
https://www.bulgin.com/products/pub/media/bulgin/data/A_Rocker%208600.pdf,//media.digikey.com/Photos/Arcolectric/H8600VBBB-577W.JPG,1091-1068-ND,H8600VBBBEN577,Bulgin,SWITCH ROCKER SPST 16A 250V,1081,0,"2.73000","0","1","Bulk","8600","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","250V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.30mm x 12.90mm","-"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2012/10/Rocker_KR_Datasheet_08-11-17.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/kre2ana1bbd.JPG,CH932-ND,KRE2ANA1BBD,ZF Electronics,SWITCH ROCKER SPST 16A 125V,4457,0,"2.75000","0","1","Bulk","KR","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC), 10A (DC)","125V","28V","Flat","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","IP65 - Dust Tight, Water Resistant","-","Rectangular - 19.40mm x 13.00mm","-25°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/F030000.pdf,//media.digikey.com/photos/E-Switch%20Photos/RR3130A%20.jpg,EG1889-ND,RR3130ABLKBLKFS,E-Switch,SWITCH ROCKER SPST 10A 125V,5384,0,"2.84000","0","1","Bulk","RR3130","Active","Panel Mount, Threaded Body with Nut","SPST","On-Off","10A (AC)","125V","-","Round","Black","O -","-","-","Solder Lug","-","-","Circular - 18.20mm Dia","0°C ~ 65°C"
