Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Number of Positions","Current Rating (Amps)","Voltage Rating","Actuator Type","Actuator Level","Contact Material","Contact Finish","Height Above Board","Mounting Type","Termination Style","Pitch","Washable","Features","Operating Temperature"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-4LPST.jpg,CT3110DKR-ND,218-4LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,13418,0,"Digi-Reel","0","1","Digi-Reel®","218","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-5LPST,%20219-5MST.jpg",CT2195MST-ND,219-5MST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,5167,0,"0.83000","0","1","Tube","219","Active","SPST","5","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825059&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/ADF04S04.JPG,1-1825059-3-ND,1-1825059-3,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE DIP SPST 100MA 24V,11889,0,"0.85000","0","1","Tube","ADF","Active","SPST","4","100mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.177"" (4.50mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","-","-30°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,"//media.digikey.com/photos/Grayhill%20Photos/90HBW04P,%2090HBW04PT.jpg",GH7625TR-ND,90HBW04PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9000,0,"0.85500","0","750","Tape & Reel (TR)","90HB","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,"//media.digikey.com/photos/Grayhill%20Photos/90HBW04P,%2090HBW04PT.jpg",GH7625CT-ND,90HBW04PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9488,0,"1.31000","0","1","Cut Tape (CT)","90HB","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,"//media.digikey.com/photos/Grayhill%20Photos/90HBW04P,%2090HBW04PT.jpg",GH7625DKR-ND,90HBW04PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9488,0,"Digi-Reel","0","1","Digi-Reel®","90HB","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/195.pdf,//media.digikey.com/photos/CTS%20Photos/195-4MST.jpg,CT1954MST-ND,195-4MST,CTS Electrocomponents,SWITCH PIANO DIP SPST 50MA 24V,9622,0,"0.88000","0","1","Tube","195","Active","SPST","4","50mA","24VDC","Piano","Raised","-","Tin","0.311"" (7.90mm)","Through Hole, Right Angle","PC Pin","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-40°C ~ 85°C"
https://katalog.we-online.de/em/datasheet/418117270901.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/418117270901.JPG,732-3831-5-ND,418117270901,Wurth Electronics Inc.,SWITCH SLIDE DIP SPST 25MA 24V,6352,0,"0.88000","0","1","Tube","WS-DITV","Active","SPST","1","25mA","24VDC","Slide (Standard)","Raised","-","Gold","0.189"" (4.80mm)","Through Hole","PC Pin","0.100"" (2.54mm), Full","No","-","-40°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/206.pdf,"//media.digikey.com/photos/CTS%20Photos/206-2,%20206-2ST.jpg",CT2062ST-ND,206-2ST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 50MA 24V,19952,0,"0.90000","0","1","Tube","206","Active","SPST","2","50mA","24VDC","Slide (Standard)","Raised","-","Gold","0.334"" (8.48mm)","Through Hole","PC Pin","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-6LPST,%20219-6MST.jpg",CT2196MST-ND,219-6MST,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,9458,0,"0.90000","0","1","Tube","219","Active","SPST","6","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
