Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2961215.pdf,//media.digikey.com/Photos/Phoenix%20Photos/REL-MR%20SERIES%20Relays.JPG,277-4889-ND,2961215,Phoenix Contact,RELAY GEN PURPOS DPDT 8A 24VDC,271,1420,"9.10000","0","1","Bulk","REL-MR","Active","Through Hole","24VDC","DPDT (2 Form C)","8A","250VAC - Max","17.0mA","Non Latching","-","PC Pin","-","-","-","-","7ms","3ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G4W(Rev.9-97).pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G4W-2212P-US-TV5-HP-DC24.jpg,Z964-ND,G4W-2214P-US-HP-DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE DPST 15A 24V,3630,4350,"11.10000","0","1","Bulk","G4W","Active","Through Hole","24VDC","DPST-NO (2 Form A)","10A","250VAC, 125VDC - Max","33.3mA","Non Latching","-","PC Pin","-","-","19.2 VDC","2.4 VDC","20ms","5ms","-25°C ~ 55°C","Silver Cadmium Oxide (AgCdO)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RT_Package&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/RT4S4T30.JPG,PB1259-ND,RT4S4LC4,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPDT 8A 24V,801,0,"9.32000","0","1","Tube","RT, SCHRACK","Active","DIN Rail","24VDC","DPDT (2 Form C)","8A","400VAC - Max","16.7mA","Non Latching","Lighted Indicator, Socket Included","Screw Terminal","-","-","16.8 VDC","2.4 VDC","-","-","-20°C ~ 85°C","Silver Nickel (AgNi)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RT_Package&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/RT4S4T30.JPG,PB1255-ND,RT3S4LC4,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPDT 16A 24V,472,0,"10.06000","0","1","Tube","RT, SCHRACK","Active","DIN Rail","24VDC","SPDT (1 Form C)","16A","400VAC - Max","16.7mA","Non Latching","Lighted Indicator, Socket Included","Screw Terminal","-","-","16.8 VDC","2.4 VDC","-","-","-20°C ~ 85°C","Silver Nickel (AgNi)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_T92&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/T92-SERIES.jpg,PB738-ND,T92P7A22-240,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPST 30A 240V,17179,0,"9.34000","0","1","Bulk","T92","Active","Chassis Mount","240VAC","DPST-NO (2 Form A)","30A","277VAC - Nom","16.7mA","Non Latching","-","Quick Connect - 0.250"" (6.3mm)","-","Class F","192 VAC","24 VAC","15ms","15ms","-55°C ~ 65°C","Silver Cadmium Oxide (AgCdO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6b.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G6B-1114P-US-DC12,%20G6B-1114P-US-DC24,G6B-1114P-US-DC6%20.jpg",Z2597-ND,G6BK-1114P-US-DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 5A 24V,1112,0,"9.37000","0","1","Tray","G6B","Active","Through Hole","24VDC","SPST-NO (1 Form A)","5A","380VAC, 125VDC - Max","11.7mA","Latching, Dual Coil","-","PC Pin","Sealed - Fully","-","16.8 VDC","-","10ms","10ms","-25°C ~ 70°C","Silver Alloy, Cadmium Free","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RE&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RE0300%20Series.jpg,PB746-ND,RE032012,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPST 6A 12V,2775,0,"9.80000","0","1","Tube","RE, SCHRACK","Active","Through Hole","12VDC","SPST-NO (1 Form A)","6A","400VAC - Max","16.7mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","8.4 VDC","1.2 VDC","10ms","5ms","-40°C ~ 70°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RT1_Inrush_Power&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/RT1-INRUSH.JPG,PB2003-ND,RTS3TF12,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPST 16A 12V,1715,0,"9.94000","0","1","Tube","RT1, Inrush, SCHRACK","Active","Through Hole","12VDC","SPST-NO (1 Form A)","16A","400VAC - Max","50.0mA","Latching, Dual Coil","-","PC Pin","Sealed - Flux Protection","Class F","8.4 VDC","-","10ms","10ms","-40°C ~ 85°C","Tungsten and AgSnO","General Purpose"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2906223.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2906223.JPG,277-12082-ND,2906223,Phoenix Contact,RELAY GEN PURPOSE DPDT 8A 12V,319,0,"10.05000","0","1","Bulk","RIF","Active","DIN Rail","12VDC","DPDT (2 Form C)","8A","250VAC, 250VDC - Max","33.0mA","Non Latching","Diode, Lighted Indicator, Socket Included","Spring Terminal","-","-","-","-","8ms","10ms","-40°C ~ 70°C","Silver Nickel (AgNi)","General Purpose"
https://assets.omron.com/m/29e17638638b1d35/original/G2R-_-S-Datasheet.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G2R-2-S-AC24S,%20G2R-2-S-AC120S,%20G2R-2-S-AC240S.jpg",Z1637-ND,G2R-2-S DC24(S),Omron Automation and Safety,RELAY GEN PURPOSE DPDT 5A 24V,1264,10919,"10.11000","0","1","Bulk","G2RS","Active","Socketable","24VDC","DPDT (2 Form C)","5A","380VAC, 125VDC - Max","21.6mA","Non Latching","-","Plug In","-","-","16.8 VDC","3.6 VDC","15ms","10ms","-40°C ~ 70°C","-","General Purpose"
