Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Operating Temperature","Must Operate Voltage","Must Release Voltage"
https://www.tdk-electronics.tdk.com/inf/100/ds/HVC135A_24.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_HVC135A-Series.jpg,495-77244-ND,B88269X1030C011,EPCOS (TDK),RELAY CONTACTR SPST 135A 24V HVC,9,0,"127.50000","0","1","Bulk","HVC135A","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","135A","450VDC - Max","Sealed - Hermetically","Stud, Wire Leads","-40°C ~ 85°C","18 VDC","2 VDC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1562-ND,CC75LA240,Carlo Gavazzi Inc.,3P CONT L 240V50/60HZ 2NO2NC,5,0,"129.03000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","75A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1561-ND,CC75LA120,Carlo Gavazzi Inc.,3P CONT L 120V50/60HZ 2NO2NC,4,0,"129.03000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","75A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","102 VAC","36 VAC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,-,A132275-ND,LEV200ABNAA,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 24V,6,0,"129.88000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","24VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","19 VDC","5 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/LEV200AKNAF.jpg,A132305-ND,LEV200AKNAF,"TE Connectivity Aerospace, Defense and Marine","LEV200AKNAF=RELAY, SPST-NO 72VDC",3,0,"130.42000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","72VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","57 VDC","12 VDC"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/J7KN_Mar2002.pdf,//media.digikey.com/Photos/Omron%20Auto/J7KN-14D-10-230.jpg,Z9652-ND,J7KN-14D-10 230,Omron Automation and Safety,CONTACTOR,3,0,"131.47000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-"
https://www.gavazzionline.com/pdf/CC50-CC65.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC65LA240.jpg,1864-1557-ND,CC65LA240,Carlo Gavazzi Inc.,3P CONT L 240V50/60HZ 2NO2NC,5,0,"131.67000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","65A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1563-ND,CC75SA120,Carlo Gavazzi Inc.,3P CONT S 120V 50/60HZ 2NO2NC,5,0,"131.67000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","75A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","102 VAC","36 VAC"
https://www.gavazzionline.com/pdf/CC75-CC100.pdf,-,1864-1564-ND,CC75SA240,Carlo Gavazzi Inc.,3P CONT S 240V 50/60HZ 2NO2NC,5,0,"131.67000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","75A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.gavazzionline.com/pdf/CC50-CC65.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC65LA240.jpg,1864-1556-ND,CC65LA120,Carlo Gavazzi Inc.,3P CONT L 120V50/60HZ 2NO2NC,4,0,"131.67000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","65A","690VAC - Max","Auxiliary Contacts","Box Lug","-5°C ~ 60°C","102 VAC","36 VAC"
