Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coil Type","Coil Current","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Features","Mounting Type","Termination Style","Operating Temperature"
https://industrial.panasonic.com/ac/cdn/e/control/relay/vehicle/catalog/mech_eng_cpp.pdf,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CP1A-12V,%20CP1-12V.jpg",255-6157-ND,CP1AH-N-12V,Panasonic Electric Works,CP POWER RELAY 1 FORM A 12V,94,0,"4.03000","0","1","Box","CP","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","20A","14VDC - Nom","6.5 VDC","1 VDC","10ms","10ms","-","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ2212P.JPG,255-5870-ND,ACJ2212P,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,40,0,"4.10000","0","1","Bulk","ACJ","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
http://www.panasonic-electric-works.com/eu-asset/en/downloads/ds_61204_en_cm_pd2014.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_CM-Series_SPDT_Socketable.jpg,255-3728-ND,CM1F-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 35A 12V,44,150,"4.68000","0","1","Bulk","CM","Active","Non Latching","125mA","12VDC","SPDT (1 Form C)","35A","14VDC - Nom","7 VDC","1.2 VDC","10ms","10ms","Sealed - Flux Protection","Socketable","Plug In","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,-,255-6149-ND,CB1-T-R-M-12V,Panasonic Electric Works,CB RELAY WITH ISO TERMINAL,34,0,"4.99000","0","1","Bulk","CB","Active","Non Latching","134mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Resistor, Sealed - Fully","Chassis Mount","Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ5x12P.JPG,255-5871-ND,ACJ5112P,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,66,0,"5.66000","0","1","Tube","ACJ","Active","Non Latching","66.7mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","6.5 VDC","0.8 VDC","10ms","10ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/CM_Relays_2012.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_CM-Series_SPDT_Socketable.jpg,255-6156-ND,CM1-R-24V,Panasonic Electric Works,CM RELAY 1 FORM C 24V,40,150,"5.86000","0","1","Bulk","CM","Active","Non Latching","75.0mA","24VDC","SPDT (1 Form C)","15A","28VDC - Nom","14 VDC","2.4 VDC","10ms","10ms","Resistor, Sealed - Fully","Socketable","Plug In","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_61201_en_ca.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CA1A-12V-N-5.JPG,255-6147-ND,CA1ASR-12V-N-5,Panasonic Electric Works,CA RELAY 1 FORM A 12V,39,0,"6.74000","0","1","Bulk","CA","Active","Non Latching","120mA","12VDC","SPST-NO (1 Form A)","20A","16VDC - Max","8 VDC","0.6 VDC","10ms","10ms","Resistor","Chassis Mount","Plug In","-30°C ~ 80°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CB1F-M-24V.jpg,255-6148-ND,CB1-T-M-12V,Panasonic Electric Works,CB RELAY HR 1 FORM C 12V,34,50,"7.44000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Chassis Mount","Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",255-6150-ND,CB1A-T-12V,Panasonic Electric Works,CB RELAY HR 1 FORM A 12V,49,0,"7.49000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CB1A-R-M-12V,%20CB1A-R-M-24V.jpg",255-6151-ND,CB1A-T-M-12V,Panasonic Electric Works,CB RELAY HR 1 FORM A 12V,40,0,"7.68000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Chassis Mount","Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
