Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Mounting Type","Termination Style","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G2RS.pdf,//media.digikey.com/Photos/Omron%20Auto/P2R-057P.jpg,Z11263-ND,P2R-057P,Omron Automation and Safety,RELAY SOCKET 5 POS THROUGH HOLE,5,0,"4.73000","0","1","G2RS","Active","Socket","5","Through Hole","PC Pin","G2R-1-S Relays"
https://www.littelfuse.com/~/media/commercial-vehicle/datasheets/automotive-fuse-holders/powr-blok-modules-datasheet.pdf,-,F11128-ND,03540535Z,Littelfuse Inc.,RELAY HSG 4POS WIRING HARNESS,20,0,"5.59000","0","1","-","Active","Housing","4","Wiring Harness","Quick Connect Terminals (Not Provided)","Power Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900932,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900932.jpg,277-17653-ND,2900932,Phoenix Contact,RELAY SOCKET DIN RAIL,22,0,"5.62000","0","1","RIF","Active","Socket","-","DIN Rail","Screw Terminal","Industrial Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900957,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900957.jpg,277-17650-ND,2900957,Phoenix Contact,RELAY SOCKET DIN RAIL,20,30,"5.62000","0","1","RIF","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900935,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900935.jpg,277-17654-ND,2900935,Phoenix Contact,RELAY SOCKET 8 POSITION DIN RAIL,20,0,"5.62000","0","1","RIF","Active","Socket","8","DIN Rail","Screw Terminal","Relays, 8 Pin Octal"
-,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/NC2-WS.JPG,255-6212-ND,NC2-WS,Panasonic Electric Works,RELAY SOCKET 8 POS CHASSIS MOUNT,20,0,"5.63000","0","1","NC","Active","Socket","8","Chassis Mount","Wire Wrap","NC2D Relays"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/7760056106_DS.pdf,//media.digikey.com/photos/Weidmuller/MFG_7760056106.jpg,281-3400-ND,7760056106,Weidmüller,RELAY SOCKET 8 POSITION DIN RAIL,16,1660,"5.80000","0","1","FS","Active","Socket","8","DIN Rail","Screw Terminal","RCM and DRM Relays"
-,"//media.digikey.com/Photos/Finder%20Relays,%20Inc/90.02.jpg",2066-90.02-ND,90.02,"Finder Relays, Inc.",SOCKET FOR 60.12 RELAYS,10,0,"6.29000","0","1","90","Active","Socket","8","DIN Rail","Screw Terminal","60.12 Relays"
https://www.gavazzionline.com/pdf/RCI-2017-DS.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/ZCI08.jpg,1864-2868-ND,ZCI08,Carlo Gavazzi Inc.,RELAY SOCKET 8 POSITION DIN RAIL,22,0,"6.60000","0","1","RCI","Active","Socket","8","DIN Rail","Screw Terminal","RCI Relays"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/7760056107_DS.pdf,//media.digikey.com/photos/Weidmuller/7760056107.jpg,281-3399-ND,7760056107,Weidmüller,RELAY SOCKET 14 POS DIN RAIL,2,1540,"6.68000","0","1","FS","Active","Socket","14","DIN Rail","Screw Terminal","RCM and DRM Relays"
