Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
http://www.crydom.com/en/products/catalog/p_b4c4.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB4C4.jpg,646-1058-ND,PB-4C4,Sensata-Crydom,I/O MODULE RACK 4 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","C4","4","Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16c4.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16C4.jpg,646-1059-ND,PB-16C4,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","C4","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crouzet-ssr.com/english/products/download/PB16C4T.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16C4.jpg,646-1060-ND,PB-16C4T,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","C4","16","Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16q.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16HQ.jpg,646-1070-ND,PB-16Q,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24q.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB24Q.jpg,646-1071-ND,PB-24Q,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b32q.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB32Q.jpg,646-1072-ND,PB-32Q,Sensata-Crydom,I/O MODULE RACK 32 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","32","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16-ND,PB-16,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crouzet-ssr.com/english/products/download/PB16H.pdf,-,PB16H-ND,PB-16H,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Standard","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16hq.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16HQ.jpg,PB16HQ-ND,PB-16HQ,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Quad","16","Header, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16M-ND,PB-16M,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16m.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16.jpg,PB16MC-ND,PB-16M-C,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Header, Screw Terminal Blocks","Standoffs"
