Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Output Type","Voltage - Input","Voltage - Load","Load Current","On-State Resistance (Max)","Termination Style","Package / Case","Supplier Device Package"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_gu2a_aqw21.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-8-SMT.jpg,255-3385-2-ND,AQW215AX,Panasonic Electric Works,SSR RELAY SPST-NO 300MA 0-100V,3000,0,"3.79400","0","1000","Tape & Reel (TR)","PhotoMOS™ AQW","Active","Surface Mount","SPST-NO (1 Form A) x 2","AC, DC","1.14VDC","0V ~ 100V","300mA","4 Ohms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_gu2a_aqw21.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/255-8-SMT.jpg,255-3385-1-ND,AQW215AX,Panasonic Electric Works,SSR RELAY SPST-NO 300MA 0-100V,3840,0,"7.15000","0","1","Cut Tape (CT)","PhotoMOS™ AQW","Active","Surface Mount","SPST-NO (1 Form A) x 2","AC, DC","1.14VDC","0V ~ 100V","300mA","4 Ohms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_dimensions.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-2126-2-ND,AQV258HAX,Panasonic Electric Works,SSR RELAY SPST-NO 20MA 0-1500V,14000,0,"3.83600","0","1000","Tape & Reel (TR)","PhotoMOS™ AQV","Not For New Designs","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1500V","20mA","500 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_dimensions.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-2126-1-ND,AQV258HAX,Panasonic Electric Works,SSR RELAY SPST-NO 20MA 0-1500V,14443,0,"7.23000","0","1","Cut Tape (CT)","PhotoMOS™ AQV","Not For New Designs","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1500V","20mA","500 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_dimensions.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-2126-6-ND,AQV258HAX,Panasonic Electric Works,SSR RELAY SPST-NO 20MA 0-1500V,14443,0,"Digi-Reel","0","1","Digi-Reel®","PhotoMOS™ AQV","Not For New Designs","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1500V","20mA","500 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://www.infineon.com/dgdl/pvg612.pdf?fileId=5546d462533600a401535683c1892937,//media.digikey.com/Renders/International%20Rectifier%20Renders/6-SMT.jpg,PVG612S-TPBFTR-ND,PVG612S-TPBF,Infineon Technologies,SSR RELAY SPST-NO 1A 0-60V,3750,0,"3.83971","0","750","Tape & Reel (TR)","PVG, HEXFET®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","1A","500 mOhms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMT"
https://www.infineon.com/dgdl/pvg612.pdf?fileId=5546d462533600a401535683c1892937,//media.digikey.com/Renders/International%20Rectifier%20Renders/6-SMT.jpg,PVG612S-TPBFCT-ND,PVG612S-TPBF,Infineon Technologies,SSR RELAY SPST-NO 1A 0-60V,4315,0,"6.76000","0","1","Cut Tape (CT)","PVG, HEXFET®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","1A","500 mOhms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMT"
https://www.infineon.com/dgdl/pvg612.pdf?fileId=5546d462533600a401535683c1892937,//media.digikey.com/Renders/International%20Rectifier%20Renders/6-SMT.jpg,PVG612S-TPBFDKR-ND,PVG612S-TPBF,Infineon Technologies,SSR RELAY SPST-NO 1A 0-60V,4315,0,"Digi-Reel","0","1","Digi-Reel®","PVG, HEXFET®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","1A","500 mOhms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMT"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g3vm_ay_dy.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_G3VM-41DY1(TR05).jpg,Z8606-ND,G3VM-41DY1,Omron Electronics Inc-EMC Div,SSR RELAY SPST-NO 2A 0-40V,8703,0,"3.85000","0","1","Tube","G3VM","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.27VDC","0V ~ 40V","2A","150 mOhms","Gull Wing","4-SMD (0.300"", 7.62mm)","4-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_rf1a_aqy22_m_cr10.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AQY225R2V.jpg,255-3391-2-ND,AQY221N3MY,Panasonic Electric Works,SSR RELAY SPST-NO 150MA 0-25V,21000,0,"3.91875","0","3500","Tape & Reel (TR)","PhotoMOS™ AQY","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC (RF)","1.14VDC","0V ~ 25V","150mA","7.5 Ohms","SMD (SMT) Tab","4-SMD (0.116"", 2.95mm)","4-SON"
