Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_tq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TQ2SS.JPG,255-3846-1-ND,TQ2SS-5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 5VDC,22851,0,"4.04000","0","1","Cut Tape (CT)","TQ-SMD","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","125VAC, 220VDC - Max","28.1mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","Telecom"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_tq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TQ2SS.JPG,255-3846-6-ND,TQ2SS-5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 5VDC,22851,0,"Digi-Reel","0","1","Digi-Reel®","TQ-SMD","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","125VAC, 220VDC - Max","28.1mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-3470-2-ND,TX2SA-12V-X,Panasonic Electric Works,RELAY TELECOM DPDT 2A 12VDC,5000,0,"2.29500","0","500","Tape & Reel (TR)","TX","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","220VDC - Max","11.7mA","Non Latching","-","Gull Wing","Sealed - Fully","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-3470-1-ND,TX2SA-12V-X,Panasonic Electric Works,RELAY TELECOM DPDT 2A 12VDC,5463,0,"4.04000","0","1","Cut Tape (CT)","TX","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","220VDC - Max","11.7mA","Non Latching","-","Gull Wing","Sealed - Fully","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-1035-2-ND,TX2SA-12V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 12VDC,3500,18000,"2.29500","0","500","Tape & Reel (TR)","TX","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","220VDC - Max","11.7mA","Non Latching","-","Gull Wing","Sealed - Fully","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-1788-2-ND,TX2SA-4.5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 4.5VDC,1500,0,"2.29500","0","500","Tape & Reel (TR)","TX","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","220VDC - Max","31.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-1788-1-ND,TX2SA-4.5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 4.5VDC,1626,0,"4.04000","0","1","Cut Tape (CT)","TX","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","220VDC - Max","31.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/TX_Series_Rev2010.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TX-GULL.jpg,255-1788-6-ND,TX2SA-4.5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 4.5VDC,1626,0,"Digi-Reel","0","1","Digi-Reel®","TX","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","220VDC - Max","31.0mA","Non Latching","-","Gull Wing","Sealed - Fully","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)","Telecom"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_tq.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/TQ2S%20SERIES.jpg,255-3849-2-ND,TQ2SL-5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 5VDC,500,500,"2.29500","0","500","Tape & Reel (TR)","TQ-SMD","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","125VAC, 220VDC - Max","28.1mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","Telecom"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_tq.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/TQ2S%20SERIES.jpg,255-3849-1-ND,TQ2SL-5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 5VDC,645,500,"4.04000","0","1","Cut Tape (CT)","TQ-SMD","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","125VAC, 220VDC - Max","28.1mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","Telecom"
