Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1)","Resistor - Emitter Base (R2)","DC Current Gain (hFE) (Min) @ Ic, Vce","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Frequency - Transition","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
http://www.onsemi.com/pub/Collateral/DTC114Y-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2214LT1GOSTR-ND,MMUN2214LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,54000,903000,"0.02169","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114Y-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2214LT1GOSCT-ND,MMUN2214LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,56994,903000,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114Y-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2214LT1GOSDKR-ND,MMUN2214LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,56994,903000,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC123J-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2235LT1GOSTR-ND,MMUN2235LT1G,ON Semiconductor,TRANS PREBIAS NPN 0.246W SOT-23,51000,0,"0.02169","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","2.2 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC123J-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2235LT1GOSCT-ND,MMUN2235LT1G,ON Semiconductor,TRANS PREBIAS NPN 0.246W SOT-23,52153,0,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","2.2 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC123J-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2235LT1GOSDKR-ND,MMUN2235LT1G,ON Semiconductor,TRANS PREBIAS NPN 0.246W SOT-23,52153,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","2.2 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA144E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2113LT1GOSTR-ND,MMUN2113LT1G,ON Semiconductor,TRANS PREBIAS PNP 0.4W SOT23-3,36000,39000,"0.02169","0","3000","Tape & Reel (TR)","-","Active","PNP - Pre-Biased","100mA","50V","47 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA144E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2113LT1GOSCT-ND,MMUN2113LT1G,ON Semiconductor,TRANS PREBIAS PNP 0.4W SOT23-3,38811,39000,"0.13000","0","1","Cut Tape (CT)","-","Active","PNP - Pre-Biased","100mA","50V","47 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA144E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2113LT1GOSDKR-ND,MMUN2113LT1G,ON Semiconductor,TRANS PREBIAS PNP 0.4W SOT23-3,38811,39000,"Digi-Reel","0","1","Digi-Reel®","-","Active","PNP - Pre-Biased","100mA","50V","47 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTA143Z-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2133LT1GOSTR-ND,MMUN2133LT1G,ON Semiconductor,TRANS PREBIAS PNP 246MW SOT23-3,36000,0,"0.02169","0","3000","Tape & Reel (TR)","-","Active","PNP - Pre-Biased","100mA","50V","4.7 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
