Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector Type","1st Connector Gender","1st Connector Number of Positions","1st Connector Number of Positions Loaded","1st Connector Shell Size - Insert","1st Connector Orientation","1st Connector Mounting Type","2nd Connector Type","2nd Connector Gender","2nd Connector Number of Positions","2nd Connector Number of Positions Loaded","2nd Connector Shell Size - Insert","2nd Connector Orientation","2nd Connector Mounting Type","Length","Assembly Configuration","Cable Type","Cable Material","Color","Shielding","Ingress Protection","Usage"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1402551_Dwg.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1402551.jpg,277-11800-ND,1402551,Phoenix Contact,CBL FMALE TO MALE 12P SHLD 9.84',263,68,"137.21000","0","1","-","Active","Receptacle","Male Pins","12","All","M12","A","Free Hanging (In-Line)","Plug","Female Sockets","12","All","M12","A","Free Hanging (In-Line)","9.84' (3.00m)","Standard","Round","Polyurethane (PUR)","Black","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1404940,//media.digikey.com/Photos/Phoenix%20Photos/1404940.jpg,277-16426-ND,1404940,Phoenix Contact,CBL FMALE TO MALE 12POS 16.4',112,0,"157.25000","0","1","-","Active","Receptacle","Male Pins","12","All","M12","A","Free Hanging (In-Line)","Plug","Female Sockets","12","All","M12","A","Free Hanging (In-Line)","16.40' (5.00m)","Standard","Round","Polyurethane (PUR)","Black","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7907_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AK323G%20SERIES.JPG,AE9875-ND,AK323G-2,Assmann WSW Components,CBL FMALE TO MALE 6P SHLD 6.56',232,0,"3.13000","0","1","-","Active","Receptacle","Male Pins","6","All","MiniDin","Keyed","Free Hanging (In-Line)","Plug","Female Sockets","6","All","MiniDin","Keyed","Free Hanging (In-Line)","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Gray","Shielded","-","Keyboard, PS/2"
https://assets.tripplite.com/product-pdfs/en/p222006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P222-006.jpg,TL418-ND,P222-006,Tripp Lite,CBL FMALE TO MALE 6P SHLD 6',514,0,"3.84000","0","1","-","Active","Receptacle","Male Pins","6","All","MiniDin","-","Free Hanging (In-Line)","Plug","Female Sockets","6","All","MiniDin","-","Free Hanging (In-Line)","6.00' (1.83m)","Standard","Round","-","Beige","Shielded","-","Keyboard, PS/2"
http://cnctech.us/pdfs/780-10063-00200.pdf,//media.digikey.com/Photos/CnC%20Tech/780-10063-00200.JPG,1175-1185-ND,780-10063-00200,CNC Tech,CBL FMALE TO MALE 6P SHLD 6.56',697,0,"4.00000","0","1","-","Active","Receptacle","Female Sockets","6","All","MiniDin","Keyed","Free Hanging (In-Line)","Plug","Male Pins","6","All","MiniDin","Keyed","Free Hanging (In-Line)","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Beige","Shielded","-","Keyboard, PS/2"
https://assets.tripplite.com/product-pdfs/en/p222010.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P222-010.jpg,TL419-ND,P222-010,Tripp Lite,CBL FMALE TO MALE 6P SHLD 10',125,0,"5.05000","0","1","-","Active","Receptacle","Male Pins","6","All","MiniDin","-","Free Hanging (In-Line)","Plug","Female Sockets","6","All","MiniDin","-","Free Hanging (In-Line)","10.00' (3.05m)","Standard","Round","-","Beige","Shielded","-","Keyboard, PS/2"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T40730140X100X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/T4073014031-001.jpg,A126813-ND,T4073014031-001,TE Connectivity AMP Connectors,CBL FMALE TO WIRE LEAD 3P 0.66',75,0,"7.06000","0","1","M8","Active","Receptacle","Female Sockets","3","All","M8","A","Panel Mount","Wire Leads","-","-","-","-","-","-","0.66' (200.00mm)","Standard","Individual","-","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-106140&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/T4072014041-001.jpg,A126823-ND,T4072014041-001,TE Connectivity AMP Connectors,CBL MALE TO WIRE LEAD 4POS 0.66',210,0,"7.61000","0","1","M8","Active","Plug","Male Pins","4","All","M8","A","Panel Mount","Wire Leads","-","-","-","-","-","-","0.66' (200.00mm)","Standard","Individual","-","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T40730140X100X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/T4073014041-001.jpg,A126827-ND,T4073014041-001,TE Connectivity AMP Connectors,CBL FMALE TO WIRE LEAD 4P 0.66',112,0,"7.73000","0","1","M8","Active","Receptacle","Female Sockets","4","All","M8","A","Panel Mount","Wire Leads","-","-","-","-","-","-","0.66' (200.00mm)","Standard","Individual","-","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T417101000X00L&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/T4171010004-001.jpg,A126858-ND,T4171010004-001,TE Connectivity AMP Connectors,CBL MALE TO WIRE LEAD 4POS 0.66',522,0,"7.75000","0","1","M12","Active","Plug","Male Pins","5","4","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","0.66' (200.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","-","IP67 - Dust Tight, Waterproof","Industrial Environments"
