Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Lines","Cable Length - Unexposed","Features"
-,-,20888610150-ND,20888610150,HARTING,SYPCEM CABLE HAN-Q8/0/ MET,0,0,"177.26000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","9","49.21' (15.00m) 591""","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357211XXX5001_100183341DRW021A.pdf,-,33572110015001-ND,33572110015001,HARTING,"HYBR.CABLE ASSY,AC,1M,FO+POW-MM-",0,0,"177.71000","0","1","*","Active","-","-","-","-"
-,-,33571110120001-ND,33571110120001,HARTING,"HYBR.CABLE ASSY, DC, 12M -1 X HA",0,0,"179.25000","0","6","-","Active","RJ45 Plug and Power Contacts to Wire","8 Signal, 3 Power","39.37' (12.00m) 472""","-"
-,-,20886510100-ND,20886510100,HARTING,SYPCEM CABLE HAN-BRID/CU-CU M-F,0,0,"179.78000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","6","32.81' (10.00m) 394""","Shielded"
-,-,09457251333-ND,09457251333,HARTING,RJI CABLE IP67 AWG22/7 HYBRID PC,0,0,"187.17000","0","1","*","Active","-","-","-","-"
-,-,09457251576-ND,09457251576,HARTING,HAN 3A METAL RJ45 HYBRID CABLE A,0,0,"188.22500","0","10","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-500-046X-1-XXX-ZZZ&DocType=Customer+Drawing&DocLang=English,-,D-500-0465-1-612-012-ND,D-500-0465-1-612-012,"TE Connectivity Aerospace, Defense and Marine",IN LINE COUPLERS,0,0,"190.92000","0","9","*","Active","-","-","-","-"
-,-,09457251542-ND,09457251542,HARTING,RJI CABLE IP67/CAT6METAL HYBRID,0,0,"191.63200","0","10","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-500-04S-1-1001&DocType=Customer+Drawing&DocLang=English,-,8-1195418-8-ND,8-1195418-8,"TE Connectivity Aerospace, Defense and Marine",IN LINE COUPLERS,0,0,"195.07600","0","5","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-500-0457-1-XXX-ZZZ&DocType=Customer+Drawing&DocLang=English,-,D-500-0457-1-612-012-ND,D-500-0457-1-612-012,"TE Connectivity Aerospace, Defense and Marine",IN LINE COUPLERS,0,0,"196.54556","0","9","*","Active","-","-","-","-"
-,-,09457251550-ND,09457251550,HARTING,RJI CABLE IP67/CAT6METAL HYBRID,0,0,"196.83800","0","10","*","Active","-","-","-","-"
https://b2b.harting.com/files/TB_20886411xxx_BL01_R411464.pdf,-,20886411300-ND,20886411300,HARTING,SYPCEMKAB.HAN-Q4/2 KU.4QMM PCI+B,0,0,"197.69000","0","1","*","Active","-","-","-","-"
-,-,20884110100-ND,20884110100,HARTING,SYPCEM CABLE HAN-BRID/FOC THERMO,0,0,"199.31000","0","1","Han-Brid®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","2 Power, 4 Signal","32.81' (10.00m) 394""","-"
