Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Specifications","Wire Gauge","Shielding","Style"
http://cnctech.us/pdfs/102-1031-BL-F0050.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1031-BL-F0x00.jpg,1175-1455-ND,102-1031-BL-F0050,CNC Tech,CABLE USB A M-B MINI .5M/FERRITE,1038,0,"3.50000","0","1","-","Active","A Male to Mini B Male","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7131_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK672M%20-%20FIG%2039.jpg,AE1451-ND,AK672M/2-3,Assmann WSW Components,CABLE MINI USB 5PIN 3M 2.0 VERS,774,0,"3.55000","0","1","-","Active","A Male to Mini B Male","9.84' (3.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
//media.digikey.com/PDF/Data%20Sheets/Emerson%20PDFs/30-3007-XX-CUST.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/30-3007-6.jpg,367-1127-ND,30-3007-6,Cinch Connectivity Solutions AIM-Cambridge,CABLE USB 2.0 A MALE/ B MALE 6',3183,0,"3.63000","0","1","-","Active","A Male to B Male","6.00' (1.83m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.cnctech.us/pdfs/102-1030-BL-F0100.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1030-BL-F0x00.jpg,1175-1417-ND,102-1030-BL-F0100,CNC Tech,CABLE USB A MALE - B MALE 1M BLK,2905,0,"3.63000","0","1","-","Active","A Male to B Male","3.28' (1.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7091_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AK67421-x-R.jpg,AE10418-ND,AK67421-0.5,Assmann WSW Components,CABLE USB-A TO MICRO USB-B 0.5M,9412,0,"3.66000","0","1","-","Active","A Male to Micro B Male","1.64' (500.0mm)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/Phihong_USB_Cables.pdf,//media.digikey.com/Photos/Phihong%20USA/IP-USB1(C10)S.jpg,993-1294-ND,IP-USB1(C10)S,Phihong USA,CABLE USB A TO MICRO-B 1M,6983,0,"3.75000","0","1","IPUSB","Active","A Male to Micro B Male","3.28' (1.00m)","-","27 AWG, 28 AWG","-","-"
https://www.molex.com/pdm_docs/sd/887328500_sd.pdf,//media.digikey.com/photos/Molex/88732-8602.jpg,WM17493-ND,0887328602,Molex,CABLE USB 2.0 A-MINI B 1M BLACK,4102,0,"3.78000","0","1","88740","Active","A Male to Mini B Male","3.28' (1.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887328802_sd.pdf,//media.digikey.com/photos/Molex/88732-8602.jpg,WM5160-ND,0887328802,Molex,USB A TO MINI B 1.8M BLACK,19225,0,"3.80000","0","1","88740","Active","A Male to Mini B Male","5.90' (1.80m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/ur030001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_UR030-001.jpg,TL1206-ND,UR030-001,Tripp Lite,USB A TO MINI-B CABLE M/M,1050,0,"3.81000","0","1","-","Active","A Male to Mini B Male","1.00' (304.8mm)","USB 2.0","28 AWG, 28 AWG","Shielded","Reversible"
https://assets.tripplite.com/product-pdfs/en/ur03006n.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_UR030-06N.jpg,TL1233-ND,UR030-06N,Tripp Lite,6"" USB A TO MINI-B CABLE M/M,735,0,"3.81000","0","1","-","Active","A Male to Mini B Male","0.50' (152.4mm)","USB 2.0","28 AWG, 28 AWG","Shielded","Reversible"
https://assets.tripplite.com/product-pdfs/en/u024003.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U024-0xx%20Series.jpg,TL775-ND,U024-003,Tripp Lite,USB 2.0 GOLD EXTENSION A M/F 3',1808,0,"3.84000","0","1","-","Active","A Female to A Male","3.00' (914.4mm)","USB 2.0","24 AWG, 28 AWG","Shielded","Extension Cable"
http://www.assmann-wsw.com/fileadmin/datasheets/au-y1002-a-r.pdf,//media.digikey.com/Photos/Assmann%20Photos/AU-Y1002-A-R.JPG,AE9931-ND,AU-Y1002-A,Assmann WSW Components,CABLE USB EXTENSION A-B MALE,12081,0,"3.89000","0","1","-","Active","A Male to B Male","4.92' (1.50m)","USB 1.1","24 AWG, 28 AWG","Shielded","Extension Cable"
http://cnctech.us/pdfs/102-1031-BL-F0100.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1031-BL-F0x00.jpg,1175-1454-ND,102-1031-BL-F0100,CNC Tech,CABLE USB A M-B MINI 1M/FERRITE,1383,0,"4.00000","0","1","-","Active","A Male to Mini B Male","3.28' (1.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7091_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AK67421-x-R.jpg,AE10419-ND,AK67421-1,Assmann WSW Components,CABLE USB-A TO MICRO USB-B 1M,57669,0,"4.08000","0","1","-","Active","A Male to Micro B Male","3.28' (1.00m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
https://www.molex.com/pdm_docs/sd/887283402_sd.pdf,//media.digikey.com/Photos/Molex/0887283602.jpg,WM5097-ND,0887283402,Molex,USB A TO PIGTAIL 2.08M BLACK,4590,0,"4.16000","0","1","88740","Active","A Male to Cable (Round)","6.82' (2.08m)","USB 1.1","24 AWG, 28 AWG","Shielded","-"
