Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Cable Diameter","Cable Type","Features","Fiber Type","Length - Overall","Type","Ratings"
-,-,TL2537-ND,N302-08M,Tripp Lite,DUPLEX MULTIMODE 62.5/125 FIBER,5,0,"26.91000","0","1","-","Active","ST (2)","ST (2)","-","Twin Zip","Riser, Zipcord","62.5/125","26.2' (8.0m)","Multimode, Duplex","FDDI, OFNR"
-,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N818-02M.jpg,TL2544-ND,N818-02M,Tripp Lite,10GB DUPLEX MULTIMODE 50/125 OM3,7,0,"26.91000","0","1","-","Active","LC Duplex","ST (2)","-","Twin Zip","Low Smoke, Zipcord","50/125","6.6' (2.0m)","Multimode, Duplex, OM3","LSZH"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/911M-2-1-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/911M-2-1-0xx00-PL.jpg,1175-2036-ND,911M-2-1-00700-PL,CNC Tech,FIBER OPTIC CBL LC-LC DUPLEX 7M,10,0,"27.38000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","Plenum","62.5/125","23.0' (7.0m)","Multimode, Duplex, OM1","OFNP"
https://assets.tripplite.com/product-pdfs/en/n36805m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N368%20M%20Series.jpg,TL1526-ND,N368-05M,Tripp Lite,FIBER OPTIC CBL LC-ST DUPLEX 5M,26,0,"27.65000","0","1","-","Active","LC Duplex","ST (2)","-","Twin Zip","Riser, Zipcord","8.3/125","16.4' (5.0m)","Singlemode, Duplex","FDDI, OFNR"
https://assets.tripplite.com/product-pdfs/en/n36610m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N366-xxM%20Series.jpg,TL2122-ND,N366-10M,Tripp Lite,FIBER OPTIC CBL LC-SC DUPLEX 10M,9,0,"27.65000","0","1","-","Active","LC Duplex","SC Duplex","-","Twin Zip","Riser, Zipcord","8.3/125","32.8' (10.0m)","Singlemode, Duplex","FDDI, OFNR"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/914S-2-5-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/914S-2-5-0xx00-PL.jpg,1175-1922-ND,914S-2-5-01000,CNC Tech,FIBER OPTIC CBL LC-FC DUPLEX 10M,10,0,"27.75000","0","1","-","Active","LC Duplex","FC (2)","0.08"" (2.0mm)","-","-","9/125","32.8' (10.0m)","Singlemode, Duplex","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912M-2-3-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/912M-2-3-0xx00-PL.jpg,1175-2011-ND,912M-2-3-00700-PL,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 7M,10,0,"27.75000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","Plenum","50/125","23.0' (7.0m)","Multimode, Duplex, OM3","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/913M-2-3-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/913M-2-3-0xx00-PL.jpg,1175-2018-ND,913M-2-3-00700-PL,CNC Tech,FIBER OPTIC CBL LC-ST DUPLEX 7M,10,0,"27.75000","0","1","-","Active","LC Duplex","ST (2)","0.08"" (2.0mm)","-","Plenum","50/125","23.0' (7.0m)","Multimode, Duplex, OM3","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/912S-2-5-0xx00-PL.jpg,1175-2055-ND,912S-2-5-01000-PL,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 10M,10,0,"27.75000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","Plenum","9/125","32.8' (10.0m)","Singlemode, Duplex","OFNP"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1264-001-CSU.pdf,-,1436-2580-ND,VFA2LCSCOS2,HellermannTyton,FT LC - SC DUPLEX OS2 FIBER ASSE,10,0,"27.75000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","62.5/125","6.6' (2.0m)","Multimode, Duplex, OS2","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/913S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/913S-2-5-0xx00.jpg,1175-2073-ND,913S-2-5-01000-PL,CNC Tech,FIBER OPTIC CBL LC-ST DUPLEX 10M,6,0,"27.75000","0","1","-","Active","LC Duplex","ST (2)","0.08"" (2.0mm)","-","Plenum","9/125","32.8' (10.0m)","Singlemode, Duplex","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/914S-2-5-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/914S-2-5-0xx00-PL.jpg,1175-2021-ND,914S-2-5-01000-PL,CNC Tech,FIBER OPTIC CBL LC-FC DUPLEX 10M,10,0,"28.31000","0","1","-","Active","LC Duplex","FC (2)","0.08"" (2.0mm)","-","Plenum","9/125","32.8' (10.0m)","Singlemode, Duplex","OFNP"
https://assets.tripplite.com/product-pdfs/en/n52008m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N520%20M%20Series.jpg,TL1535-ND,N520-08M,Tripp Lite,FIBER OPTIC CBL LC-LC DUPLEX 8M,9,0,"28.36000","0","1","-","Active","LC Duplex","LC Duplex","0.03"" (0.9mm)","Twin Zip","Zipcord","50/125","26.2' (8.0m)","Multimode, Duplex","FDDI, OFNR"
-,-,TL2536-ND,N516-07M,Tripp Lite,DUPLEX MULTIMODE 50/125 FIBER PA,10,0,"28.40000","0","1","-","Active","LC Duplex","SC Duplex","-","Twin Zip","Zipcord","50/125","23.0' (7.0m)","Multimode, Duplex","FDDI, OFNR"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/933M-2-1-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/933M-2-1-00100.jpg,1175-1986-ND,933M-2-1-01500,CNC Tech,FIBER OPTIC CBL ST-ST DUPLEX 15M,21,0,"28.49000","0","1","-","Active","ST (2)","ST (2)","0.08"" (2.0mm)","-","-","62.5/125","49.2' (15.0m)","Multimode, Duplex, OM1","-"
