Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Type","Number of Positions","Length","Shielding","Color","Usage","Contact Finish","Contact Finish Thickness"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB15MF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB15MF.jpg,CS-DSDMDB15MF-015-ND,CS-DSDMDB15MF-015,Amphenol ICC (Commercial Products),CABLE ASSY DB15 SHLD GRAY 4.57M,15,0,"20.44000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","15.00' (4.57m)","Shielded","Gray, Individual (Round)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/P502-yyy_Dwg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P502-xxx%20Series.jpg,TL657-ND,P502-025,Tripp Lite,CABLE ASSY HD15 SHLD BLACK 7.62M,79,0,"20.45000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD15","14","25.00' (7.62m)","Shielded","Black, Individual (Round)","VGA Monitor","Gold","Flash"
http://catalog.americanelectrical.com/browser?itemid=2379&assetid=1636,//media.digikey.com/photos/American%20Elect%20Photos/DSUB-15-MF-CBL.JPG,288-1344-ND,DSUB-15-MF-CBL,American Electrical Inc.,CABLE ASSY DB15 SHLD BLACK 2M,37,0,"21.31000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","6.56' (2.00m)","Shielded","Black, Individual (Round)","-","Tin","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD15MF0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD15MF0.jpg,CS-DSDHD15MF0-015-ND,CS-DSDHD15MF0-015,Amphenol ICC (Commercial Products),CABLE ASSY HD15 SHLD GRAY 4.57M,33,0,"21.45000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","HD15","15","15.00' (4.57m)","Shielded","Gray, Individual (Round)","-","-","-"
-,//media.digikey.com/photos/American%20Elect%20Photos/DSUB-25-MF-CBL.JPG,288-1346-ND,DSUB-25-MF-CBL,American Electrical Inc.,CABLE ASSY DB25 SHLD BLACK 2M,41,0,"23.01000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB25","25","6.56' (2.00m)","Shielded","Black, Individual (Round)","-","Tin","-"
https://www.molex.com/pdm_docs/sd/834219043_sd.pdf,//media.digikey.com/Photos/Molex/0834219044.jpg,WM20482-ND,0834219043,Molex,CABLE ASY D TO MICR D 9P 914.4MM,53,0,"23.50000","0","1","83421","Active","Receptacle, Female Sockets","Individual Wire Leads","D-Type, Micro-D","9","3.00' (914.40mm)","Shielded","-","-","Gold","5.00µin (0.127µm)"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD26MF0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD26MF0.jpg,CS-DSDHD26MF0-010-ND,CS-DSDHD26MF0-010,Amphenol ICC (Commercial Products),CABLE ASSY HD26 SHLD GRAY 3.05M,57,0,"26.32000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","HD26","26","10.00' (3.05m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD15MF0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD15MF0.jpg,CS-DSDHD15MF0-025-ND,CS-DSDHD15MF0-025,Amphenol ICC (Commercial Products),CABLE ASSY HD15 SHLD GRAY 7.62M,40,0,"27.37000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","HD15","15","25.00' (7.62m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD26MM0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD26MM0.jpg,CS-DSDHD26MM0-005-ND,CS-DSDHD26MM0-005,Amphenol ICC (Commercial Products),CABLE ASSY HD26 SHLD GRAY 1.52M,78,0,"27.89000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD26","26","5.00' (1.52m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD26MF0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD26MF0.jpg,CS-DSDHD26MF0-015-ND,CS-DSDHD26MF0-015,Amphenol ICC (Commercial Products),CABLE ASSY HD26 SHLD GRAY 4.57M,22,0,"28.25000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","HD26","26","15.00' (4.57m)","Shielded","Gray, Individual (Round)","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/39509030020_100093536DRW003A.pdf,//media.digikey.com/Photos/Harting/MFG_39509030020.jpg,1195-7211-ND,39509030020,HARTING,CABLE ASSY DB09 SHLD BEIGE 2M,85,0,"31.51000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Patch","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD26MM0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD26MM0.jpg,CS-DSDHD26MM0-010-ND,CS-DSDHD26MM0-010,Amphenol ICC (Commercial Products),CABLE ASSY HD26 SHLD GRAY 3.05M,32,0,"33.00000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD26","26","10.00' (3.05m)","Shielded","Gray, Individual (Round)","-","-","-"
