Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact Termination","Length","Number of Positions","Pitch"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-090xx.jpg,A9BBG-0908F-ND,A9BBG-0908F,TE Connectivity AMP Connectors,FLEX CABLE - AFF09G/AF09/AFF09G,1043,0,"5.41000","0","1","-","Active","Receptacle to Receptacle","8.00"" (203.20mm)","9","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1406F-ND,A9BAG-1406F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,1001,0,"5.44000","0","1","-","Active","Receptacle to Solder Tab","6.00"" (152.40mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487547&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-100xx.jpg,A9BBA-1008E-ND,A9BBA-1008E,TE Connectivity AMP Connectors,FLEX CABLE - AFJ10A/AE10/AFJ10A,150,0,"5.52000","0","1","-","Active","Receptacle to Receptacle","8.00"" (203.20mm)","10","0.050"" (1.27mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-100xx.jpg,A9BBG-1004F-ND,A9BBG-1004F,TE Connectivity AMP Connectors,FLEX CABLE - AFF10G/AF10/AFF10G,800,0,"5.62000","0","1","-","Active","Receptacle to Receptacle","4.00"" (101.60mm)","10","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-160xx.jpg,A9CAG-1608F-ND,A9CAG-1608F,TE Connectivity AMP Connectors,FLEX CABLE - AFG16G/AF16/AFE16T,464,0,"5.62000","0","1","-","Active","Receptacle with Latch to Solder Tab","8.00"" (203.20mm)","16","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1408F-ND,A9BAG-1408F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,469,0,"5.72000","0","1","-","Active","Receptacle to Solder Tab","8.00"" (203.20mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-100xx.jpg,A9BBG-1005F-ND,A9BBG-1005F,TE Connectivity AMP Connectors,FLEX CABLE - AFF10G/AF10/AFF10G,537,0,"5.73000","0","1","-","Active","Receptacle to Receptacle","5.00"" (127.00mm)","10","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-110xx.jpg,A9BBG-1103F-ND,A9BBG-1103F,TE Connectivity AMP Connectors,FLEX CABLE - AFF11G/AF11/AFF11G,692,0,"5.81000","0","1","-","Active","Receptacle to Receptacle","3.00"" (76.20mm)","11","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-100xx.jpg,A9CCG-1008F-ND,A9CCG-1008F,TE Connectivity AMP Connectors,FLEX CABLE - AFG10G/AF10/AFG10G,696,0,"5.84000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","8.00"" (203.20mm)","10","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-100xx.jpg,A9BBG-1006F-ND,A9BBG-1006F,TE Connectivity AMP Connectors,FLEX CABLE - AFF10G/AF10/AFF10G,688,0,"5.85000","0","1","-","Active","Receptacle to Receptacle","6.00"" (152.40mm)","10","0.100"" (2.54mm)"
