Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Cable Type","Shielding","Style"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L587-00C-100-ND,1MF26-L587-00C-100,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"170.28000","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L576-00C-100-ND,1MF26-L576-00C-100,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"170.89200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L577-00C-100-ND,1MF26-L577-00C-100,3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"170.89200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
-,-,14136-SZ6B-500-0HC-ND,14136-SZ6B-500-0HC,3M,CABLE ASSY HD36 SHLD BEIGE 5M,0,0,"171.34200","0","25","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 36 pos Male to Male","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
-,-,1MF26-L576-00C-500(RC)-ND,1MF26-L576-00C-500 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"172.95600","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L577-00C-500-ND,1MF26-L577-00C-500,3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"173.01000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L586-00C-200-ND,1MF26-L586-00C-200,3M,26 POS SHRNK DLTA RIB CBL ASSY 2,0,0,"177.23580","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,-,1MD26-R560-00C-500-ND,1MD26-R560-00C-500,3M,26 POS FLX DLTA RIB CBL ASSY 500,0,0,"177.60000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","16.40' (5.00m)","Round, Black","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343882O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2128.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1MG26-LFW0-00C-x00.jpg,1MG26-LFW0-00C-500-ND,1MG26-LFW0-00C-500,3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"188.14800","0","5","1MG","Active","Centronics 26 pos Female to Male","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/photos/3M%20Photos/1SF26-L136-00C-200.jpg,1SF26-L136-00C-100(RC)-ND,1SF26-L136-00C-100 (RC),3M,26 POS SHRNK DLTA RIB CBL ASSY 1,0,0,"190.63200","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","3.28' (1.00m)","-","Shielded","Bidirectional"
