Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact End","Length","Wire Gauge","Contact Finish","Color","Contact Finish Thickness"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Bx-D.jpg,0500588000-06-B8-D-ND,0500588000-06-B8-D,Molex,6"" PRE-CRIMP 1852 BLACK,569,0,"0.65700","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-R4.jpg,H4BBT-10105-R8-ND,H4BBT-10105-R8,Hirose Electric Co Ltd,JUMPER-H9992TR/1852RD/H9992TR 5"",505,0,"0.65700","0","10","DF13","Active","Socket to Socket","5.00"" (127.00mm)","28 AWG","Tin","Red","-"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Wx-D.jpg,0500588000-06-W8-D-ND,0500588000-06-W8-D,Molex,6"" PRE-CRIMP 1852 WHITE,503,0,"0.65700","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","White","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Vx.jpg,0039000038-12-V0-ND,0039000038-12-V0,Molex,12"" PRE-CRIMP A2040 VIOLET,390,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Violet","-"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Sx.jpg,0039000038-12-S0-ND,0039000038-12-S0,Molex,12"" PRE-CRIMP A2040 SLATE,370,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Slate","-"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Gx.jpg,0039000038-12-G0-ND,0039000038-12-G0,Molex,12"" PRE-CRIMP A2040 GREEN,350,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Green","-"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Wx.jpg,0039000038-12-W0-ND,0039000038-12-W0,Molex,12"" PRE-CRIMP A2040 WHITE,330,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","White","-"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Ax.jpg,0039000038-12-A0-ND,0039000038-12-A0,Molex,12"" PRE-CRIMP A2040 ORANGE,320,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Orange","-"
https://www.molex.com/pdm_docs/sd/039000059_sd.pdf,//media.digikey.com/Photos/Molex/0039000059-xx-Bx.jpg,0039000059-12-B2-ND,0039000059-12-B2,Molex,12"" PRE-CRIMP A2016 BLACK,270,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","22 AWG","Tin","Black","-"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Lx.jpg,0039000038-12-L0-ND,0039000038-12-L0,Molex,12"" PRE-CRIMP A2040 BLUE,260,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Blue","-"
