Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Size / Dimension","Board Thickness","Material"
-,-,36-1239-20-ND,1239-20,Keystone Electronics,PROTO BOARD,0,0,"6.96000","0","1","-","Active","-","-","-","-"
-,-,36-1204-19-ND,1204-19,Keystone Electronics,PROTO BOARD,0,0,"7.72000","0","1","-","Active","-","-","-","-"
-,-,36-1268-19-ND,1268-19,Keystone Electronics,PROTO BOARD,0,0,"7.72000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Keystone%20Electronics%20PDFs/1268-28.pdf,-,36-1268-28-ND,1268-28,Keystone Electronics,PROTO BOARD,0,0,"7.89950","0","100","-","Active","-","-","-","-"
-,-,36-1268-20-ND,1268-20,Keystone Electronics,PROTO BOARD,0,0,"8.26000","0","1","-","Active","-","-","-","-"
-,-,36-1204-22-ND,1204-22,Keystone Electronics,PROTO BOARD,0,0,"9.07000","0","1","-","Active","-","-","-","-"
-,-,36-1268-22-ND,1268-22,Keystone Electronics,PROTO BOARD,0,0,"9.07000","0","1","-","Active","-","-","-","-"
-,-,36-1239-22-ND,1239-22,Keystone Electronics,PROTO BOARD,0,0,"12.35000","0","1","-","Active","-","-","-","-"
-,-,36-1204-38-ND,1204-38,Keystone Electronics,PROTO BOARD,0,0,"12.47000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14974_Web.pdf,-,TOL-14974-ND,TOL-14974,SparkFun Electronics,SINGLE SIDED 2X3"" 10PK,0,0,"12.50000","0","1","-","Active","Copper Clad, Uncoated","2.00"" L x 3.00"" W (50.8mm x 76.2mm)","0.060"" (1.52mm)","Copper Clad FR1, Single Sided"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14975_Web.pdf,-,TOL-14975-ND,TOL-14975,SparkFun Electronics,DOUBLE SIDED 2X3"" 10PK,0,0,"12.50000","0","1","-","Active","Copper Clad, Uncoated","2.00"" L x 3.00"" W (50.8mm x 76.2mm)","0.060"" (1.52mm)","Copper Clad FR1, Double Sided"
-,-,36-1239-19-ND,1239-19,Keystone Electronics,PROTO BOARD,0,0,"13.70000","0","1","-","Active","-","-","-","-"
-,-,36-1239-38-ND,1239-38,Keystone Electronics,PROTO BOARD,0,0,"14.74000","0","1","-","Active","-","-","-","-"
-,-,36-1268-38-ND,1268-38,Keystone Electronics,PROTO BOARD,0,0,"14.76000","0","1","-","Active","-","-","-","-"
//media.digikey.com/PDF/Data%20Sheets/Vector%20PDFs/12X12C1.pdf,//media.digikey.com/renders/Injectorall%20Electronics%20Renders/304.8mmx304.8mmx1.57mm.jpg,12X12C1-ND,12X12C1,Vector Electronics,PROTO BOARD COPPER CLAD 12X12"",0,0,"15.71000","0","1","Vectorbord®","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
"//media.digikey.com/PDF/Data%20Sheets/Vector%20PDFs/12X12WEC1,2.pdf",//media.digikey.com/renders/Injectorall%20Electronics%20Renders/304.8mmx304.8mmx1.57mm.jpg,12X12WEC2-ND,12X12WEC2,Vector Electronics,PROTO BOARD COPPER CLAD 12X12"",0,0,"15.71000","0","1","Vectorbord®","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
//media.digikey.com/PDF/Data%20Sheets/Vector%20PDFs/12X12C2.pdf,//media.digikey.com/renders/Injectorall%20Electronics%20Renders/304.8mmx304.8mmx1.57mm.jpg,12X12C2-ND,12X12C2,Vector Electronics,PROTO BOARD COPPER CLAD 12X12"",0,0,"18.58000","0","1","Vectorbord®","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14976_Web.pdf,-,TOL-14976-ND,TOL-14976,SparkFun Electronics,SINGLE SIDED 4X6"" 10PK,0,0,"18.75000","0","1","-","Active","Copper Clad, Uncoated","4.00"" L x 6.00"" W (101.6mm x 152.4mm)","0.060"" (1.52mm)","Copper Clad FR1, Single Sided"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14976_Web.pdf,-,TOL-14979-ND,TOL-14979,SparkFun Electronics,DOUBLE SIDED 4X6"" 10PK,0,0,"18.75000","0","1","-","Active","Copper Clad, Uncoated","4.00"" L x 6.00"" W (101.6mm x 152.4mm)","0.060"" (1.52mm)","Copper Clad FR1, Double Sided"
-,//media.digikey.com/renders/Injectorall%20Electronics%20Renders/304.8mmx304.8mmx1.57mm.jpg,169044C2-ND,169044C2,Vector Electronics,PROTO BOARD COPPER CLAD 12X12"",0,0,"32.40000","0","1","Vectorbord®","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,580-ND,580,MG Chemicals,PROTO BOARD COPPER CLAD 48X36"",1,0,"171.60000","0","1","500","Active","Copper Clad, Uncoated","48.00"" x 36.00"" (1219.2mm x 914.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
-,-,36-1204-20-ND,1204-20,Keystone Electronics,PROTO BOARD,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
-,-,36-1204-28-ND,1204-28,Keystone Electronics,PROTO BOARD,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
-,-,36-1239-28-ND,1239-28,Keystone Electronics,PROTO BOARD,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1013-ND,598,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Uncoated","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.015"" (0.40mm) 1/64""","Copper Clad FR4, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1018-ND,675,MG Chemicals,PROTO BOARD COPPER CLAD 18X12"",0,0,"Obsolete","0","5","600","Obsolete","Copper Clad, Positive Sensitized","18.00"" x 12.00"" (457.4mm x 304.8mm)","0.031"" (0.79mm) 1/32""","Phenolic Paper, Single Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1026-ND,590,MG Chemicals,PROTO BOARD COPPER CLAD 12X12"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Single Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/500%20Serires.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1012-ND,597,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Uncoated","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.015"" (0.40mm) 1/64""","Copper Clad FR4, Single Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1019-ND,676,MG Chemicals,PROTO BOARD COPPER CLAD 12X8"",0,0,"Obsolete","0","5","600","Obsolete","Copper Clad, Positive Sensitized","12.00"" x 8.00"" (304.8mm x 203.2mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Double Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/mgcatalog.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1027-ND,591,MG Chemicals,PROTO BOARD COPPER CLAD 12X12"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Double Sided, 1 oz."
-,-,3388-1000-ND,3388-1000,3M,BREADBOARD 28POS DUAL SOCKET,0,0,"Obsolete","0","100","-","Obsolete","-","-","-","-"
-,-,3398-1000-ND,3398-1000,3M,BREADBOARD 18POS DUAL SOCKET,0,0,"Obsolete","0","100","-","Obsolete","-","-","-","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,530-ND,530,MG Chemicals,PCB COPPER CLAD 1/16"" 2-SIDE,0,0,"Obsolete","0","5","500","Obsolete","-","-","0.062"" (1.57mm) 1/16""","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,532MG-ND,532,MG Chemicals,PCB COPPER CLAD 1/16"" 2-SIDE,0,0,"Obsolete","0","5","500","Obsolete","-","-","0.062"" (1.57mm) 1/16""","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1171-ND,533,MG Chemicals,PCB COPPER CLAD 1/16"" 2-SIDE,0,0,"Obsolete","0","5","500","Obsolete","-","-","0.062"" (1.57mm) 1/16""","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,551-ND,551,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 6"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Positive Sensitized","6.00"" x 6.00"" (152.4mm x 152.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1/2 oz."
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,573-ND,573,MG Chemicals,PROTO BOARD COPPER CLAD 18X12"",0,0,"Obsolete","0","25","500","Obsolete","Copper Clad, Positive Sensitized","18.00"" x 12.00"" (457.4mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1/2 oz."
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,574-ND,574,MG Chemicals,PROTO BOARD COPPER CLAD 18X12"",0,0,"Obsolete","0","25","500","Obsolete","Copper Clad, Positive Sensitized","18.00"" x 12.00"" (457.4mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1/2 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/500%20Serires.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,576-ND,576,MG Chemicals,PROTO BOARD COPPER CLAD 36X24"",0,0,"Obsolete","0","5","500","Obsolete","Copper Clad, Uncoated","36.00"" x 24.00"" (914.4mm x 609.6mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/500%20Serires.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,585MG-ND,585,MG Chemicals,PROTO BOARD COPPER CLAD 48X36"",0,0,"Obsolete","0","2","500","Obsolete","Copper Clad, Uncoated","48.00"" x 36.00"" (1219.2mm x 914.4mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
