Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Length","Color","Wire Gauge"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/794_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_794.jpg,1528-1159-ND,794,Adafruit Industries LLC,JUMPER WIRE F/F 2.950"" 1PC,357,0,"3.95000","0","1","1 per Pkg","-","Active","Female to Female, Zippable, 40 Conductor","2.950"" (74.93mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/759_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_759.jpg,1528-1155-ND,759,Adafruit Industries LLC,JUMPER WIRE M/M 2.950"" 1PC,195,0,"3.95000","0","1","1 per Pkg","-","Active","Male to Male, Zippable, 40 Conductor","2.950"" (74.93mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3142_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_3142.JPG,1528-1988-ND,3142,Adafruit Industries LLC,JUMPER WIRE M TO M 6"" 28AWG,246,0,"3.95000","0","1","-","-","Active","Male to Male, Zippable, 40 Conductor","6.000"" (152.40mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1955_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1955.JPG,1528-1965-ND,1955,Adafruit Industries LLC,JUMPER WIRE M TO M 12"" 28AWG,165,0,"3.95000","0","1","-","-","Active","Male to Male","12.000"" (304.80mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1949_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1949.JPG,1528-1960-ND,1949,Adafruit Industries LLC,JUMPER WIRE F TO F 12"" 28AWG,147,0,"3.95000","0","1","-","-","Active","Female to Female","12.000"" (304.80mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/MIKROE-1388_Web.pdf,//media.digikey.com/photos/MikroElektronika/MIKROE-1388.JPG,1471-1500-ND,MIKROE-1388,MikroElektronika,JUMPER F/F 11.811"" 10PCS,132,0,"4.08000","0","1","10 per Pkg","-","Active","Female to Female","11.811"" (300.00mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/153_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_153.jpg,1528-2185-ND,153,Adafruit Industries LLC,JUMPER WIRE M TO M VARIOUS,660,0,"4.95000","0","1","-","-","Active","Male to Male","Various","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1919_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1919.JPG,1528-1956-ND,1919,Adafruit Industries LLC,JUMPER WIRE F TO F 8"" 28AWG,166,0,"6.95000","0","1","-","-","Active","Female to Female, Zippable, 40 Conductor","8.000"" (203.20mm)","Various","28 AWG"
http://twinind.com/files/8114/0734/7900/Twin_Industries_Solderless_Breadboards.pdf,//media.digikey.com/photos/Twin%20Industries%20Photos/TW-E012-0000.jpg,438-1049-ND,TW-E012-000,Twin Industries,JUMPER KIT VARIOUS 140PCS,389,0,"6.99000","0","1","140 per Pkg","-","Active","Kit - Pre-Formed for Breadboard","Various","Various","-"
"//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/TW-FP-5,10,20.pdf",//media.digikey.com/Photos/Twin%20Industries%20Photos/TW-FP-5.jpg,438-1141-ND,TW-FP-5,Twin Industries,JUMPER F/F 1.969"" 24AWG 10PCS,634,0,"7.18000","0","1","10 per Pkg","-","Active","Female to Female","1.969"" (50.01mm)","-","24 AWG"
"//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/TW-FP-5,10,20.pdf",//media.digikey.com/Photos/Twin%20Industries%20Photos/TW-FP-10.jpg,438-1142-ND,TW-FP-10,Twin Industries,JUMPER F/F 3.937"" 24AWG 10PCS,142,0,"7.54000","0","1","10 per Pkg","-","Active","Female to Female","3.937"" (100.00mm)","White","24 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/793_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_793.jpg,1528-1158-ND,793,Adafruit Industries LLC,JUMPER F/F 11.811"" 1PC,255,0,"7.95000","0","1","1 per Pkg","-","Active","Female to Female, Zippable, 40 Conductor","11.811"" (300.00mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/760_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_760.jpg,1528-1156-ND,760,Adafruit Industries LLC,JUMPER M/M 11.811"" 1PC,140,0,"7.95000","0","1","1 per Pkg","-","Active","Male to Male, Zippable, 40 Conductor","11.811"" (300.00mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/824_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/826.jpg,1528-1160-ND,824,Adafruit Industries LLC,JUMPER M/F 11.811"" 1PC,133,0,"7.95000","0","1","1 per Pkg","-","Active","Male to Female, Zippable, 40 Conductor","11.811"" (300.00mm)","Various","-"
http://schmartboard.com/content/Brochures/920-0007-01.pdf,-,1988-1007-ND,920-0007-01,"Schmartboard, Inc.",QTY. 10 7"" BLUE FEMALE JUMPERS A,177,0,"6.00000","0","1","-","-","Active","Female to Female","7.00"" (177.80mm)","Blue","28 AWG"
