Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Contacts","Material"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VMEE-M_Web.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_VMEE-M.jpg,V2122-ND,VMEE-M,Vector Electronics,CARD EXTENDR 96 PIN CT VME,3,0,"382.54000","0","1","-","Active","VME","11.750"" x 9.187"" (298.00mm x 233.35mm)","96 Pins","FR4 Epoxy Glass"
-,//media.digikey.com/photos/Twin%20Industries%20Photos/MFG_7098-EXT-LF.jpg,438-1088-ND,7098-EXT-LF,Twin Industries,CARD EXTENDERS ISA,8,0,"141.00000","0","1","-","Active","ISA","6.700"" x 5.000"" (170.18mm x 127.00mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690.jpg,V1024-ND,3690,Vector Electronics,CARD EXTENDERS 22 ES CT GEN PURP,0,0,"44.91000","0","1","Vectorbord®","Active","General Purpose","6.500"" x 4.500"" (165.10mm x 114.30mm)","22 each side, 0.156"" (3.96mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-6.jpg,V1080-ND,3690-6,Vector Electronics,CARD EXTENDERS 22 ES CT GEN PURP,1,0,"54.16000","0","1","Vectorbord®","Active","General Purpose","11.000"" x 4.500"" (279.40mm x 114.30mm)","22 each side, 0.156"" (3.96mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,-,3690-1-ND,3690-1,Vector Electronics,EXTENDER CARD 3690 W/O CONN AVX,0,0,"31.88000","0","1","-","Active","-","-","-","-"
-,-,EB220-3U-ND,EB220-3U,Vector Electronics,CARD EXTENDERS BLANK,0,0,"33.16000","0","1","-","Active","-","-","-","-"
-,-,3690-17-ND,3690-17,Vector Electronics,CARD EXTENDERS 28 PER SIDE CT GP,0,0,"68.25000","0","1","-","Active","General Purpose","4.25"" L x 4.5"" W (108mm x 114.3mm)","28 contacts per side on 0.125"" Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-2.jpg,V1143-ND,3690-2,Vector Electronics,CARD EXTENDERS 36 ES CT GEN PURP,0,0,"72.43000","0","1","Vectorbord®","Active","General Purpose","11.000"" x 4.500"" (279.40mm x 114.30mm)","36 each side, 0.1"" (2.54mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-26.jpg,V1026-ND,3690-26,Vector Electronics,CARD EXTND 18/31 ES CT IBM ATISA,0,0,"76.98000","0","1","Vectorbord®","Active","IBM AT-ISA","-","18/31 each side, 0.1"" (2.54mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-22.jpg,V1025-ND,3690-22,Vector Electronics,CARD EXTENDER 31 ES CT IBM PC XT,0,0,"77.82000","0","1","Vectorbord®","Active","IBM PC, XT","5.700"" x 3.200"" (144.70mm x 81.280mm)","31 each side, 0.1"" (2.54mm) Centers","FR4 Epoxy Glass"
-,-,3690-18#-ND,3690-18#,Vector Electronics,CARD EXTENDR 30/43 ES CT GEN PUR,0,0,"78.75000","0","1","-","Active","General Purpose","7.65"" L x 12.0"" W (194.3mm x 304.8mm)","30/43 each side, 0.1""/0.156"" (2.54mm/3.96mm) Centers","FR4 Epoxy Glass"
-,-,3690-3-ND,3690-3,Vector Electronics,CARD EXTENDERS 22 ES CT GEN PURP,0,0,"78.75000","0","1","-","Active","General Purpose","9.00"" L x 4.50"" W (228.6mm x 114.3mm)","22 each side, 0.156"" (3.96mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-18.jpg,V1095-ND,3690-18,Vector Electronics,CARD EXTEND 30/43 ES CT MULTIBUS,0,0,"115.87000","0","1","Vectorbord®","Active","MultiBus","7.650"" x 12.000"" (190.50mm x 304.80mm)","30/43 each side, 0.1""/0.156"" (2.54mm/3.96mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,-,3690-26-1-ND,3690-26-1,Vector Electronics,CARD EXTENDERS IBM AT-ISA,0,0,"209.84000","0","1","Vectorbord®","Active","IBM AT-ISA","-","-","FR4 Epoxy Glass"
-,-,3690-31-ND,3690-31,Vector Electronics,CARD EXTENDER BD IBM PS/2 MOD 80,0,0,"226.97000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VMEEJ2_Web.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_VMEEJ2.jpg,VMEEJ2-ND,VMEEJ2,Vector Electronics,CARD EXTENDER 96 PIN CT VME,0,0,"262.29000","0","1","-","Active","VME","11.750"" x 3.937"" (298.00mm x 100.00mm)","96 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VMEEJ1_Web.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_VMEEJ1.jpg,VMEEJ1-ND,VMEEJ1,Vector Electronics,CARD EXTENDER 96 PIN CT VME,0,0,"262.29000","0","1","-","Active","VME","11.750"" x 3.937"" (298.00mm x 100.00mm)","96 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-34-3V.jpg,V1167-ND,3690-34-3V,Vector Electronics,CARD EXTENDER 28 PER SIDE CT PCI,0,0,"264.00000","0","1","Vectorbord®","Active","PCI","6.875"" x 4.200"" (174.60mm x 106.70mm)","28 contacts per side on 0.125"" Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-34-5V.jpg,V1166-ND,3690-34-5V,Vector Electronics,CARD EXTENDER 28 PER SIDE CT PCI,0,0,"264.00000","0","1","Vectorbord®","Active","PCI","6.875"" x 4.200"" (174.60mm x 106.70mm)","28 contacts per side on 0.125"" Centers","FR4 Epoxy Glass"
-,-,3690-28-ND,3690-28,Vector Electronics,CARD EXTENDERS MAC II,0,0,"322.50000","0","1","-","Active","-","-","-","-"
-,-,3690-30-ND,3690-30,Vector Electronics,CARD EXTENDERS IBM PS/2 66/132,0,0,"344.00000","0","1","-","Active","-","-","-","-"
-,-,VVL-5080-ND,VVL-5080,Vector Electronics,CARD EXTENDERS VME LOAD BRD VXI,0,0,"359.63000","0","1","*","Active","-","-","-","-"
https://www.vectorelect.com/uec220-6u.html,-,UEC220-6U-ND,UEC220-6U,Vector Electronics,CARD EXTENDER 64 PINS CT GEN PUR,0,0,"400.89000","0","1","-","Active","General Purpose","11.75"" L x 3.94"" W (298.5mm x 100mm)","64 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VME64xJ1.PDF,//media.digikey.com/Photos/Vector%20Photos/MFG_VME64J1.jpg,VME64J1-ND,VME64J1,Vector Electronics,CARD EXTENDERS 160 PINS CT VME,0,0,"508.50000","0","1","-","Active","VME","11.750"" x 3.937"" (298.00mm x 100.00mm)","160 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VME64xJ2.PDF,-,VME64J2-ND,VME64J2,Vector Electronics,CARD EXTENDERS 160 PINS CT VME,0,0,"508.50000","0","1","-","Active","VME","-","160 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VectorboardUncommittedExtenders.pdf,-,UEB220-9U-ND,UEB220-9U,Vector Electronics,CARD EXTENDERS 96 PINS CONTACTS,0,0,"544.59000","0","1","-","Active","-","-","96 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VectorboardUncommittedExtenders.pdf,-,UEB400-9U-ND,UEB400-9U,Vector Electronics,CARD EXTENDER TEST UNIV 9UX400MM,0,0,"662.24000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VectorboardUncommittedExtenders.pdf,-,UEB500-9U-ND,UEB500-9U,Vector Electronics,CARD EXTENDER TEST UNIV 9UX500MM,0,0,"748.50000","0","1","-","Active","-","-","-","-"
