Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Data Rate","Voltage - Supply","Idle Current, Typ @ 25°C","Link Range, Low Power","Orientation","Operating Temperature","Size","Standards","Shutdown"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR3.JPG,TFDU4301-TR3CT-ND,TFDU4301-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,2700,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","IrPHY 1.0","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR3.JPG,TFDU4301-TR3DKR-ND,TFDU4301-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,2700,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","IrPHY 1.0","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR1.jpg,TFDU4301-TR1TR-ND,TFDU4301-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,0,0,"3.32000","0","750","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","-","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR1.jpg,TFDU4301-TR1CT-ND,TFDU4301-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,449,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","-","Yes"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR1.jpg,TFDU4301-TR1DKR-ND,TFDU4301-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,449,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","-","Yes"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-E4A.JPG,RPM871-E4ATR-ND,RPM871-E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","7.60mm x 2.72mm x 2.00mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-E4A.JPG,RPM871-E4ACT-ND,RPM871-E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,329,0,"5.91000","0","1","Cut Tape (CT)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","7.60mm x 2.72mm x 2.00mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-E4A.JPG,RPM871-E4ADKR-ND,RPM871-E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8SMD,329,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","7.60mm x 2.72mm x 2.00mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H12.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H12E4A.JPG,RPM871-H12E4ATR-ND,RPM871-H12E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8-SMD,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","8.0mm x 3.0mm x 2.7mm","IrDA 1.2","-"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/RPM871-H12.pdf,//media.digikey.com/Photos/Rohm%20Photos/RPM871-H12E4A.JPG,RPM871-H12E4ACT-ND,RPM871-H12E4A,Rohm Semiconductor,MODULE IRDA 115.2KBPS 8-SMD,2155,0,"6.47000","0","1","Cut Tape (CT)","-","Obsolete","115.2kbs (SIR)","2.6V ~ 3.6V","73µA","20cm, 60cm","Top View","-20°C ~ 85°C","8.00mm x 3.00mm x 2.92mm","IrDA 1.2","-"
