Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Oxygen Range","Accuracy","Output","Operating Temperature","Voltage - Supply","Current - Supply"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-1-LC1-ND,MF010-1-LC1,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-2-LC3-ND,MF010-2-LC3,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-1-LC3-ND,MF010-1-LC3,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-1-LC4-ND,MF010-1-LC4,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-2-LC1-ND,MF010-2-LC1,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-2-LC2-ND,MF010-2-LC2,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF010-1-LC2-ND,MF010-1-LC2,Honeywell Sensing and Productivity Solutions,MF010 LOW TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-2-LC3-ND,MF020-2-LC3,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-0-LC3-ND,MF020-0-LC3,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-2-LC4-ND,MF020-2-LC4,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,0,0,"Obsolete","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
