Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Pattern Type","Strain Range","Resistance","Resistance Tolerance","Length - Active","Length - Overall Pattern","Length - Overall","Width - Active","Width - Overall Pattern","Width - Overall","Operating Temperature"
-,-,1033-1060-ND,MMF404146,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,24,0,"162.00000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.235"" (5.97mm)","0.301"" (7.64mm)","0.37"" (9.4mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.18"" (4.6mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1051-ND,MMF403817,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,22,0,"162.00000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.060"" (1.52mm)","0.144"" (3.66mm)","0.22"" (5.6mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,MMF001762-ND,MMF001762,Micro-Measurements (Division of Vishay Precision Group),EA-13-125BZ-350 STRAIN GAGES (5/,10,0,"51.66000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,MMF023410-ND,MMF023410,Micro-Measurements (Division of Vishay Precision Group),CEA-05-375UW-120 STRAIN 5 PER PK,40,0,"99.18000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,MMF001282-ND,MMF001282,Micro-Measurements (Division of Vishay Precision Group),EA-06-062TZ-350/E STRAIN GAGES (,3,0,"161.19000","0","1","EA","Active","Tee Rosette","±3%","350 Ohms","±0.2%","0.062"" (1.57mm)","0.133"" (3.38mm)","0.28"" (7.1mm)","0.075"" (1.91mm)","0.168"" (4.27mm)","0.26"" (6.6mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11241/125uw.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-125UW-350(Package).JPG,1033-1007-ND,MMF003166,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350OHM LINEAR 1=5PC,0,0,"94.32000","0","1","CEA","Active","Linear","±5%","350 Ohms","±0.3%","0.125"" (3.18mm)","0.325"" (8.26mm)","0.42"" (10.7mm)","0.180"" (4.57mm)","0.180"" (4.57mm)","0.27"" (6.9mm)","-100 ~ 350°F (-75 ~ 175°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF403206.jpg,1033-1065-ND,MMF403206,Micro-Measurements (Division of Vishay Precision Group),C5K-13-S5145-350-33F,1,0,"23.76000","0","1","C5K","Active","-","-","-","-","-","-","-","-","-","-","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF403112.jpg,1033-1067-ND,MMF403112,Micro-Measurements (Division of Vishay Precision Group),C5K-13-S5198-350-33F,0,0,"55.80000","0","1","C5K","Active","Rectangular Rosette","±1.5%","350 Ohms","±0.5%","0.014"" (0.36mm) per section","0.071"" (1.81mm)","0.09"" (2.2mm)","0.012"" (0.30mm) per section","0.143"" (3.63mm)","0.15"" (3.9mm)","-100 ~ 400°F (-75 ~ 205°C)"
-,-,MMF309393-ND,MMF309393,Micro-Measurements (Division of Vishay Precision Group),C2A-06-125LW-120 STRAIN GAGES,0,0,"22.27000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,MMF307445-ND,MMF307445,Micro-Measurements (Division of Vishay Precision Group),C2A-13-125LW-120 STRAIN GAGES,0,0,"22.27000","0","1","C2A","Active","Linear","±3%","120 Ohms","±0.6%","0.125"" (3.18mm)","0.238"" (6.05mm)","0.31"" (8.0mm)","0.070"" (1.78mm)","0.080"" (2.03mm)","0.14"" (3.6mm)","-60 ~ 180°F (-50 ~ 80°C)"
