Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Frequency Range","Frequency - Self Resonant","Impedance","Efficiency - dBA","Efficiency - Testing","Efficiency - Type","Power - Rated","Power - Max","Port Location","Shape","Material - Cone","Material - Magnet","Ingress Protection","Ratings","Termination","Size / Dimension","Height - Seated (Max)"
https://www.cui.com/product/resource/digikeypdf/cls0281mae-l152.pdf,//media.digikey.com/photos/CUI%20Photos/CLS0281MAE-L152.JPG,102-1559-ND,CLS0281MAE-L152,CUI Inc.,SPEAKER 8OHM 2W TOP PORT 87DB,9917,0,"4.37000","0","1","Tray","CLS","Active","Magnetic","Low Profile","780Hz ~ 7.5kHz","780Hz","8 Ohms","87.00","1W/500mm","Sound Pressure Level (SPL)","2W","4W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Wire Leads","1.102"" Dia (28.00mm)","0.205"" (5.20mm)"
http://www.puiaudio.com/pdf/AS02708CO-WR-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AS02708CO-WR-R.jpg,668-1112-ND,AS02708CO-WR-R,"PUI Audio, Inc.",SPEAKER 8OHM 1W TOP PORT 80DB,6636,0,"4.39000","0","1","Tray","AS","Active","Magnetic","General Purpose","250Hz ~ 20kHz","750Hz","8 Ohms","80.00","1W/500mm","Sound Pressure Level (SPL)","1W","3W","Top","Oval, Rectangular Frame","Cloth","Nd-Fe-B","Water Resistant","-","Solder Eyelet(s)","1.063"" L x 0.787"" W (27.00mm x 20.00mm)","0.236"" (6.00mm)"
http://www.puiaudio.com/pdf/ASE03008MR-LW150-R.pdf,//media.digikey.com/Photos/PUI%20Audio/ASE03008MR-LW150-R.jpg,668-1432-ND,ASE03008MR-LW150-R,"PUI Audio, Inc.",SPEAKER 8OHM 1W TOP PORT 83DB,3584,0,"4.39000","0","1","Tray","ASE","Active","Magnetic","General Purpose, Enclosure Included","550Hz ~ 18kHz","800Hz","8 Ohms","83.00","1W/500mm","Sound Pressure Level (SPL)","1W","1.5W","Top","Rectangular","Polyester, Polyethylene Terephthalate (PET)","Rare Earth","-","-","Wire Leads","1.181"" L x 0.984"" W (30.00mm x 25.00mm)","0.236"" (6.00mm)"
https://www.cui.com/product/resource/digikeypdf/cls0401mae-l152.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CLS0401MAE-L152.jpg,102-1560-ND,CLS0401MAE-L152,CUI Inc.,SPEAKER 4OHM 1W TOP PORT 91DB,3425,0,"4.43000","0","1","Tray","CLS","Active","Magnetic","Low Profile","500Hz ~ 7kHz","500Hz","4 Ohms","91.00","1W/500mm","Sound Pressure Level (SPL)","1W","2W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Wire Leads","1.575"" Dia (40.00mm)","0.197"" (5.00mm)"
https://www.cui.com/product/resource/digikeypdf/cls0402ma-1-l152.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CLS0402MA-1-L152.jpg,102-1551-ND,CLS0402MA-1-L152,CUI Inc.,SPEAKER 8OHM 500MW TOP PORT 90DB,3923,0,"4.43000","0","1","Tray","CLS","Active","Magnetic","Low Profile","530Hz ~ 6kHz","530Hz","8 Ohms","90.00","500mW/500mm","Sound Pressure Level (SPL)","500mW","1W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Wire Leads","1.575"" Dia (40.00mm)","0.209"" (5.30mm)"
https://www.cui.com/product/resource/digikeypdf/cls0281-l152.pdf,//media.digikey.com/photos/CUI%20Photos/CLS0281-L152.JPG,102-1562-ND,CLS0281-L152,CUI Inc.,SPEAKER 8OHM 1W TOP PORT 82DB,44781,0,"4.63000","0","1","Tray","CLS","Active","Magnetic","Low Profile","500Hz ~ 20kHz","500Hz","8 Ohms","82.00","1W/500mm","Sound Pressure Level (SPL)","1W","3W","Top","Round","Paper","Nd-Fe-B","-","-","Wire Leads","1.102"" Dia (28.00mm)","0.228"" (5.80mm)"
https://www.cui.com/product/resource/digikeypdf/cls0231-l152.pdf,//media.digikey.com/photos/CUI%20Photos/CLS0231-L152.JPG,102-1561-ND,CLS0231-L152,CUI Inc.,SPEAKER 8OHM 1W TOP PORT 89DB,4308,0,"4.63000","0","1","Tray","CLS","Active","Magnetic","Low Profile","520Hz ~ 18kHz","650Hz","8 Ohms","89.00","1W/500mm","Sound Pressure Level (SPL)","1W","1.5W","Top","Round","Paper","Nd-Fe-B","-","-","Wire Leads","0.906"" Dia (23.00mm)","0.224"" (5.70mm)"
http://www.puiaudio.com/pdf/AS04004PO-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AS04004PO-2-R.jpg,668-1234-ND,AS04004PO-2-R,"PUI Audio, Inc.",SPEAKER 4OHM 3W TOP PORT 82DB,14808,0,"4.74000","0","1","Tray","AS","Active","Magnetic","General Purpose","200Hz ~ 20kHz","420Hz","4 Ohms","82.00","1W/500mm","Sound Pressure Level (SPL)","3W","4W","Top","Oval, Rectangular Frame","Paper","Rare Earth","-","-","Solder Eyelet(s)","1.575"" L x 1.122"" W (40.00mm x 28.50mm)","0.461"" (11.70mm)"
http://www.puiaudio.com/pdf/AS04008CO-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AS04008CO-R.jpg,668-1235-ND,AS04008CO-R,"PUI Audio, Inc.",SPEAKER 8OHM 2W TOP PORT 83DB,3227,0,"4.74000","0","1","Tray","AS","Active","Magnetic","General Purpose","200Hz ~ 20kHz","500Hz","8 Ohms","83.00","1W/500mm","Sound Pressure Level (SPL)","2W","3W","Top","Oval, Rectangular Frame","Cloth","Nd-Fe-B","-","-","Solder Pads","1.575"" L x 0.787"" W (40.00mm x 20.00mm)","0.228"" (5.80mm)"
http://www.puiaudio.com/pdf/AS04008PO-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AS04008PO-2-R.jpg,668-1236-ND,AS04008PO-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 1W TOP PORT 84DB,3068,0,"4.74000","0","1","Tray","AS","Active","Magnetic","General Purpose","450Hz ~ 20kHz","450Hz","8 Ohms","84.00","1W/500mm","Sound Pressure Level (SPL)","1W","2W","Top","Oval, Rectangular Frame","Paper","Nd-Fe-B","-","-","Solder Eyelet(s)","1.575"" L x 1.114"" W (40.00mm x 28.30mm)","0.472"" (12.00mm)"
http://www.puiaudio.com/pdf/AS04008CO-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_AS04008CO-2-R.jpg,668-1360-ND,AS04008CO-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 1.5W TOP PORT 84DB,1626,0,"4.74000","0","1","Tray","AS","Active","Magnetic","General Purpose","200Hz ~ 20kHz","550Hz","8 Ohms","84.00","1W/500mm","Sound Pressure Level (SPL)","1.5W","3W","Top","Oval, Rectangular Frame","Cloth","Nd-Fe-B","-","-","Solder Eyelet(s)","1.575"" L x 0.787"" W (40.00mm x 20.00mm)","0.315"" (8.00mm)"
