Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Length","Width","Height","Interface","Type","Diagonal Screen Size"
http://multimedia.3m.com/mws/media/526011O/marketing-drawing-34079-mkt.pdf,-,98000322093-ND,98000322093,3M Touch Systems,TOUCH SCREEN CAPACITIVE 22.37"",0,0,"146.79600","0","10","MicroTouch™ System SCT3250","Active","18.83"" (478.28mm)","0.125"" (3.18mm)","12.08"" (306.81mm)","Requires Controller","Capacitive","22.37"" (568.2mm)"
-,-,98000334205-ND,98000334205,3M Touch Systems,TOUCH SCREEN CAPACITIVE 22.37"",0,0,"146.79600","0","10","MicroTouch™ SCT3210","Active","18.83"" (478.28mm)","-","12.08"" (306.81mm)","Requires Controller","Capacitive","22.37"" (568.2mm)"
http://multimedia.3m.com/mws/media/367128O/ex-ii-usb-controllers-reference-guide-5710uc-5750uc-7710uc.pdf,-,98000332654-ND,98000332654,3M Touch Systems,TOUCH SCREEN CAPACITIVE 18.61"",0,0,"148.14889","0","9","MicroTouch™ System SCT3250","Active","16.22"" (411.99mm)","0.125"" (3.18mm)","9.13"" (231.9mm)","USB","Capacitive","18.61"" (472.77mm)"
http://multimedia.3m.com/mws/media/367149O/ex-ii-serial-controllers-reference-guide-1710-1720-1750-7720.pdf,-,98000332662-ND,98000332662,3M Touch Systems,TOUCH SCREEN CAPACITIVE 18.61"",0,0,"148.14889","0","9","MicroTouch™ System SCT3250","Active","16.22"" (411.99mm)","0.125"" (3.18mm)","9.13"" (231.9mm)","Serial","Capacitive","18.61"" (472.77mm)"
-,-,98110001009-ND,98110001009,3M,TOUCH SCREEN CAPACITIVE 18.61"",0,0,"148.14889","0","9","MicroTouch™ SCT3210","Active","16.22"" (412.0mm)","0.125"" (3.18mm)","9.13"" (231.9mm)","USB","Capacitive","18.61"" (472.69mm)"
http://multimedia.3m.com/mws/media/525963O/marketing-drawing-tsd-28177.pdf,-,98000329270-ND,98000329270,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.71"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.31"" (388.87mm)","0.125"" (3.18mm)","12.42"" (315.47mm)","Serial","Capacitive","19.71"" (500.63mm)"
http://multimedia.3m.com/mws/media/525986O/marketing-drawing-28382-mkt-17-8511-2xx.pdf,-,98000326151-ND,98000326151,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.75"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.37"" (390.4mm)","0.125"" (3.18mm)","12.39"" (314.71mm)","Serial","Capacitive","19.75"" (501.4mm)"
http://multimedia.3m.com/mws/media/525985O/marketing-drawing-28364-mkt-17-855x-2xx.pdf,-,98000332613-ND,98000332613,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.73"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.31"" (388.98mm)","0.125"" (3.18mm)","12.45"" (315.47mm)","USB","Capacitive","19.73"" (501.35mm)"
http://multimedia.3m.com/mws/media/367149O/ex-ii-serial-controllers-reference-guide-1710-1720-1750-7720.pdf,-,98000332621-ND,98000332621,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.73"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.31"" (388.98mm)","0.125"" (3.18mm)","12.45"" (315.47mm)","Serial","Capacitive","19.73"" (501.35mm)"
http://multimedia.3m.com/mws/media/526004O/marketing-drawing-tsd-32144-17-889x-2xx.pdf,-,98000326649-ND,98000326649,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.42"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.05"" (382.27mm)","0.125"" (3.18mm)","12.28"" (311.91mm)","USB","Capacitive","19.42"" (493.27mm)"
http://multimedia.3m.com/mws/media/526004O/marketing-drawing-tsd-32144-17-889x-2xx.pdf,-,98000329551-ND,98000329551,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.42"",0,0,"153.20500","0","10","MicroTouch™ System SCT3250","Active","15.05"" (382.27mm)","0.125"" (3.18mm)","12.28"" (311.91mm)","Serial","Capacitive","19.42"" (493.27mm)"
