Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Duct Type","Height","Length","Width","Mounting Type","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-WDG1-5X3-36897-701-R2--ENG.pdf,-,298-18332-ND,G1.5X3BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',38,0,"52.71000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.750"" (44.45mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/PartDrawings/C-WDF15X3IB6--ENG.pdf,-,298-18254-ND,F1.5X3IB6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLUE 6',20,0,"52.71000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.750"" (44.45mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Blue"
http://www.panduit.com/heiler/PartDrawings/C-WDG4X1-5-36897-714-R2--ENG.pdf,-,298-18367-ND,G4X1.5LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',20,0,"52.92000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","1.490"" (37.85mm)","6.00' (1.83m)","4.250"" (107.95mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG3X2-36897-710-R2--ENG.pdf,-,298-18358-ND,G3X2BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',80,0,"53.03000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/CatalogCutSheets/G.5X.5LG6%20Product%20Page.pdf,-,298-18359-ND,G3X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',75,0,"53.03000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/CatalogCutSheets/F.5X.5LG6%20Product%20Page.pdf,-,298-18278-ND,F3X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',60,0,"53.03000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG3X2-36897-710-R2--ENG.pdf,-,298-18360-ND,G3X2WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',40,0,"53.03000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDF3X2-36897-777-R2--ENG.pdf,-,298-18279-ND,F3X2WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',20,0,"53.03000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","3.251"" (82.58mm)","Screw","-","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDMC50X50-36897-805-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MC50X50IG2.JPG,298-18475-ND,MC50X50IG2,Panduit Corp,WIRE DUCT SLOTTED 2PC SCRW 6.56',38,0,"53.27000","0","1","PANDUCT® Type MC","Active","Slotted (Raceway), 2 Piece","1.880"" (47.75mm)","6.56' (2.00m)","1.950"" (49.53mm)","Screw","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG2X3-36897-706-R2--ENG.pdf,-,298-18349-ND,G2X3BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',22,0,"54.08000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","3.010"" (76.45mm)","6.00' (1.83m)","2.250"" (57.15mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/PartDrawings/C-WDF2X3LG6--ENG.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_F-WiringDuct_IB.jpg,298-18270-ND,F2X3IB6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLUE 6',20,0,"54.08000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","3.010"" (76.45mm)","6.00' (1.83m)","2.250"" (57.15mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Blue"
-,-,298-18269-ND,F2X3BL6,Panduit Corp,"NARROW SLOTTED DUCT, PVC, 2"" X 3",20,0,"54.08000","0","1","*","Active","-","-","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WDG2X3-36897-706-R2--ENG.pdf,-,298-18350-ND,G2X3IB6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLUE 6',9,0,"54.08000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","3.010"" (76.45mm)","6.00' (1.83m)","2.250"" (57.15mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Blue"
http://www.panduit.com/heiler/PartDrawings/C-WDFS3X3LG6NM--ENG.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_FS-Series_LG.jpg,298-18316-ND,FS3X3LG6NM,Panduit Corp,WIRE DUCT SOLID BASE GRAY 6',87,0,"54.39000","0","1","PANDUCT® Type FS","Active","Solid (Raceway), Base","3.000"" (76.20mm)","6.00' (1.83m)","3.251"" (82.58mm)","-","No Mounting Holes","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/CatalogCutSheets/NE.5X.5WH6%20Product%20Paper.pdf,-,298-18509-ND,NE2X1WH6,Panduit Corp,WIRE DUCT SLOTTED SCREW WHITE 6',36,0,"54.92000","0","1","PANDUCT® Type NE","Active","Slotted (Raceway), Base","1.000"" (25.40mm)","6.00' (1.83m)","2.140"" (54.35mm)","Screw","-","Polyphenylene Oxide (PPO), Halogen Free","White"
