Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Capacitance Range","Mounting Type","Voltage - Rated","Tolerance","Applications","Features","Quantity","Packages Included"
http://www.cde.com/resources/catalogs/FCA.pdf,-,FCA-KIT1-ND,FCA-KIT1,Cornell Dubilier Electronics (CDE),CAP KIT FILM 0.1UF-1UF 168PCS,0,0,"Obsolete","0","1","Bulk","FCA","Obsolete","Film","0.1µF ~ 1µF","Surface Mount","16V","±20%","General Purpose","-","168 Pieces (7 Values - 24 Each)","0805, 1206, 1210 (2012, 3216, 3225 Metric)"
http://www.cde.com/resources/catalogs/FCN.pdf,-,FCN-KIT1-ND,FCN-KIT1,Cornell Dubilier Electronics (CDE),CAP KIT FILM 0.068UF-0.47UF 80PC,0,0,"Obsolete","0","1","Bulk","FCN","Obsolete","Film","0.068µF ~ 0.47µF","Surface Mount","16V, 50V","±5%","General Purpose","-","80 Pieces (8 Values - 10 Each)","1913, 2416 (4833, 6041 Metric)"
http://www.cde.com/resources/catalogs/FCN.pdf,-,FCN-KIT2-ND,FCN-KIT2,Cornell Dubilier Electronics (CDE),CAP KIT FILM 1000PF-1UF 100PCS,0,0,"Obsolete","0","1","Bulk","FCN","Obsolete","Film","1000pF ~ 1µF","Surface Mount","100V","±5%, ±10%","General Purpose","-","100 Pieces (10 Values - 10 Each)","-"
http://www.cde.com/resources/catalogs/FCN.pdf,-,FCN-KIT3-ND,FCN-KIT3,Cornell Dubilier Electronics (CDE),CAP KIT FILM 1000PF-1UF 120PCS,0,0,"Obsolete","0","1","Bulk","FCN","Obsolete","Film","1000pF ~ 1µF","Surface Mount","250V","±10%","General Purpose","-","120 Pieces (12 Values - 10 Each)","-"
http://www.cde.com/resources/catalogs/FCP.pdf,-,FCP-KIT1-ND,FCP-KIT1,Cornell Dubilier Electronics (CDE),CAP KIT FILM 100PF-0.1UF 204PCS,0,0,"Obsolete","0","1","Bulk","FCP","Obsolete","Film","100pF ~ 0.1µF","Surface Mount","50V","±5%","High Frequency, Switching","-","204 Pieces (17 Values - 12 Each)","0805, 1206, 1210, 1913 (2012, 3216, 3225, 4833 Metric)"
http://www.cde.com/resources/catalogs/FCP.pdf,-,FCP-KIT2-ND,FCP-KIT2,Cornell Dubilier Electronics (CDE),CAP KIT FILM 3300PF-0.1UF 144PCS,0,0,"Obsolete","0","1","Bulk","FCP","Obsolete","Film","3300pF ~ 0.1µF","Surface Mount","16V","±5%","High Frequency, Switching","-","144 Pieces (12 Values - 12 Each)","0805, 1206, 1210 (2012, 3216, 3225 Metric)"
http://www.cde.com/resources/catalogs/ESRD.pdf,-,ESRD-KIT6-ND,ESRD-KIT6,Cornell Dubilier Electronics (CDE),CAP KIT ALUM POLY 8.2-56UF 30PCS,0,0,"Obsolete","0","1","Bulk","ESRD","Obsolete","Aluminum (Polymer)","8.2µF ~ 56µF","Surface Mount","4 ~ 16 V","±20%","Bypass, Decoupling","-","30 Pieces (5 Values - 6 Each)","2917 (7343 Metric)"
http://www.cde.com/resources/catalogs/ESRD.pdf,-,ESRD-KIT9-ND,ESRD-KIT9,Cornell Dubilier Electronics (CDE),CAP KIT ALUM POLY 100-200UF 30PC,0,0,"Obsolete","0","1","Bulk","ESRD","Obsolete","Aluminum (Polymer)","100µF ~ 200µF","Surface Mount","2 ~ 6.3 V","±20%","Bypass, Decoupling","-","30 Pieces (5 Values - 6 Each)","2917 (7343 Metric)"
http://www.cde.com/resources/catalogs/ESRE.pdf,-,ESRE-KIT2-ND,ESRE-KIT2,Cornell Dubilier Electronics (CDE),CAP KIT ALUM POLY 100-330UF 42PC,0,0,"Obsolete","0","1","Bulk","ESRE","Obsolete","Aluminum (Polymer)","100µF ~ 330µF","Surface Mount","2 ~ 8 V","±20%","Bypass, Decoupling","-","42 Pieces (7 Values - 6 Each)","2917 (7343 Metric)"
http://www.cde.com/resources/catalogs/TAC.pdf,-,TAC151A-ND,TAC151A,Cornell Dubilier Electronics (CDE),CAP KIT TANT 0.47UF-56UF 84PCS,0,0,"Obsolete","0","1","Plastic Cabinet","TAC","Obsolete","Tantalum","0.47µF ~ 56µF","Through Hole","6 ~ 50 V","±10%","General Purpose","-","84 Pieces (Assorted Per Value)","Axial"
http://www.cde.com/resources/catalogs/TAC.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/TAC151A-F.JPG,338-3593-ND,TAC151A-F,Cornell Dubilier Electronics (CDE),CAP KIT TANT 0.47UF-56UF 84PCS,0,0,"Obsolete","0","1","Plastic Cabinet","TAC","Obsolete","Tantalum","0.47µF ~ 56µF","Through Hole","6 ~ 50 V","±10%","General Purpose","-","84 Pieces (Assorted Per Value)","Axial"
