Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Style","Material - Core","Quantity","Inductance Range","Mounting Type","Packages Included","Features","Shielding"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744300.jpg,732-10174-ND,744300,Wurth Electronics Inc.,SMD HIGH CURRENT FLAT WIRE INDUC,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-HCM","Active","Fixed","Wirewound","Manganese Zinc Ferrite (MnZn)","145 Pieces (29 Values - 5 Each)","72nH ~ 470nH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_784775_DesignKit_IndPD2A_Q+.jpg,732-10165-ND,784775,Wurth Electronics Inc.,SMD POWER INDUCTORS WE-PD2A - 78,0,0,"145.00000","0","1","Plastic Box with Bin Guide","WE-PD2A","Active","Fixed","Wirewound","Ferrite","350 Pieces (35 Values - 10 Each)","10µH ~ 180µH","Surface Mount","Non-Standard SMD","AEC-Q200","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/Low_Power_Design_Kit.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744721.JPG,732-1923-ND,744721,Wurth Electronics Inc.,KIT CHOKES FOR EXAR,0,0,"154.00000","0","1","Plastic Box with Bin Guide","-","Active","Fixed","Wirewound","Ferrite","175 Pieces (35 Values - 5 Each)","130nH ~ 82µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744355.JPG,732-1921-ND,744355,Wurth Electronics Inc.,KIT INDUCTOR HC/HCA SMALL SIZES,0,0,"176.25000","0","1","Plastic Box with Bin Guide","WE-HC/HCA","Active","Fixed","Wirewound","-","150 Pieces (30 Values - 5 Each)","150nH ~ 16µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744778.JPG,732-1925-ND,744778,Wurth Electronics Inc.,KIT INDUCTOR PD SERIES SMALL,0,0,"176.25000","0","1","Plastic Box with Bin Guide","WE-PD","Active","Fixed","Wirewound","Ferrite","350 Pieces (35 Values - 10 Each)","1µH ~ 330µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7443732.jpg,732-10171-ND,7443732,Wurth Electronics Inc.,SMD LOW PROFILE HIGH CURRENT MOL,0,0,"176.25000","0","1","Plastic Box with Bin Guide","WE-LHMI","Active","Fixed","Molded","Iron Powder","300 Pieces (30 Values - 10 Each)","130nH ~ 10µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744357.jpg,732-10170-ND,744357,Wurth Electronics Inc.,SMD FLAT WIRE HIGH CURRENT INDUC,0,0,"183.75000","0","1","Plastic Box with Bin Guide","WE-HCI","Active","Fixed","Wirewound","Metal Composite","75 Pieces (15 Values - 5 Each)","820nH ~ 47µH","Surface Mount","Non-Standard SMD","-","-"
-,-,3650/0402LABKIT-ND,3650/0402LABKIT,TE Connectivity Passive Product,3650 0402 LAB KIT,0,0,"541.23400","0","10","Notebook","3650, Sigma Inductors","Active","Fixed","Wirewound","-","2150 Pieces (43 Values - 50 Each)","1nH ~ 68nH","Surface Mount","0402 (1005 Metric)","-","-"
-,//media.digikey.com/photos/Panasonic%20Photos/Q286294.jpg,PCD1-KIT-ND,Q286294,Panasonic Electronic Components,KIT INDUCTOR TYPE RE SMD,0,0,"Discontinued at Digi-Key","0","1","Notebook","ELJ-RE","Discontinued at Digi-Key","Fixed","Multilayer","Non-Magnetic","230 Pieces (23 Values - 10 Each)","1.5nH ~ 100nH","Surface Mount","0603 (1608 Metric)","-","-"
-,-,PCD2-KIT-ND,Q286212,Panasonic Electronic Components,KIT INDUCTOR TYPE ND SMD,0,0,"Discontinued at Digi-Key","0","1","-","ELJ-ND","Discontinued at Digi-Key","Fixed","Wirewound","Non-Magnetic","250 Pieces (25 Values - 10 Each)","10nH ~ 1µH","Surface Mount","0805 (2012 Metric)","-","-"
