Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Values","Diameter","Color","Shrinkage Ratio"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MK-0001-30&DocType=Customer+Drawing&DocLang=English,-,8-1197536-4-ND,8-1197536-4,TE Connectivity Raychem Cable Protection,TUBING PKG,0,0,"51.18000","0","50","Plastic Box","-","Active","20 pcs - 4"" (101.6mm) lengths","1/16"" ~ 1/8""","Clear","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-QK1-01-6IN-114-ND,Q5-F3X-QK1-01-6IN-114,Qualtek,HEATSHRINK KIT 1/8""-3/4"" 114 PC,0,0,"62.34200","0","5","Plastic Box with Bin Guide","Q5-F3X","Active","114 pcs - 6"" (152.4mm) lengths","28 ea of 1/8"", 24 ea of 3/16"", 20 ea of 1/4"", 16 ea of 3/8"", 14 ea of 1/2"", 12 ea of 3/4""","Black","3 to 1"
http://multimedia.3m.com/mws/media/769041O/3mtm-heat-shrink-tubing-and-devices-product-catalog.pdf,//media.digikey.com/photos/3M%20Photos/FPC-KIT-ND.jpg,FPC-KIT-ND,FPC-KIT,3M,KIT HEATSHRINK 3M 55 PC 275',5,0,"116.17000","0","1","Bag Per Value","FP-301","Active","55 pcs - 5' (1.52m) lengths","6 ea of 3/64"" 7 ea of 3/8"", 1/16"", 3/32"", 3/16"", 1/4"", 1/2"", 1/8""","Black, Blue, Clear, Green, Red, White, Yellow","2 to 1"
http://www.hellermanntyton.com/shared/pdf/HT_UKcom_2016_2017_2_1_201-202.pdf,-,365-30100-ND,365-30100,HellermannTyton,SERVICE STATION 3:1 KIT,0,0,"123.37000","0","1","Rack, Cutter and 5 Dispenser Boxes","HIS","Active","5 reels - 4 different sizes","0.118"" ~ 0.945"" OD (3.0mm ~ 24.0mm)","Black","3 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RayBlock_105_9-1773447-9&DocType=CS&DocLang=English,-,A120781-ND,RBK-105-KIT-0102-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"161.28000","0","1","Box","RayBlock 105","Active","1000 ea of 1.57"" L Tubing, 2 Channel Hot Melt","0.470"" (12.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MK-0001-35&DocType=Customer+Drawing&DocLang=English,-,MK-0001-35-SCL-TBG-PKG-ND,MK-0001-35-SCL-TBG-PKG,TE Connectivity Raychem Cable Protection,HEAT SHRINK TUBING PKG,0,0,"239.17200","0","50","Plastic Box","Thermofit RNF-100","Active","80 pcs - 4"" (101.6mm) lengths","3/16"" ~ 1/2""","Blue, Gray, Red, White","3 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CD_RayBlock_85&DocType=Customer+Drawing&DocLang=English,-,A120786-ND,RBK-85-KIT-0102-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"276.02000","0","1","Box","RayBlock 85","Active","1000 ea of 1.57"" L Tubing, 2 Channel Hot Melt","0.470"" (12.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RayBlock_105_9-1773447-9&DocType=CS&DocLang=English,-,A120782-ND,RBK-105-KIT-0103-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"308.00000","0","1","Box","RayBlock 105","Active","1000 ea of 1.57"" L Tubing, 3 Channel Hot Melt","0.630"" (16.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RayBlock_105_9-1773447-9&DocType=CS&DocLang=English,-,A120785-ND,RBK-105-KIT-0504-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"408.80000","0","1","Box","RayBlock 105","Active","1000 ea of 1.77"" L Tubing, 4 Channel Hot Melt","0.630"" (16.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CD_RayBlock_85&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/RBK-85-KIT-0405-A0.jpg,A120788-ND,RBK-85-KIT-0405-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"435.39000","0","1","Box","RayBlock 85","Active","1000 ea of 1.77"" L Tubing, 5 Channel Hot Melt","0.945"" (24.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RBK-105-KIT-0204-A0&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/003975-000.JPG,A116777-ND,RBK-105-KIT-0204-A0,TE Connectivity Raychem Cable Protection,RBK-105-KIT-0204-A0,0,0,"479.02000","0","1","Box","RayBlock 105","Active","1000 ea of 1.30"" L Tubing, 4 Channel Hot Melt","0.630"" (16.0mm)","Black, Amber","4 to 1"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RW-2101&DocType=SS&DocLang=EN,-,RBK-85-KIT-0102-AX-ND,RBK-85-KIT-0102-AX,TE Connectivity Raychem Cable Protection,HEAT SHRINK,0,0,"535.65000","0","1","-","RayBlock 85","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RW-2101&DocType=SS&DocLang=EN,-,RBK-85-KIT-0103-AX-ND,RBK-85-KIT-0103-AX,TE Connectivity Raychem Cable Protection,HEAT SHRINK,0,0,"568.47000","0","1","-","RayBlock 85","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/TRSA_Series.pdf,-,TRSA-1014/C/1/N-KIT-ND,TRSA-1014/C/1/N-KIT,TE Connectivity Raychem Cable Protection,TRSA-1014/C/1/N-KIT,0,0,"583.09000","0","1","-","TRSA","Active","1000 ea of Numbers 0-9; 0.197"" (5.0mm) Marker Length","0.118"" (3mm)","Yellow","3 to 1"
http://www.hellermanntyton.com/shared/pdf/HT_UKcom_2016_2017_2_1_199-199.pdf,-,319-30000-ND,319-30000,HellermannTyton,TREDUX DISPLAY,0,0,"604.24000","0","1","Rack with Display Boxes","TREDUX","Active","249 pcs - 24 different sizes 3.28' (1.00m) lengths","0.059"" ~ 1.77"" O.D (1.5mm ~ 45.0mm)","Black, Green/Yellow","3 to 1 (Thin Wall), 3.5 to 1 (Medium Wall, Adhesive Lined), 4 to 1 (Thick Wall, Adhesive Lined)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CD_RayBlock_85&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/RBK-85-KIT-0107-A0.jpg,A120787-ND,RBK-85-KIT-0107-A0,TE Connectivity Raychem Cable Protection,HEATSHRINK,0,0,"930.24000","0","1","Box","RayBlock 85","Active","1000 ea of 2.56"" L Tubing, 7 Channel Hot Melt","0.945"" (24.0mm)","Black, Amber","4 to 1"
