Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Resistive Material","Taper","Tolerance","Power (Watts)","Number of Turns","Quantity","Termination Style"
https://www.bourns.com/docs/technical-documents/featured-product-bulletins/Bourns_SC1508_H-830-1_Kit_FPB.pdf,-,H-830-1-ND,H-830-1,Bourns Inc.,KIT POT ROTARY 5-10K OHM 12PCS,0,0,"49.74000","0","1","Plastic Box with Bin Guide","Pro Audio 3310","Active","Rotary","5k ~ 10k","Conductive Plastic","Linear","±20%","1/4W","1","12 Pieces (6 Values - 2 Each)","PC Pins"
-,-,H-590-ND,H-590,Bourns Inc.,KIT POT ROTARY 10K OHM 4PCS,0,0,"57.81000","0","1","Plastic Box with Bin Guide","3549, Hybritron® 3549","Active","Rotary","10k","Hybritron®, Wirewound","Linear","±3%, ±10%","2W","10","4 Pieces (4 Values - 1 Each)","Solder Lug"
-,//media.digikey.com/Photos/Bourns%20Photos/MFG_H-1203.jpg,H-1203-ND,H-1203,Bourns Inc.,KIT POT ROTARY 5K-1M OHM 6PCS,0,0,"87.57000","0","1","Plastic Box with Bin Guide","96","Active","Rotary","5k ~ 1M","Conductive Plastic","Linear, Logarithmic","±10%","1/2W, 1W","1","6 Pieces (6 Values - 1 Each)","PC Pins"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773190&DocType=DS&DocLang=English,-,CB10LABKIT-ND,CB10LABKIT,TE Connectivity Passive Product,KIT POT TRIM 100-10M OHM 160PCS,0,0,"123.95700","0","10","Bulk","CB10, Citec","Active","Trimmer","100 ~ 10M","Carbon","-","±20%, ±30%","0.15W","1","160 Pieces (32 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/82.pdf,-,H-1200-ND,H-1200,Bourns Inc.,KIT POT ROTARY 250-500K OHM 24PC,0,0,"284.10000","0","1","Plastic Box with Bin Guide","82, 95","Active","Rotary","250k ~ 500k","Conductive Plastic","Logarithmic","±10%, ±20%","1/4W","1","24 Pieces (12 Values - 2 Each)","Solder Hook"
-,//media.digikey.com/photos/Panasonic%20Photos/Q26092.jpg,DXA-KIT-ND,DXA-KIT,Panasonic Electronic Components,KIT POT TRIM 200-500K OHM 140PCS,0,0,"Obsolete","0","1","Notebook","EVN-D2A, EVN-D8A","Obsolete","Trimmer","200 ~ 500k","Carbon","-","±30%","1/10W","1","140 Pieces (14 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3329.pdf,-,3329P-KIT-ND,Q23657,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3329 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","1","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3329.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23665.JPG,3329X-KIT-ND,Q23665,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3329 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","1","70 Pieces (14 Values - 5 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3006.pdf,//media.digikey.com/Photos/Copal%20Photos/MFG_3005%5E3006%5E3009.jpg,3006P-KIT-ND,Q23466,Bourns Inc.,KIT POT TRIMMER 100-2M OHM 150PC,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3006 - Sealed","Discontinued at Digi-Key","Trimmer","100 ~ 2M","Cermet","-","±10%","3/4W","15","150 Pieces (15 Values - 10 Each)","PC Pins"
https://www.bourns.com/docs/Product-Datasheets/3329.pdf,//media.digikey.com/photos/Bourns%20Photos/Q23661.jpg,3329S-KIT-ND,Q23661,Bourns Inc.,KIT POT TRIMMER 50-1M OHM 70PCS,0,0,"Discontinued at Digi-Key","0","1","Notebook","Trimpot® 3329 - Sealed","Discontinued at Digi-Key","Trimmer","50 ~ 1M","Cermet","-","±10%","1/2W","1","70 Pieces (14 Values - 5 Each)","PC Pins"
