Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Applications","Efficiency","Operating Temperature","Output Connector","Size / Dimension","Approvals"
http://catalog.triadmagnetics.com/Asset/WAU160-750-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,237-2201-ND,WAU160-750-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 750MA,99,288,"17.08000","0","1","WAU160","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","750mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU200-600.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU200-600-ND,WAU200-600,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 600MA,23,372,"17.74000","0","1","WAU200","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","600mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU20-200.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/WAU-20-Series.jpg,237-1888-ND,WAU20-200,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 200MA,80,144,"12.97000","0","1","WAU20","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","200mA","4W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU16-400.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-16%20Series.jpg,237-1886-ND,WAU16-400,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 400MA,71,252,"13.66000","0","1","WAU16","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","400mA","6W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPE2EE.JPG,HM5221-ND,BPE2EE,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 14V 40W,16,119,"22.43000","0","1","BPE2x","Active","North America","Wall Mount","Fixed Blade","120VAC","14VAC","2.86A","40W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.80"" W x 3.58"" H (54.1mm x 71.1mm x 91.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU20-2000.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/WAU-20-Series.jpg,237-1889-ND,WAU20-2000,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 2A,37,182,"32.40000","0","1","WAU20","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","2A","40W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","2.17"" L x 2.68"" W x 3.35"" H (55.0mm x 68.0mm x 85.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU24-1000.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-24%20Series.jpg,237-2300-ND,WAU24-1000,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 1A,0,0,"15.60000","0","1","WAU24","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","1A","24W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU20-500.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/WAU-20-Series.jpg,237-1890-ND,WAU20-500,Triad Magnetics,AC/AC WALL MNT ADAPTER 20V 500MA,23,458,"12.91000","0","1","WAU20","Active","North America","Wall Mount","Fixed Blade","120VAC","20VAC","500mA","10W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPD2F.jpg,HM5220-ND,BPD2EE,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 14V 20W,15,114,"17.58000","0","1","BPD2x","Active","North America","Wall Mount","Fixed Blade","120VAC","14VAC","1.43A","20W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.44"" W x 2.75"" H (54.1mm x 62.0mm x 70.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU090-1200-S.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_S.jpg,WAU090-1200-S-ND,WAU090-1200-S,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,0,0,"13.20052","0","504","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
