Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/110-07101.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_MK7P.jpg,1436-1829-ND,MK7P,HellermannTyton,MARK 7 PNEUMATIC,19,0,"1296.88000","0","1","Mark 7","Active","Gun, Pneumatic","Ergonomic, Adjustable Tension, Flush Cut, Quick Connect Fittings","Cable Ties T18-T80 Series"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/110-00221.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_MK9-221.jpg,1436-1830-ND,MK9-221,HellermannTyton,REPLACEMENT BLADE FOR MARK 9,48,0,"7.57000","0","1","Mark 9","Active","Accessory, Blade","Ergonomic, Adjustable Tension, Flush Cut","Mark 9 Series Tools"
http://www.essentracomponents.com.sg/images-line/pdfs/WIT_GUNS.pdf,//media.digikey.com/photos/Richco%20Photos/WIT-1.jpg,RPC1638-ND,WIT-1,Essentra Components,WIRE TIE GUN,40,0,"21.47000","0","1","WIT","Active","Gun","-","WIT-18 through -50 Ties"
http://wpc.ac62.edgecastcdn.net/00AC62/documents/manuals/EVO_Manual_US_MAN.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_110-80037.jpg,1436-1687-ND,110-80037,HellermannTyton,EVO -9 REPLACEMENT BLADE,36,0,"25.19000","0","1","EVO®","Active","Accessory, Blade","-","EVO-9 Cable Tie Tool (1436-1686-ND)"
http://www.panduit.com/heiler/PartDrawings/HTMT%20CD_TB25214B01_00.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/HTMT.jpg,298-1105-ND,HTMT,Panduit Corp,TOOL FOR METAL LOCK TIE,17,0,"27.14000","0","1","Pan-Steel® Wave-Ty™","Active","Tightener","-","Pan-Steel®, Wave-Ty"
http://www.panduit.com/heiler/PartDrawings/STS2%20CD_WE19333B01_00.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/STS2.jpg,298-1097-ND,STS2,Panduit Corp,TOOL CABLE TIE,77,0,"35.28000","0","1","-","Active","Gun","Ergonomic, Twist Cut-Off","Miniature, Intermediate, and Standard Ties; 0.100"" ~ 0.190"" (2.54mm ~ 4.83mm) Width"
http://www.panduit.com/heiler/InstallInstructions/N-CTK4HBLD-PA19741A01--REV3--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BladeReplaceKit.jpg,298-11571-ND,K4H-BLD,Panduit Corp,KIT BLADE REPLACE FOR GS4H,11,0,"40.23000","0","1","-","Active","Accessory, Blade","-","298-1099-ND"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/K2-BLD2.JPG,298-10368-ND,K2-BLD2,Panduit Corp,KIT BLADE REPLACE GS2B & PPTS,7,0,"41.38000","0","1","-","Active","Accessory, Blade","-","298-1098-ND"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=734587&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/Tyco%20Amp%20Photos/734587-1.jpg,734587-1-ND,734587-1,TE Application Tooling,TOOL CABLE TY,33,0,"53.55000","0","1","-","Active","Gun","Adjustable Tension, Automatic Tie Cutter","Cable Ties; 0.087"" ~ 0.189"" (2.20mm ~ 4.80mm) Width"
http://www.panduit.com/heiler/CatalogCutSheets/GS4MT%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/K4M-BLD.jpg,298-11572-ND,K4M-BLD,Panduit Corp,KIT BLADE REPLACE FOR GS4MT,11,0,"148.45000","0","1","-","Active","Accessory, Blade","-","298-1107-ND"
http://www.panduit.com/heiler/PartDrawings/C-SSBT2HT--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BT2HT.jpg,298-10724-ND,BT2HT,Panduit Corp,TOOL MS STRAPPING,3,0,"883.26000","0","1","Pan-Steel®","Active","Strapping Tool","Adjustable Tension, Lever Cut-Off","Pan-Steel® MS Strapping; 0.375"" (9.50mm), 0.500"" (12.70mm), 0.625"" (15.90mm) Width"
http://www.panduit.com/heiler/InstallInstructions/N-CTKGTHBLD-PA25147A01--REV2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BladeReplaceKit.jpg,298-19824-ND,KGTHBLD,Panduit Corp,"KIT,BLADE GTH",6,0,"44.87000","0","1","-","Active","Accessory, Blade","-","GTH-ND"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_DCT300V.jpg,DCT300V-ND,DCT300V,Apex Tool Group,GUN CABLE TIE DCT300V,15,0,"45.80000","0","1","-","Active","Gun","Adjustable Tension, Automatic Tie Cutter","Cable Ties"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/07-022-452-CSU.pdf,-,1436-2230-ND,110-70132,HellermannTyton,NOSE PIECE FOR EVO 7 AND/OR EVO,10,0,"46.01000","0","1","EVO®","Active","Accessory, Nosepiece","2mm, Extended Tail","EVO-7, EVO-7SP Cable Tie Tool (1436-1479-ND)"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/07-022-453-CSU_00.pdf,-,1436-2231-ND,110-70133,HellermannTyton,NOSE PIECE FOR EVO 7 AND/OR EVO,9,0,"46.01000","0","1","EVO®","Active","Accessory, Nosepiece","3mm, Extended Tail","EVO-7, EVO-7SP Cable Tie Tool (1436-1479-ND)"
http://www.panduit.com/heiler/PartDrawings/STH2%20-%20WE19334B01.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_STH2.jpg,298-14100-ND,STH2,Panduit Corp,TOOL CABLE TIE LOVOLT LT-HVY,47,0,"48.19000","0","1","-","Active","Gun","Ergonomic, Twist Cut-Off","Standard, Heavy Standard, Light Heavy, and Heavy Ties"
http://www.panduit.com/heiler/InstallInstructions/N-CTPA19719A01--REV06--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_STHV.jpg,298-14101-ND,STHV,Panduit Corp,TOOL CABLE TIE LOVOLT LT-HVY,17,0,"82.90000","0","1","-","Active","Gun","Lever Cut-Off","Light Heavy and Heavy Ties"
http://www.essentracomponents.com.sg/images-line/pdfs/WIT_GUNS.pdf,//media.digikey.com/photos/Richco%20Photos/WIT-3A.jpg,RPC4952-ND,WIT-3A,Essentra Components,WIRE TIE GUN NYLON CONSTRUCTION,3,0,"86.05000","0","1","WIT","Active","Gun","-","WIT-18, -30, -40, -50, and -60 Ties"
http://www.panduit.com/heiler/PartDrawings/C-CTST3EH-TB25129A01-01--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_ST3EH.jpg,298-14099-ND,ST3EH,Panduit Corp,CABLE TIE TOOL,3,0,"112.82000","0","1","-","Active","Gun","Twist Cut-Off","Light Heavy, Heavy, and Extra Heavy Ties"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1212609,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1212609.jpg,277-16418-ND,1212609,Phoenix Contact,TOOL CABLE TIE GUN TENSION LOCK,14,1,"118.91000","0","1","UNIFOX","Active","Gun","Ergonomic, Tension Lock, Tie Cutter","Cable Ties; 0.087"" ~ 0.189"" (2.20mm ~ 4.80mm) Width"
