Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Size","Length - Overall","Features"
https://cdn.wihatoolsus.com/pdfs/WihaHexCatalog.pdf,//media.digikey.com/Photos/Wiha/56916.jpg,431-1730-ND,56915,Wiha,HEX KEY L SHAPE 2MM 3.98"",60,0,"3.44000","0","1","-","Obsolete","L-Key","Hex","2mm","3.98"" (101.0mm)","Ball End, Chamfered End, Chrome Finish, Color Coded"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/T-handle%20Hex%20Tools.pdf,//media.digikey.com/photos/Wiha/mfg334%20hex%20driver%20metric%20series.jpg,431-1887-ND,33402,Wiha,HEX KEY T-HANDLE 2.5MM 4.95"",5,0,"4.16000","0","1","-","Active","T-Handle","Hex","2.5mm","4.96"" (126.0mm)","Chamfered End, Ergonomic, Impact Resistant, Nickel Plated"
https://b2b.harting.com/files/download/PRD/PDF_TS/09990000363_100090808DRW002A.pdf,//media.digikey.com/Photos/Harting/09990000363.jpg,1195-5229-ND,09990000363,HARTING,HEX KEY T-HANDLE SW4,12,0,"13.41000","0","1","-","Active","T-Handle","Hex","SW4","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Short%20Arm%20Hex%20L-keys%20Black%20Finish.pdf,//media.digikey.com/Photos/Wiha/MFG_35309.JPG,431-1474-ND,35309,Wiha,HEX KEY L SHAPE 5MM 3.07"",76,0,"0.80000","0","1","-","Active","L-Key","Hex","5mm","3.07"" (78.0mm)","Chamfered End, Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicRing%20Ball%20End%20Hex%20Keys.pdf,//media.digikey.com/photos/Wiha/mfg669%20no%20ring%20series.jpg,431-1360-ND,66946,Wiha,HEX KEY L SHAPE 1/16"" 3.1"",0,0,"1.72000","0","1","-","Active","L-Key","Hex","1/16""","3.10"" (78.7mm)","Ball End, Chrome Finish, Extra Long, Screw Holding"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1478-ND,36308,Wiha,TORX KEY L SHAPE T8 1.77"",1,0,"2.42000","0","1","-","Active","L-Key","Torx®","T8","1.77"" (45.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1479-ND,36309,Wiha,TORX KEY L SHAPE T9 1.89"",12,0,"2.44000","0","1","-","Active","L-Key","Torx®","T9","1.89"" (48.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20Long%20Arm,Tamper%20Resistant%20L-keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1374-ND,36328,Wiha,TORX TR KEY L SHAPE T10S 2.01"",0,0,"3.20000","0","1","-","Active","L-Key","Torx® TR (Security)","T10s","2.01"" (51.0mm)","Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicRing%20Ball%20End%20Hex%20Keys.pdf,//media.digikey.com/Photos/Wiha/MFG_66916.jpg,431-1379-ND,66916,Wiha,HEX KEY L SHAPE 3MM 4.9"",15,0,"4.02000","0","1","MagicRing®","Active","L-Key","Hex","3mm","4.92"" (125.0mm)","Ball End, Chrome Finish, Extra Long, Screw Holding"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicRing%20Ball%20End%20Hex%20Keys.pdf,//media.digikey.com/photos/Wiha/mfg669%20magic%20ring%20series.jpg,431-1362-ND,66959,Wiha,HEX KEY L SHAPE 3/16"" 6.2"",4,0,"4.14000","0","1","MagicRing®","Active","L-Key","Hex","3/16""","6.20"" (157.5mm)","Ball End, Chrome Finish, Extra Long, Screw Holding"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/T-handle%20Hex%20Tools.pdf,//media.digikey.com/photos/Wiha/mfg334%20hex%20driver%20metric%20series.jpg,431-1377-ND,33406,Wiha,HEX KEY T-HANDLE 4MM 4.9"",7,0,"4.34000","0","1","-","Active","T-Handle","Hex","4mm","4.92"" (125.0mm)","Chamfered End, Ergonomic, Impact Resistant, Nickel Plated"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Soft%20Grip%20Dual%20Drive%20T-handle,%20Black.pdf",//media.digikey.com/photos/Wiha/334%20inch%20L-Key%20no%20ball%20series.jpg,431-1140-ND,33418,Wiha,HEX KEY T-HANDLE 5/64"",8,0,"5.40000","0","1","-","Active","T-Handle","Hex","5/64""","-","Black Finish, Ergonomic, Soft Grip"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Soft%20Grip%20Dual%20Drive%20T-handle,%20Black.pdf",//media.digikey.com/photos/Wiha/334%20inch%20L-Key%20no%20ball%20series.jpg,431-1214-ND,33420,Wiha,HEX KEY T-HANDLE 3/32"",2,0,"5.40000","0","1","-","Active","T-Handle","Hex","3/32""","-","Black Finish, Ergonomic, Soft Grip"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Soft%20Grip%20Dual%20Drive%20T-handle,%20Black.pdf",//media.digikey.com/photos/Wiha/334%20metric%20L-Key%20no%20ball%20series.jpg,431-1465-ND,33442,Wiha,HEX KEY T-HANDLE 2MM,13,0,"5.42000","0","1","-","Active","T-Handle","Hex","2mm","-","Black Finish, Ergonomic, Soft Grip"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Soft%20Grip%20Dual%20Drive%20T-handle,%20Black.pdf",//media.digikey.com/Photos/Wiha/MFG_33428.jpg,33428-ND,33428,Wiha,HEX KEY T-HANDLE 5/32"",15,0,"5.64000","0","1","-","Active","T-Handle","Hex","5/32""","-","Ball End, Black Finish, Ergonomic, Soft Grip"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Soft%20Grip%20Dual%20Drive%20T-handle,%20Black.pdf",//media.digikey.com/photos/Wiha/334%20metric%20L-Key%20no%20ball%20series.jpg,431-1352-ND,33446,Wiha,HEX KEY T-HANDLE 3MM,3,0,"5.92000","0","1","-","Active","T-Handle","Hex","3mm","-","Black Finish, Ergonomic, Soft Grip"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLx,LLxx.jpg",LL2-ND,LL2,"Klein Tools, Inc.",HEX KEY L-SHAPE 0.05"" 2.88"",10,0,"0.75000","0","1","-","Active","L-Key","Hex","0.05""","2.88"" (73.2mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLx,LLxx.jpg",LL4-ND,LL4,"Klein Tools, Inc.",HEX KEY L-SHAPE 1/16"" 3.06"",10,0,"0.75000","0","1","-","Active","L-Key","Hex","1/16""","3.06"" (77.7mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLx,LLxx.jpg",LL6-ND,LL6,"Klein Tools, Inc.",HEX KEY L-SHAPE 3/32"" 3.50"",10,0,"0.75000","0","1","-","Active","L-Key","Hex","3/32""","3.50"" (88.9mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLx,LLxx.jpg",LL5-ND,LL5,"Klein Tools, Inc.",HEX KEY L-SHAPE 5/64"" 3.25"",8,0,"0.75000","0","1","-","Active","L-Key","Hex","5/64""","3.25"" (82.6mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLMx,LLMxx.jpg",LLM25-ND,LLM25,"Klein Tools, Inc.",HEX KEY L-SHAPE 2.5MM 3.56"",10,0,"0.84000","0","1","-","Active","L-Key","Hex","2.5mm","3.56"" (90.4mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLMx,LLMxx.jpg",LLM15-ND,LLM15,"Klein Tools, Inc.",HEX KEY L-SHAPE 1.5MM 3.13"",9,0,"0.84000","0","1","-","Active","L-Key","Hex","1.5mm","3.13"" (79.5mm)","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_HexKeyWrenches.pdf,"//media.digikey.com/Photos/Klein-Tools/MFG_LLMx,LLMxx.jpg",LLM2-ND,LLM2,"Klein Tools, Inc.",HEX KEY L-SHAPE 2MM 3.03"",7,0,"0.84000","0","1","-","Active","L-Key","Hex","2mm","3.03"" (77.0mm)","-"
