Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Handle Type","Face Type"
-,-,SS22RN-ND,SS22RN,Apex Tool Group,"HAMMER,SS,22OZ,RIP,MAGNETIC NAIL",0,0,"48.66000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,69-019G-ND,69-019G,Apex Tool Group,HMR SFT FACE W/O TIP 2D 2LB,0,0,"49.69000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,431-80100-ND,80100,Wiha,20 OZ. CLAW HAMMER,0,0,"49.96000","0","1","-","Active","Hammer, Claw","-","-"
-,-,69-541G-ND,69-541G,Apex Tool Group,HMR DEAD BLOW SLIMLINE 18 OZ,0,0,"51.64000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,69-490G-ND,69-490G,Apex Tool Group,RBR MALL 32OZ 16-1/2,0,0,"52.58000","0","1","-","Active","Mallet, Split Head","Fiberglass, Cushioned Grip","-"
-,-,SS28RCFN-ND,SS28RCFN,Apex Tool Group,"HAMMER,SS,28OZ,RIP,CHECK,MAG NAI",0,0,"53.26000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,SS28RN-ND,SS28RN,Apex Tool Group,"HAMMER,SS,28OZ,RIP,MAGNETIC NAIL",0,0,"53.26000","0","4","-","Active","Hammer, Claw","Steel","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Dead%20Blow,%20Sledge%20Hammers.pdf",//media.digikey.com/photos/Wiha/80240.jpg,431-2097-ND,80240,Wiha,HAMMER DEAD BLOW STEEL TUBE,4,0,"54.00000","0","1","-","Active","Hammer, Dead Blow","Steel Tube, Cushioned Grip","Medium-Hard, 40mm Dia"
-,-,69-531G-ND,69-531G,Apex Tool Group,HMR DEAD BLOW STD 21 OZ,0,0,"54.02000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,82253-ND,82253,Apex Tool Group,HMR BLL PEIN FGL 32OZ,0,0,"55.47000","0","1","-","Active","Hammer, Ball Peen","Fiberglass, Cushioned Grip","-"
