Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Heat_Tools_Catalog.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_71175.jpg,110049860-ND,110049860,Steinel America,TORCH GAS THERMATORCH 60ML,0,0,"57.97000","0","1","ThermaTorch™ 175","Active","Butane Torch, Bench Top","-","2400°F (1316°C)","-","-","-","Torch","-","-","60ml Refillable Fuel Tank, Adjustable Airflow and Flame Control, Waterproof","-","-","Circular - 0.79"" (20.00mm)","-","Blue"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_Model_MT_76_Instructions.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_MT-76K.jpg,MT-76K-ND,MT-76K,Master Appliance Co,KIT TRIGRTORCH 4IN1 BUTANE TOOL,0,0,"58.54833","0","6","Microtorch® MT","Active","Butane Torch, Kit","-","2500°F (1371°C)","-","-","-","Torch, Case, Removable Bench-Top Stand, 4 Nozzles, 2 Cutters, Pliers, 60/40 Solder, Sponge","-","-","Child Resistant (CPSC Compliant), Hands-Free, Refillable Self-Contained Fuel Tank, Removable Base, Safety Lock, Self-Igniting","CSAus, GS","Germany, United States","-","-","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35031.jpg,MA35032-ND,35032,Master Appliance Co,"ELEMENT KIT, 230V, THERMOCOUPLE,",0,0,"58.62000","0","1","Proheat® Varitemp® PH","Active","-","Heating Element Kit","-","230V","-","-","Thermocouple","-","PH-2200, PH-2400, PH-2500","-","-","-","-","-","-"
-,-,133-30073-ND,30073,Master Appliance Co,HEAT GUN MOTOR 120V,0,0,"58.96714","0","7","HG, Varitemp® VT","Active","-","Motor","-","120V","-","-","-","Heat Gun","HG/VT Models","-","cULus","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/HG_5000_E_Data.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_092719.jpg,110049715-ND,110049715,Steinel America,NOZZLE SLIT 70X10MM FOR 5000,0,0,"61.74000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG5000E","-","-","-","-","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/HG_5000_E_Data.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_092818.jpg,110049716-ND,110049716,Steinel America,NOZZLE SLIT 74X3MM FOR 5000,0,0,"61.74000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG5000E","-","-","-","-","-","Silver"
http://www.steinel.net/customized/uploads/PDFs/XX10_Generation_Instructions.pdf,-,110049601-ND,110049601,Steinel America,REPL HEATING ELEMENT FOR 1810S,0,0,"62.10000","0","1","-","Active","-","Heating Element","-","120V","-","1400W","-","-","HL1810S","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773872-1_raychem-tooling&DocType=DS&DocLang=English,-,IR-1000-P-N-13-LAMP-ND,IR-1000-P-N-13-LAMP,TE Connectivity Raychem Cable Protection,LAMP MARK II 120V,0,0,"63.47273","0","11","IR-550","Active","-","Lamp","-","120V","-","-","-","-","IR-550 Mark II Infrared Heater","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/Accessories_Tools_Cat.pdf,-,AD-1432-ACD10FT-LPG-HOSE-ND,AD-1432-ACD10FT-LPG-HOSE,TE Connectivity Raychem Cable Protection,LPG HOSE 10FT,0,0,"63.59667","0","15","-","Active","-","LPG Hose","-","-","-","-","-","Torches","-","10' Length","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Heat_Tools_Catalog.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_71270.jpg,110049861-ND,110049861,Steinel America,TORCH GAS THERMATORCH 60ML,0,0,"63.98000","0","1","ThermaTorch™ 270","Active","Butane Torch, Bench Top","-","2500°F (1371°C)","-","-","-","Torch","-","-","60 ml Refillable Fuel Tank, Waterproof","-","-","Circular - 0.88"" (22.35mm)","-","Blue"
