Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/10008.jpg,MA1006-ND,10008,Master Appliance Co,HEAT GUN MASTER-MITE 475W,33,0,"111.37000","0","1","Master-Mite®","Active","Heat Gun","-","650°F (343°C)","120V","4.5A","475W","Heat Gun, Stand, Nozzle","-","-","7' Cord","cULus","Canada, United States","Circular - 1.00"" (25.40mm)","3.8 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/6966.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_6966C.jpg,6966C-ND,6966C,Apex Tool Group,HEAT GUN 120V 6966C,101,0,"159.00000","0","1","Weller®","Active","Heat Gun","-","750°F ~ 800°F (399°C ~ 427°C)","120V","-","250W","Heat Gun","-","-","3-Stage Switch, 6' Cord, ESD Safe","cULus","Canada, United States","-","-","Beige"
http://www.steinel.net/customized/uploads/pdfs/UltraheatBrochure.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_34103.jpg,SDL1750-ND,109412902,Steinel America,HEAT GUN VARIABLE TEMP ULTRAHEAT,27,0,"72.60000","0","1","UltraHEAT™ II","Active","Heat Gun","-","140°F ~ 1050°F (60°C ~ 566°C)","120V","-","1400W","Heat Gun","-","-","3-Stage Air Control, 6.5' Cord, Variable Temperature Control","cULus","Canada, United States","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/photos/steinel%20photos/MFG_34735.jpg,SDL4051-ND,110049738,Steinel America,TOOL HOT AIR HG350ESD,19,0,"128.40000","0","1","-","Active","Heat Gun","-","750°F (399°C)","120V","2.5A","300W","Heat Gun, Nozzle","-","-","6' Cord, Built-In Overhead Hanger, ESD Safe, LED Work Light","cULus","Canada, United States","Circular - 0.75"" (19.05mm)","3.5 CFM","Black"
http://www.steinel.net/Customized/Uploads/ByDate/2016/September_2016/September_15th_2016/Product%20data%20sheet%20HG%202220%20E44502.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_HG_2220_E.jpg,SDL4065-ND,110025601,Steinel America,HEATGUN THERMOCOUPLE,8,0,"264.13000","0","1","-","Active","Heat Gun","-","122°F ~ 1112°F (50°C ~ 600°C)","120V","12.5A","1500W","Heat Gun","Heat Shrink Tubing, Plastic Welding, Soldering","-","2-Stage Switch, Adjustable Thumbwheel Temperature Control","cULus","Canada, United States","-","4.0 CFM ~ 12.0 CFM","Black"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1400K.jpg,MA1028-ND,PH-1400K,Master Appliance Co,HEAT GUN PROHEAT LCD DIAL-IN KIT,25,0,"303.43000","0","1","Proheat® LCD PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Case, Proloc™ Magnetic Key, 5 Nozzles","-","-","6' Cord, Built-in Base, Safety Lock, Variable LCD Airflow and Temperature Controls/Display with Lock-In","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,//media.digikey.com/Photos/TE%20Connectivity/IR1759-MK4-AT3130-EDCONT.jpg,A132454-ND,IR1759-MK4-AT3130-EDCONT,"TE Connectivity Aerospace, Defense and Marine",IR1759-MK4-AT3130-EDCONT,5,0,"7733.45000","0","1","MiniRay","Active","Infrared Heater Kit","-","932°F (500°C)","21.5V","-","-","Infrared Heater, Non-Timed Control Box, Reflector, Standard V-Block","Infrared Repair Tubing, Shield Terminators and Splicing Products up to 6mm Dia","-","10.2' Cord, 250W Halogen Lamp, Standard Aperture","-","-","-","-","-"
http://cdn.sparkfun.com/datasheets/Tools/Heaterizer-Instructions-02.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-10326.JPG,1568-1602-ND,TOL-10326,SparkFun Electronics,HEATERIZER XL-3000 HEAT GUN,47,0,"13.95000","0","1","-","Active","Heat Gun","-","-","120V","-","300W","Heat Gun","-","-","5.41' Cord","cETLus","Canada, United States","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/MFG_07062.JPG,SDL1301-ND,07062,Steinel America,NOZZLE REDUCER ATTACHMENT 3/8"",48,0,"15.31000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Circular - 0.35"" (9.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/07061.jpg,SDL1303-ND,110048646,Steinel America,NOZZLE REDUCER/REFLECTOR 3/8"",11,0,"25.27000","0","1","-","Active","-","Nozzle, Reflector","-","-","-","-","-","-","HG2000E, HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","Circular - 0.35"" (9.00mm)","-","Silver"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_MT_51_Instuctons.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_MT-51.jpg,MA1041-ND,MT-51,Master Appliance Co,TABLE TOP BUTANE MICROTORCH,30,0,"27.69000","0","1","Microtorch® MT","Active","Butane Torch, Bench Top","-","2500°F (1371°C)","-","-","-","Torch","-","-","Child Resistant (CPSC Compliant), Hands-Free, Refillable Self-Contained Fuel Tank, Safety Lock, Self-Igniting","CSAus, GS","Germany, United States","-","-","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/HAS-011K.jpg,MA1005-ND,HAS-011K,Master Appliance Co,REPL HEATING ELEMENT FOR HG501A,19,0,"29.05000","0","1","HG","Active","-","Heating Element","500°F ~ 700°F (260°C ~ 371°C)","120V","-","-","-","-","HG501A","-","-","-","-","-","-"
http://www.steinel.net/customized/uploads/PDFs/XX10_Generation_Instructions.pdf,//media.digikey.com/photos/Steinel%20Photos/02225.JPG,SDL4059-ND,02225,Steinel America,REPL MTR/FAN ASSY 2510/2310/1910,21,0,"33.43000","0","1","-","Active","-","Motor/Fan Assembly","-","-","-","-","-","-","HG2310LCD, HG2510ESD, HL1910E, HL2010E","-","-","-","-","-","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Appliance-Ecoheat-Heat-Gun-Instructions.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_EC-100_A.jpg,MA1036-ND,EC-100,Master Appliance Co,"ECOHEAT HEAT GUN, 500 & 1,000F,",32,0,"44.18000","0","1","Ecoheat®","Active","Heat Gun","-","500°F, 1000°F (260°C, 538°C)","120V","10A","1200W","Heat Gun","-","-","6' Cord, Built-in Base, Resettable Thermostat","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","7.0 CFM, 9.0 CFM","Red"
http://www.steinel.net/customized/uploads/pdfs/UltraheatBrochure.pdf,//media.digikey.com/photos/Steinel%20Photos/SV800.JPG,SDL1700-ND,109412802,Steinel America,HEAT GUN DUAL TEMP ULTRAHEAT,21,0,"51.69000","0","1","UltraHEAT™","Active","Heat Gun","-","600°F, 950°F (316°C, 510°C)","120V","-","1300W","Heat Gun","-","-","2-Stage Switch, 6.5' Cord, Dual Temperature","cULus","Canada, United States","-","-","Black"
http://www.alphawire.com/~/media/Files/MasterCatalog2011/FITHeatShrink.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/FITMG1-NC032.jpg,FITMG1NC032-ND,FITMG1 NC032,Alpha Wire,HEAT GUN MINI 120V 572 DEGF 350W,41,0,"58.64000","0","1","FIT®","Active","Heat Gun","-","572°F (300°C)","120V","3A","350W","Heat Gun, Workbench Loop","-","-","2-Stage Rocker Switch for Temperature Control, 6' Cord","UL","United States","-","-","Blue"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Appliance-Ecoheat-Heat-Gun-Instructions.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_EC-100_D.jpg,MA1008-ND,EC-100K,Master Appliance Co,HEAT GUN&KIT 120V 500/1000 DEG F,12,0,"62.21000","0","1","Ecoheat®","Active","Heat Gun Kit","-","500°F, 1000°F (260°C, 538°C)","120V","10A","1200W","Heat Gun, Case, 4 Nozzles","-","-","6' Cord, Built-in Base, Resettable Thermostat","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","7.0 CFM, 9.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1100.jpg,MA1009-ND,PH-1100,Master Appliance Co,HEAT GUN 120V 500/1000 DEG F,9,0,"110.29000","0","1","Proheat® Dualtemp™ PH","Active","Heat Gun","-","500°F, 1000°F (260°C, 538°C)","120V","11A","1300W","Heat Gun","-","-","6' Cord, Built-in Base, Dual Temperature","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/HG-751B.JPG,MA1020-ND,HG-751B,Master Appliance Co,HEAT GUN 750-1000F 1740W,17,0,"150.25000","0","1","HG","Active","Heat Gun","-","750°F ~ 1000°F (400°C ~ 540°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/HG501A.jpg,MA1001-ND,HG501A,Master Appliance Co,HEAT GUN 1680W/500-750 FAHRENHEI,16,0,"150.25000","0","1","HG","Active","Heat Gun","-","500°F ~ 750°F (260°C ~ 371°C)","120V","14A","1680W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/HG-301A.JPG,MA1018-ND,HG-301A,Master Appliance Co,HEAT GUN MSTR 300-500F 1440W,7,0,"150.25000","0","1","HG","Active","Heat Gun","-","300°F ~ 500°F (149°C ~ 260°C)","120V","12A","1440W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1200.jpg,MA1011-ND,PH-1200,Master Appliance Co,HEAT GUN 120V 130-1000 DEG F,13,0,"165.85000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun","-","-","6' Cord, Built-in Base, Variable Temperature Control","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1200-1.jpg,MA1012-ND,PH-1200-1,Master Appliance Co,HEAT GUN SYSTEM 120V 130-1000 F,8,0,"182.29000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Stand, Nozzle","-","-","6' Cord, Built-in Base, Variable Temperature Control","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1200K.jpg,MA1013-ND,PH-1200K,Master Appliance Co,HEAT GUN KIT 120V 130-1000 DEG F,4,0,"217.48000","0","1","Proheat® Varitemp® PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Case, 5 Nozzles","-","-","6' Cord, Built-in Base, Variable Temperature Control","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_AH-501.jpg,MA1034-ND,AH-501,Master Appliance Co,"MASTERFLOW HEAT BLOWER, 500F, 12",7,0,"274.57000","0","1","Masterflow®","Active","Heat Blower","-","500°F (260°C)","120V","14A","1680W","Heat Blower","-","-","6' Cord, Built-in Adjustable Base, Field Changeable Ceramic Heating Element","cULus","Canada, United States","Circular - 1.85"" (46.99mm)","47.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master_Appliance_Full_Cat.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-1500K.jpg,MA1030-ND,PH-1500K,Master Appliance Co,HEAT GUN LCD PROGRAMMABLE KIT,8,0,"312.30000","0","1","Proheat® LCD PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Case, Proloc™ Magnetic Key, 5 Nozzles","-","-","6' Cord, Built-in Base, Programmable LCD Airflow and Temperature Control/Display with Lock-In, Safety Lock","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/MFG_07735.jpg,SDL4053-ND,07735,Steinel America,REDUCER W/GUARD FOR HG350ESD,70,0,"10.48000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG350ESD","-","-","-","Circular - 0.20"" (5.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf#page=35,//media.digikey.com/photos/Steinel%20Photos/MFG_07071.JPG,SDL1302-ND,07071,Steinel America,NOZZLE REDUCER ATTACHMENT 9/16"",44,0,"15.31000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2000E, HG2220E, HG2310LCD, HG2320E/ESD, HG2510ESD, HL1910E, HL1920E, HL2010E, HL2020E","-","-","-","Circular - 0.55"" (14.00mm)","-","Silver"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/20013.jpg,MA1007-ND,20013,Master Appliance Co,REPLACEMENT HEAT ELEMENT 475WATT,9,0,"35.72000","0","1","Master-Mite®","Active","-","Heating Element","650°F (343°C)","120V","-","475W","-","-","10008, 10012","-","-","-","-","-","Silver"
http://www.avenconnect.com/product_sheets/Heat_Guns.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17601.jpg,243-1316-ND,17601,Aven Tools,HEAT GUN 1500W WITH ADJUSTABLE T,15,0,"38.67000","0","1","-","Active","Heat Gun","-","122°F ~ 662°F, 392°F ~ 932°F (50°C ~ 350°C, 200°C ~ 500°C)","120V","-","800W, 1500W","Heat Gun, 3 Nozzles","-","-","3-Stage Switch, Variable Temperature Control","-","-","-","15.9 CFM","Blue"
-,//media.digikey.com/Photos/Hakko/MFG_HJ5000.jpg,1691-1089-ND,HJ5000/P,"American Hakko Products, Inc.",HEAT GUN 120V 600/950 DEG F BLK,14,0,"42.57000","0","1","-","Active","Heat Gun","-","600°F, 950°F (316°C, 510°C)","120V","-","1300W","-","-","-","Dual Temperature","-","-","-","-","Black"
http://www.steinel.net/Customized/uploads/PDFs/TH_310_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/TH310.JPG,SDL1950-ND,110049877,Steinel America,TOOL HEAT THERMAHEAT FLAMELESS,12,0,"61.37000","0","1","ThermaHeat™ 310","Active","Butane Torch, Flameless","-","1400°F (750°C)","-","-","-","Torch, Nozzle","-","-","-","-","-","Circular - 0.79"" (20.00mm)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Catalog%20Layout%20UltraHEAT%20Blower.pdf,//media.digikey.com/photos/Steinel%20Photos/SV750.JPG,SDL4050-ND,109470000,Steinel America,ULTRA BLOWER 750-1000 DEGREES,4,0,"106.75000","0","1","UltraHEAT™","Active","Heat Gun","-","750°F ~ 1000°F (400°C ~ 540°C)","120V","-","1750W","Heat Gun, Stand","-","-","6.5' Cord, Self-Cooling Output Tube","cULus","Canada, United States","-","23.0 CFM","Black"
http://www.alphawire.com/~/media/Files/MasterCatalog2011/FITHeatShrink.pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FGUN3%20NC032.jpg,FITGUN3-ND,FGUN3 NC032,Alpha Wire,HEAT GUN 120V 600/950 DEG F,9,0,"107.15000","0","1","FIT®","Active","Heat Gun","-","600°F ~ 950°F (316°C ~ 510°C)","120V","10A","1300W","Heat Gun","-","-","3-Stage Slider Switch for Temperature Control, 6.5' Cord","cULus","Canada, United States","-","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master%20Appliance%20Catalog.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-1000.jpg,MA1039-ND,PH-1000,Master Appliance Co,PROHEAT QUICK-TOUCH HEAT GUN W/M,9,0,"121.67000","0","1","Proheat® Quick-Touch™ PH","Active","Heat Gun","-","1000°F (538°C)","120V","11A","1300W","Heat Gun","-","-","6' Cord, Built-in Base, Momentary Switch","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/HG-201A.JPG,MA1019-ND,HG-201A,Master Appliance Co,HEAT GUN MSTR 200-300F 600W,14,0,"150.25000","0","1","HG","Active","Heat Gun","-","200°F ~ 300°F (93°C ~ 150°C)","120V","5A","600W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master-Heat-Gun-Instruction-Manual-58221.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-301AK_A.jpg,MA1038-ND,HG-751BK,Master Appliance Co,"MASTER HEAT GUN, WITH 3 ATTACHME",4,0,"182.13000","0","1","HG","Active","Heat Gun Kit","-","750°F ~ 1000°F (400°C ~ 540°C)","120V","14.5A","1740W","Heat Gun, Case, 3 Nozzles","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,//media.digikey.com/Photos/Steinel%20Photos/34759.jpg,SDL4057-ND,110049745,Steinel America,HB1750K PROFESSION HEAT BLOW KIT,20,0,"243.39000","0","1","-","Active","Heat Gun Kit","-","200°F ~ 1200°F (93°C ~ 649°C)","120V","14.6A","1750W","Heat Gun, Case, Adjustable Stand, Nozzle, 5 Temperature Keys, Replacement Element","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_AH-751.jpg,MA1035-ND,AH-751,Master Appliance Co,"MASTERFLOW HEAT BLOWER, 750F, 12",3,0,"274.57000","0","1","Masterflow®","Active","Heat Blower","-","750°F (399°C)","120V","18A","2160W","Heat Blower","-","-","6' Cord, Built-in Adjustable Base, Field Changeable Ceramic Heating Element","cULus","Canada, United States","Circular - 1.85"" (46.99mm)","47.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_AH-301.jpg,MA1033-ND,AH-301,Master Appliance Co,"MASTERFLOW HEAT BLOWER, 300F, 12",2,0,"274.57000","0","1","Masterflow®","Active","Heat Blower","-","300°F (149°C)","120V","10A","1200W","Heat Blower","-","-","6' Cord, Built-in Adjustable Base, Field Changeable Ceramic Heating Element","cULus","Canada, United States","Circular - 1.85"" (46.99mm)","47.0 CFM","Red"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/PH-1400Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-1400WK.jpg,MA1040-ND,PH-1400WK,Master Appliance Co,PROHEAT LCD PLASTIC WELDING KIT,2,0,"320.91000","0","1","Proheat® LCD PH","Active","Heat Gun Welding Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","120V","11A","1300W","Heat Gun, Case, 5 Nozzles, Welding Rod Assortment and Instructions","-","-","6' Cord, Built-in Base, Safety Lock, Variable LCD Airflow and Temperature Controls/Display with Lock-In","cULus","Canada, United States","Circular - 0.88"" (22.35mm)","4.0 CFM ~ 16.0 CFM","Red"
http://www.alphawire.com/~/media/Files/MasterCatalog2011/FITHeatShrink.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/FGUN1-NC032.jpg,FGUN1NC032-ND,FGUN1 NC032,Alpha Wire,HEAT GUN 120V 140/1050 DEG F,2,0,"221.71000","0","1","FIT®","Active","Heat Gun","-","140°F ~ 1050°F (60°C ~ 566°C)","120V","11.6A","1400W","Heat Gun, Nozzle","-","-","4-Stage Slider Switch for Temperature Control, 6.5' Cord","cULus","Canada, United States","-","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Master-Mite_Brochure.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10008-20.jpg,MA1043-ND,10008-20,Master Appliance Co,HEAT GUN MASTER-MITE 800 DEG,4,0,"111.37000","0","1","Master-Mite®","Active","Heat Gun","-","800°F (427°C)","120V","4.5A","475W","Heat Gun, Stand, Nozzle","-","-","7' Cord","CSA, UL","Canada, United States","Circular - 1.00"" (25.40mm)","3.8 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/ALL_HG_MODELS_Instruction_Manual.pdf,"//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG,Varitemp-VT-Series_HeatGun.jpg",MA1060-ND,HG-751B-MC,Master Appliance Co,"MASTER HEAT GUN W/MC SWITCH, 750",10,0,"159.88000","0","1","HG","Active","Heat Gun","-","750°F ~ 1000°F (400°C ~ 540°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/ALL_HG_MODELS_Instruction_Manual.pdf,"//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG,Varitemp-VT-Series_HeatGun.jpg",MA1059-ND,HG-501A-MC,Master Appliance Co,"MASTER HEAT GUN W/MC SWITCH, 500",6,0,"159.88000","0","1","HG","Active","Heat Gun","-","500°F ~ 750°F (260°C ~ 400°C)","120V","14A","1680W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/ALL_HG_MODELS_Instruction_Manual.pdf,"//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG,Varitemp-VT-Series_HeatGun.jpg",MA1057-ND,HG-201A-MC,Master Appliance Co,"MASTER HEAT GUN W/MC SWITCH, 200",5,0,"159.88000","0","1","HG","Active","Heat Gun","-","200°F ~ 300°F (93°C ~ 150°C)","120V","5A","600W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/ALL_HG_MODELS_Instruction_Manual.pdf,"//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG,Varitemp-VT-Series_HeatGun.jpg",MA1058-ND,HG-301A-MC,Master Appliance Co,"MASTER HEAT GUN W/MC SWITCH, 300",5,0,"159.88000","0","1","HG","Active","Heat Gun","-","300°F ~ 500°F (149°C ~ 260°C)","120V","12A","1440W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-501AK.jpg,MA1054-ND,HG-501AK,Master Appliance Co,HEAT GUN 500-750 DEG KIT,13,0,"182.13000","0","1","HG","Active","Heat Gun Kit","-","500°F ~ 750°F (260°C ~ 400°C)","120V","14A","1680W","Heat Gun, Case, 3 Nozzles","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
https://www.masterappliance.com/content/sites/default/files/simple_products/downloads/58222-The-Master-Varitemp-Heat-Gun-Instruction-Manual-Rev-E.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_VT-750C-MC.jpg,MA1063-ND,VT-750C-MC,Master Appliance Co,"VARITEMP HEAT GUN W/MC SWITCH, 1",3,0,"205.05000","0","1","Varitemp® VT","Active","Heat Gun","-","1000°F (538°C)","120V","14.5A","1740W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element, Variable Temperature Control","cULus","Canada, United States","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2200K-A1.jpg,MA1056-ND,PH-2200K-A1,Master Appliance Co,HEAT GUN KIT 230V 130-1000 DEG F,9,0,"230.63000","0","1","Proheat® Varitemp® PH","Active","Heat Gun Kit","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun, Case, 5 Nozzles","-","-","6' Cord, Built-in Base, Variable Temperature Control","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
