Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Holemaking.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_31902.jpg,1742-1474-ND,31902,"Klein Tools, Inc.",8-PC BI-METAL HOLE SAW KIT,8,0,"72.54000","0","1","-","Active","Hole Saw Set","Steel, Wood"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1208461,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1208461.jpg,277-16412-ND,1208461,Phoenix Contact,HEX DRIVE CBL ASSY NUT FOR M8,15,4,"79.23000","0","1","-","Active","Assembly Tool","Circular Connectors"
-,//media.digikey.com/Photos/TDK%20Photos/MFG_07.jpg,72KT-ND,72,"Klein Tools, Inc.",POLE CLIMBING GAFFS,2,0,"87.65000","0","1","-","Active","-","1972AR"
-,//media.digikey.com/Photos/TDK%20Photos/MFG_07.jpg,86KT-ND,86,"Klein Tools, Inc.",POLE CLIMBING GAFFS,2,0,"87.65000","0","1","-","Active","-","1986AR"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/WorkatHeightBrochure_96429_RevB.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_3246TT.jpg,3246TT-ND,3246TT,"Klein Tools, Inc.",36"" ROUND BAR WITH TETHER HOLE,2,0,"88.79000","0","1","-","Active","Connecting Bar","Aligning Holes, Leverage"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56203.jpg,1742-1334-ND,56204,"Klein Tools, Inc.",ASSEMBLED CONDUIT BENDE 3/4'' EM,4,0,"91.97000","0","1","-","Active","Bender","Conduit"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56324.jpg,56324-ND,56324,"Klein Tools, Inc.",24' (7.3 M) LO-FLEX FISH ROD SET,2,0,"92.60000","0","1","-","Active","Fish Sticks","Wire Fishing, Pulling"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56210.jpg,56210-ND,56210,"Klein Tools, Inc.",1'' CONDUIT BENDER HEAD - IRON,2,0,"93.79000","0","1","-","Active","-","Conduit"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56007.jpg,56007-ND,56007,"Klein Tools, Inc.",1/8'' STAINLESS STEEL FISH TAPE,2,0,"94.92000","0","1","-","Active","Fish Tape","Wire Fishing, Pulling"
-,-,281-5954-ND,1900010000,Weidmüller,TOOL CABLE GLAND,4,2,"95.05000","0","1","Screwty®","Active","Assembly Tool","Circular Connectors"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56325.jpg,56325-ND,56325,"Klein Tools, Inc.",25' (7.6 M) FISH AND GLOW ROD SE,2,0,"96.62000","0","1","-","Active","Fish Sticks","Wire Fishing, Pulling"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Holemaking.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_53001.jpg,53001-ND,53001,"Klein Tools, Inc.",15-PC REGULAR-POINT DRILL-BIT SE,3,0,"99.00000","0","1","-","Active","Bit Set","Drilling"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/904-00872.pdf,-,1436-2429-ND,HT-KSJ08U-TT,HellermannTyton,JACK TERMINATION TOOL FOR RJ45FC,3,0,"99.00000","0","1","-","Active","Termination Tool","-"
https://www.jonard.com/~/media/B215F98B46AA47C5ABD9812F325D55F5.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_RDG-30.JPG,K685-ND,RDG-30,Jonard Tools,30' GLOW ROD KIT 3/16"" DIA,4,0,"99.08000","0","1","-","Active","Fish Sticks","Cable and Wire"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Holemaking.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_31860.jpg,31870-ND,31870,"Klein Tools, Inc.",2-1/2'' CARBIDE HOLE CUTTER,2,0,"99.10000","0","1","-","Active","Hole Cutter","Sheet Metal"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Holemaking.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_31872.jpg,1742-1283-ND,31872,"Klein Tools, Inc.",4-PC CARBIDE HOLE CUTTER SET,4,0,"100.82000","0","1","-","Active","Hole Cutter Set","Sheet Metal"
