Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip Diameter","Shaft Diameter","Length"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23423-ND,23423,Wiha,PUNCH PIN HEAVY DUTY 3.5MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.14"" (3.5mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23424-ND,23424,Wiha,PUNCH PIN HEAVY DUTY 4MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.16"" (4.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23425-ND,23425,Wiha,PUNCH PIN HEAVY DUTY 4.5MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.18"" (4.5mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23426-ND,23426,Wiha,PUNCH PIN HEAVY DUTY 5MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.20"" (5.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23427-ND,23427,Wiha,PUNCH PIN HEAVY DUTY 6MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.24"" (6.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23428-ND,23428,Wiha,PUNCH PIN HEAVY DUTY 7MM,0,0,"10.20000","0","1","-","Active","Parallel Pin Punch","0.28"" (7.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23429-ND,23429,Wiha,PUNCH PIN HEAVY DUTY 8MM,0,0,"10.20000","0","1","-","Active","Parallel Pin Punch","0.32"" (8.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23432-ND,23432,Wiha,PUNCH PIN HEAVY DUTY 9MM,0,0,"10.20000","0","1","-","Active","Parallel Pin Punch","0.35"" (9.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23433-ND,23433,Wiha,PUNCH PIN HEAVY DUTY 10MM,0,0,"10.20000","0","1","-","Active","Parallel Pin Punch","0.39"" (10.0mm)","0.47"" (12.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23434-ND,23434,Wiha,PUNCH PIN HEAVY DUTY 12MM,0,0,"12.26000","0","1","-","Active","Parallel Pin Punch","0.47"" (12.0mm)","0.55"" (14.0mm)","5.91"" (150.0mm)"
