Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Wire Gauge","Style","Power Supply Type","Features"
https://www.jonard.com/~/media/7DC9E08128134F3DB7FEE73B9E6C2424.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_WSU-24M.jpg,K784-ND,WSU-24M,Jonard Tools,WIRE WRAP HAND TOOL 24 AWG,10,0,"51.11000","0","1","WSU","Active","Strip, Unwrap, Wrap","24 AWG","Hand, Manual","-","Modified Wrapping"
https://www.jonard.com/~/media/D35C6A7B97A041E78F9342157AC17394.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_WDUD-26DS.jpg,K783-ND,WDUD-26DS,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,2,0,"95.70000","0","1","WDUD","Active","Unwrap, Wrap","20 ~ 26 AWG Unwrapping, 26 AWG Wrapping","Hand, Manual","-","Insulated Handle, Regular Wrapping"
https://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_WWK-CO.jpg,K698-ND,WWK-CO,Jonard Tools,WIRE WRAP KIT GUN 22~24 AWG,2,0,"399.10000","0","1","WWK","Active","Unwrap, Wrap","22 ~ 24 AWG","Gun, Manual","-","Includes Bit, Insulated Handle, Pick, Pouch, Sleeves, Unwrap Tool"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_PTX-KIT2DHFL.jpg,K683-ND,PTX-KIT2DHFL,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG W/BAT,2,0,"536.01000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Battery","-","Includes Batteries, Bit, Charger, Flashlight, Pouch"
https://www.jonard.com/~/media/D40A9812AFA24839A399EC97EF9BCA25.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-22681.jpg,K743-ND,JIC-22681,Jonard Tools,WIRE WRAP HAND TOOL 22 - 24 AWG,0,0,"19.54000","0","1","JIC","Active","Wrap","22 ~ 24 AWG","Hand, Manual","-","Regular Wrapping"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_PTX-1BFFL.jpg,K768-ND,PTX-2BFFL,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG ELECT,1,0,"363.45000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Electric","-","Includes Flashlight, Spring Loaded"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/UW1.jpg,K511-ND,UW1,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,0,0,"31.56000","0","1","UW","Active","Unwrap","20 ~ 26 AWG","Hand, Manual","-","Aluminum Body, Left Handed Unwrapping"
http://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/G100^R3278INS.jpg,K478-ND,G100/R3278INS,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG,1,0,"161.95000","0","1","G100","Active","Wrap","18 ~ 32 AWG","Gun, Manual","-","Aluminum Body, Insulated to 1000V"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_HW-224.jpg,K739-ND,HW-224,Jonard Tools,WIRE WRAP HAND TOOL 22 - 24 AWG,5,0,"75.65000","0","1","HW","Active","Wrap","22 ~ 24 AWG","Hand, Manual","-","Regular Wrapping"
https://www.jonard.com/~/media/79CC689F1B3742F7A227C2146267CF83.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_HW-30.jpg,K740-ND,HW-30,Jonard Tools,WIRE WRAP HAND TOOL 30 AWG,2,0,"78.38000","0","1","HW","Active","Wrap","30 AWG","Hand, Manual","-","Modified Wrapping"
https://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_WWK-1INS.jpg,K785-ND,WWK-1INS,Jonard Tools,WIRE WRAP KIT GUN 22 - 24 AWG,1,0,"399.10000","0","1","WWK","Active","Strip, Unwrap, Wrap","22 ~ 24 AWG","Gun, Manual","-","Includes Bit, Insulated Handle, Pouch, Sleeves, Unwrap Tool"
https://www.jonard.com/~/media/1A9CC95B5C3A4D5CB9DF51BFCA9519A7.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_JIC-20551.jpg,JIC-20551-ND,JIC-20551,Jonard Tools,WIRE WRAP HAND TOOL 22 - 26 AWG,0,0,"18.78600","0","10","JIC","Active","Unwrap","22 ~ 26 AWG","Hand, Manual","-","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/Jonard%20Tools/MFG_UW2.jpg,UW2-ND,UW2,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,0,0,"35.24900","0","10","UW","Active","Unwrap","20 ~ 26 AWG","Hand, Manual","-","Left and Right Handed Unwrapping"
https://www.jonard.com/~/media/78F7AD5EB17849B387E91FF227AD3B6C.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_UWD93-93.jpg,UWD93-93-ND,UWD93-93,Jonard Tools,WIRE WRAP HAND TOOL 24 - 32 AWG,0,0,"35.24900","0","10","UW","Active","Unwrap","24 ~ 32 AWG","Hand, Manual","-","Left and Right Handed Unwrapping"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/UW4.jpg,K465-ND,UW4,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,0,0,"40.55200","0","10","UW","Active","Unwrap","20 ~ 26 AWG","Hand, Manual","-","Left Handed Unwrapping, Spring Loaded"
