Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
-,-,CSWS2N-ND,CSWS2N,Apex Tool Group,"21PC,1/4"" DRIVE SCKT WR SET,STD/",0,0,"41.51000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","21 Pieces"
-,-,CSWS3N-ND,CSWS3N,Apex Tool Group,"22PC,1/4"" DR SCKT WR SET,STD/DEE",0,0,"41.51000","0","1","-","Active","Socket Set","6 Point Socket","4mm ~ 13mm","1/4""","-","-","22 Pieces"
-,-,81180-ND,81180,Apex Tool Group,SET BIT DRIVER PH SL STUB 1/4DR,0,0,"42.01000","0","20","-","Active","Socket Set","-","-","1/4""","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Socket%20Sets%20on%20Molded%20Rails.pdf,//media.digikey.com/photos/Wiha/mfg76395.jpg,431-1627-ND,76395,Wiha,SOCKET SET TORX 3/8"" 8PC,5,0,"42.52000","0","1","-","Active","Socket Set","Torx®","T9 ~ T40","3/8""","Storage Rail","Replaceable Bits","8 Pieces"
-,-,80572-ND,80572,Apex Tool Group,SET SKT BIT MET 3/8 & 1/2DR 12PT,0,0,"42.97000","0","6","-","Active","Socket Set","12 Point Socket","-","1/2"", 3/4""","-","-","-"
-,-,CIMBS11-ND,CIMBS11,Apex Tool Group,7PC 1/2DR HEX IMPACT SKT SET SAE,0,0,"44.39000","0","1","-","Active","Socket Set","Hex","-","1/2""","-","-","-"
-,-,CIMBS12-ND,CIMBS12,Apex Tool Group,7PC 1/2DR HEX IMPACT SKT SET MM,0,0,"44.39000","0","1","-","Active","Socket Set","Hex","-","1/2""","-","-","-"
-,-,85035-ND,85035,Apex Tool Group,SET MICRODRV 35PC,0,0,"44.82000","0","20","-","Active","-","-","-","-","-","-","-"
-,-,80305S-ND,80305S,Apex Tool Group,SET SKT MID LNGTH 1/4DR 6PT 10PC,0,0,"45.30000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","10 Pieces"
-,-,84911N-ND,84911N,Apex Tool Group,SET SKT IMP MET 3/8DR 12PC,0,0,"45.72000","0","1","-","Active","Socket Set","12 Point Socket","-","3/4""","-","-","12 Pieces"
