Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
-,-,86433-ND,86433,Apex Tool Group,WR RAT COMB 120XP 5/16"",0,0,"26.24000","0","1","-","Active","Combination, Ratcheting","5/16""","Polished Chrome Finish","5.91"" (150.0mm)"
-,-,86434-ND,86434,Apex Tool Group,WR RAT COMB 120XP 11/32"",0,0,"26.24000","0","1","-","Active","Combination, Ratcheting","11/32""","Polished Chrome Finish","6.50"" (165.1mm)"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0354-20.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0354-20.jpg,0354-20-ND,0354-20,Greenlee Communications,WRENCH COMBINATION 13/16"" 11.13"",0,0,"26.27000","0","1","-","Active","Combination, Ratcheting","13/16""","Polished Chrome Finish","11.13"" (282.6mm)"
-,-,86408-ND,86408,Apex Tool Group,WR RAT COMB 120XP 8MM,0,0,"26.27000","0","1","-","Active","Combination, Ratcheting","8mm","Polished Chrome Finish","5.91"" (150.0mm)"
-,-,AT210CBK-ND,AT210CBK,Apex Tool Group,"WRENCH,BLACK,ADJ,CUSHION GRIP,10",0,0,"26.38000","0","6","-","Active","Adjustable","-","Black Oxide Finish, Soft Grip","10.00"" (254.0mm)"
-,-,2128-7R14-ND,2297124,"Gedore Tools, Inc.",COMBINATION RATCHET SPANNER 14 M,0,0,"26.50000","0","1","*","Active","-","-","-","-"
-,-,85011-ND,85011,Apex Tool Group,WR RAT XL COMB 11MM,0,0,"26.53000","0","1","-","Active","Combination, Ratcheting","11mm","Angled 15°","7.68"" (195.1mm)"
-,-,85114-ND,85114,Apex Tool Group,WR RAT XL COMB 7/16,0,0,"26.53000","0","1","-","Active","Combination, Ratcheting","7/16""","Angled 15°","7.68"" (195.1mm)"
-,-,86409-ND,86409,Apex Tool Group,WR RAT COMB 120XP 9MM,0,0,"26.62000","0","1","-","Active","Combination, Ratcheting","9mm","Polished Chrome Finish","6.50"" (165.1mm)"
-,-,AT16BK-ND,AT16BK,Apex Tool Group,"WRENCH,6"",BLACK,ADJ,BULK,AT16",0,0,"26.71007","0","144","-","Active","Adjustable","-","Black Oxide Finish","6.00"" (152.4mm)"
-,-,81648-ND,81648,Apex Tool Group,WR FLR NUT 16X18MM,0,0,"26.89000","0","1","-","Active","Open End","16mm x 18mm","Angled 15°, Polished Chrome Finish","8.29"" (210.5mm)"
-,-,81661-ND,81661,Apex Tool Group,WR COMB LNG PAT 13/16,0,0,"27.01000","0","10","-","Active","Combination","13/16""","Angled 15°, Polished Chrome Finish","11.83"" (300.4mm)"
-,-,431-30314-ND,30314,Wiha,COMBINATION RATCHET WRENCH 14MM,5,0,"27.04000","0","1","*","Active","-","-","-","-"
-,-,431-30424-ND,30424,Wiha,COMBINATION WRENCH 24MM,0,0,"27.04000","0","1","*","Active","-","-","-","-"
-,-,81677-ND,81677,Apex Tool Group,WR COMB LNG PAT 20MM,0,0,"27.10000","0","10","-","Active","Combination","20mm","Angled 15°, Polished Chrome Finish","11.40"" (289.6mm)"
-,-,9210D-ND,9210D,Apex Tool Group,WR RAT DBL BX 8MMX9MM,0,0,"27.12000","0","1","-","Active","Box End, Ratcheting","8mm x 9mm","-","5.12"" (130.0mm)"
-,-,86435-ND,86435,Apex Tool Group,WR RAT COMB 120XP 3/8"",0,0,"27.18000","0","1","-","Active","Combination, Ratcheting","3/8""","Polished Chrome Finish","7.09"" (180.0mm)"
-,-,431-30446-ND,30446,Wiha,COMBINATION INCH WRENCH 15/16"",5,0,"27.20000","0","1","*","Active","-","-","-","-"
-,-,85012-ND,85012,Apex Tool Group,WR RAT XL COMB 12MM,0,0,"27.33000","0","1","-","Active","Combination, Ratcheting","12mm","Angled 15°","8.15"" (207.0mm)"
-,-,431-30315-ND,30315,Wiha,COMBINATION RATCHET WRENCH 15MM,5,0,"27.51000","0","1","*","Active","-","-","-","-"
-,-,431-30333-ND,30333,Wiha,COMBINATION RATCHET WRENCH 5/8"",0,0,"27.51000","0","1","*","Active","-","-","-","-"
