Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Tip - Shape","Jaw - Type","Features","Length"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D213-9NE.JPG,1742-1161-ND,D213-9NE,"Klein Tools, Inc.",PLIERS COMBO FLAT NOSE 9.38"",8,0,"43.16000","0","1","-","Active","Combination","Flat Nose","Straight","Serrated","High Leverage, Includes Cutter, Soft Grips","9.38"" (238.5mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/Photos/Wiha/MFG_32752.jpg,431-1144-ND,32752,Wiha,PLIERS ELEC FLAT NOSE 4.75"",11,0,"48.84000","0","1","-","Active","Electronics","Flat Nose","Straight","Smooth","ESD Safe, Non-Slip, Soft Grips","4.75"" (120.7mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/photos/Wiha/32742.jpg,431-1031-ND,32742,Wiha,PLIERS ELEC CHAIN NOSE 4.75"",18,0,"49.34000","0","1","-","Active","Electronics","Snipe (Chain) Nose","Straight","Serrated","ESD Safe, Non-Slip, Soft Grips","4.75"" (120.7mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_J2068C.JPG,1742-1204-ND,J206-8C,"Klein Tools, Inc.",PLIERS STANDARD LONG NOSE 8.38"",15,0,"51.32000","0","1","Journeyman™","Active","Standard","Long Nose","Straight","Serrated","Includes Cutter, Includes Stripper, Soft Grips","8.38"" (212.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Pliers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D504-10B.JPG,1742-1176-ND,D504-10B,"Klein Tools, Inc.",PLIERS ADJUSTABLE 10.13"",10,0,"52.09000","0","1","Klaw™","Active","Adjustable (Water Pump)","-","Straight","Serrated","High Leverage, Soft Grips","10.13"" (257.3mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/photos/Wiha/32746.jpg,431-1042-ND,32746,Wiha,PLIERS ELEC LONG NOSE 5.75"",23,0,"55.62000","0","1","-","Active","Electronics","Long Nose","Straight","Serrated","ESD Safe, Non-Slip, Soft Grips","5.75"" (146.0mm)"
http://www.avenconnect.com/product_sheets/StealthPliers_Product_Sheet_print_np.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_10846.jpg,243-1306-ND,10846,Aven Tools,PLIERS ELECTRONIC ROUND NOSE 5"",51,0,"18.83000","0","1","Stealth","Active","Electronics","Round Nose","Straight","Smooth","Ergonomic, ESD Safe, Soft Grips","5.00"" (127.0mm)"
http://www.avenconnect.com/product_sheets/StealthPliers_Product_Sheet_print_np.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_10841.jpg,243-1304-ND,10841,Aven Tools,PLIERS ELECTRONIC SNIPE NOSE 5"",34,0,"18.83000","0","1","Stealth","Active","Electronics","Snipe (Chain) Nose","Straight","Smooth","Ergonomic, ESD Safe, Soft Grips","5.00"" (127.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/32613_32617.pdf,//media.digikey.com/Photos/Wiha/MFG_32617.jpg,431-1285-ND,32617,Wiha,PLIERS LONG NOSE STRAIGHT 6.3"",10,0,"29.96000","0","1","-","Active","Standard","Long Nose","Straight","-","Includes Cutter, Soft Grips","6.30"" (160.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Swanstrom%20Tools%20PDFs/Spartans_Tool_Flyer.pdf,//media.digikey.com/photos/Swanstrom%20Photos/631.jpg,232-1019-ND,631,Swanstrom Tools USA,PLIERS ELEC LONG NOSE 6"",8,0,"31.79000","0","1","-","Active","Electronics","Long Nose","Straight","-","Soft Grips","6.00"" (152.4mm)"
