Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications","Current Rating (Amps)","Color","Voltage - Rated"
-,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001.jpg,APP-001-VO-ND,APP-001-VO,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 3A W/LED BLACK,0,0,"Obsolete","0","100","-","Obsolete","Auto Power Plug","ABS, Fused, LED Indicator","3A","Black","12V"
http://www.memoryprotectiondevices.com/documents/catalogs/MPD-12V-Parts.pdf,-,ZA1090-ND,ZA1090,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A BLACK,0,0,"Obsolete","0","100","-","Obsolete","Auto Power Plug","Phenolic, Fused, Illuminated","3A","Black","12V"
//media.digikey.com/PDF/Data%20Sheets/Memory%20Protection%20PDFs/ZA1091.pdf,-,ZA1091-ND,ZA1091,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A BLACK,0,0,"Obsolete","0","100","-","Obsolete","Auto Power Plug","Phenolic, Fused","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA1093-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA1093.jpg,ZA1093-ND,ZA1093,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A BLACK,0,100,"Active","0","0","-","Active","Auto Power Plug","Fused, Nylon","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA2030-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA2030.jpg,ZA2030-ND,ZA2030,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V,0,600,"Active","0","0","-","Active","Auto Power Socket","Wall Mountable","-","-","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA2040-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA2040.jpg,ZA2040-ND,ZA2040,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V,0,0,"Active","0","0","-","Active","Auto Power Socket","Wall Mountable","-","-","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA2050-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA2050.jpg,ZA2050-ND,ZA2050,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 10A,0,0,"Active","0","0","-","Active","Auto Power Socket","Metal Phenolic Insulator","10A","-","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5054-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA5054.jpg,ZA5054-ND,ZA5054,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A 10',0,100,"Active","0","0","-","Active","Cable, Auto Power Plug to 2.1mm DC Plug","10' (3.05m) Cord, ABS","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5073-2.5-1AMP-datasheet.pdf,-,ZA5073-2.5-1AMP-ND,ZA5073-2.5-1AMP,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 1A W/LED,0,400,"Active","0","0","-","Active","Cable, Auto Power Plug to 2.5mm DC Plug","6' (1.83m) Cord, ABS, Fused, LED Indicator","1A","Black","12V"
-,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_ZA6003.jpg,ZA6003-ND,ZA6003,MPD (Memory Protection Devices),AUTO LIGHTER 12V W/COMPASS,0,400,"Obsolete","0","100","-","Obsolete","Auto Lighter","With Compass","-","-","12V"
-,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001.jpg,APP-001-2AMP-ND,APP-001-2AMP,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 2A W/LED BLACK,0,0,"Active","0","0","-","Active","Auto Power Plug","Fused, LED Indicator, PBT, Strain Relief","2A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS-215-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AS215.jpg,AS215-ND,AS215,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 15A BLACK,0,0,"Active","0","0","-","Active","Auto Power Socket","Nylon, Wall Mountable, Weather Resistant","15A","Black","12V"
