Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Battery Chemistry","Battery Cell Size","Number of Cells","Voltage - Nominal","Charge Current - Max","Charge Time","Voltage - Input","Power - Max","Size / Dimension","Mounting Type","Termination Style","Features"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0208_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0208.jpg,1738-1227-ND,DFR0208,DFRobot,BATT CHARGER OPEN FRAME 3.7V 1A,28,0,"12.36000","0","1","-","Active","Open Frame","Lithium-Ion","-","1","3.7V","1A","-","-","-","-","Custom","USB Micro-B, USB A","LED Indicator"
http://data.energizer.com/pdfs/chvcm4.pdf,//media.digikey.com/Photos/Energizer%20Photos/CHVCMWB-4.JPG,N732-ND,CHVCMWB-4,Energizer Battery Company,BATT CHARGER WALL MT 300MA/150MA,39,0,"18.46000","0","1","CHVCM4","Active","Wall Mount","Nickel Metal Hydride","AA, AAA","4","-","300mA, 150mA","5 ~ 10 Hrs","110 ~ 127 VAC","-","2.80"" L x 2.44"" W x 4.53"" H (71.00mm x 62.00mm x 115.00mm)","Desktop","Battery Bay","Automatic Shut Off, Comes with 4 AA NiMH Batteries, LED Indicator"
http://data.energizer.com/pdfs/chpro.pdf,//media.digikey.com/Photos/Energizer%20Photos/CHPROWB4.JPG,N734-ND,CHPROWB4,Energizer Battery Company,BATT CHRGR WALL MOUNT 2.8V 500MA,15,0,"19.92000","0","1","-","Active","Wall Mount","Nickel Metal Hydride","AA, AAA","4","2.8V","500mA","3 Hrs","100 ~ 240 VAC","-","-","Wall Mount","Battery Bay","Automatic Shut Off, LED Indicator"
http://data.energizer.com/pdfs/chfc.pdf,//media.digikey.com/photos/Energizer%20Photos/CHFC.jpg,N316-ND,CHFC,Energizer Battery Company,BATTERY CHARGER DESKTOP 1.1A,94,0,"31.23000","0","1","-","Active","Desktop","Nickel Metal Hydride","AA, AAA, C, D, 9V","8","-","1.1A","3 ~ 7 Hrs","100 ~ 240 VAC","-","7.99"" L x 4.37"" W x 2.83"" H (203.00mm x 111.00mm x 72.00mm)","Desktop","Battery Bay","Automatic Shut Off"
https://cdn.sparkfun.com/datasheets/Prototyping/IMAX-B6.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/PRT-10473.jpg,1568-1879-ND,PRT-10473,SparkFun Electronics,BATTERY CHARGER ENCLOSED 6A,10,0,"33.75000","0","1","iMAX","Active","Enclosed","LiFePO4/Lead Acid/Li-ion/NiMH/NiCD","12V","6","-","6A","-","11 ~ 18V","80W","5.24"" L x 3.43"" W x 1.30"" H (133.00mm x 87.00mm x 33.00mm)","Chassis Mount","-","Programmable"
http://www.memoryprotectiondevices.com/datasheets/AS234A-A-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/MFG_AS234A-A-closed.jpg,AS234A-A-ND,AS234A-A,MPD (Memory Protection Devices),BATT CHARGER USB AUTO 5V 1A/2.4A,99,100,"39.03000","0","1","-","Active","USB Auto Adapter","Mobile Devices","-","2","5V","1A, 2.4A","-","10 ~ 28VDC","-","2.36"" L x 1.63"" W x 1.69"" H (60.02mm x 41.50mm x 42.82mm)","Panel Mount","USB A Receptacle (2)","-"
https://www.meanwell.com/Upload/PDF/PB-230/PB-230-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_PB-230.jpg,1866-5374-ND,PB-230-24AD1,MEAN WELL USA Inc.,BATT CHARGER ENCLOSED 28.8V 8A,36,0,"75.29000","0","1","PB-230","Active","Enclosed","Lead Acid, Lithium-Ion","24V","1","28.8V","8A","-","90 ~ 264 VAC, 127 ~ 370 VDC","230W","7.48"" L x 3.78"" W x 1.93"" H (190.0mm x 96.0mm x 49.0mm)","Desktop","Rectangular Connector","LED Indicator"
http://www.crtes.com/cts_images/datasheets/PC-300-12-110_datasheet.pdf,//media.digikey.com/photos/Patco%20Electronics%20Photos/3212.JPG,PATC-08-ND,3212,Patco Electronics,BATT CHRGR ENCLOSED 10V-14V 1.5A,6,0,"200.23000","0","1","InteliTender 300","Active","Enclosed","Lead Acid","12V","1","10V ~ 14V","1.5A","8.5 Hrs","120VAC","-","7.00"" L x 3.50"" W x 2.50"" H (177.80mm x 88.90mm x 63.50mm)","Chassis Mount","-","Multiple Charge Modes"
https://belfuse.com/resources/datasheets/powersolutions/ds-bps-w-series.pdf,//media.digikey.com/Photos/Bel%20Photos/MFG_Melcher-W-Series.jpg,179-2479-ND,LWR1240-6EM1G,Bel Power Solutions,BATT CHARGER ENCLOSED 27.3V 4.2A,12,0,"298.70000","0","1","Melcher W","Active","Enclosed","Lead Acid","24V","1","27.3V","4.2A","-","85 ~ 264 VAC","115W","4.47"" L x 4.06"" W x 5.43"" H (113.60mm x 103.00mm x 138.00mm)","DIN Rail","Terminal Block","LED Indicator"
https://www.meanwell.com/Upload/PDF/RPB-1600/RPB-1600-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_RPB-1600.jpg,1866-4006-ND,RPB-1600-24,MEAN WELL USA Inc.,BATT CHARGER ENCLOSED 28.8V 55A,7,0,"409.50000","0","1","RPB-1600","Active","Enclosed","Lead Acid, Lithium-Ion","24V","1","28.8V","55A","-","90 ~ 264 VAC, 127 ~ 370 VDC","1600W","11.81"" L x 3.35"" W x 1.61"" H (300.0mm x 85.0mm x 41.0mm)","Rack Mount","Rectangular Connector","LED Indicator"
