Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Type, Function","Style","Battery Cell Size","Number of Cells","Battery Series","Mounting Type","Termination Style","Height Above Board","Operating Temperature"
http://www.keyelco.com/product-pdf.cfm?p=14017,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1070TR.jpg,36-1070TR-ND,1070TR,Keystone Electronics,BATTERY HOLDER COIN 20MM SMD,3600,18400,"1.00433","0","400","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.235"" (5.97mm)","-50°C ~ 145°C"
http://www.keyelco.com/product-pdf.cfm?p=14017,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1070TR.jpg,36-1070CT-ND,1070TR,Keystone Electronics,BATTERY HOLDER COIN 20MM SMD,4067,18762,"1.65000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.235"" (5.97mm)","-50°C ~ 145°C"
http://www.keyelco.com/product-pdf.cfm?p=14017,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_1070TR.jpg,36-1070DKR-ND,1070TR,Keystone Electronics,BATTERY HOLDER COIN 20MM SMD,4067,18762,"Digi-Reel","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Surface Mount","SMD (SMT) Tab","0.235"" (5.97mm)","-50°C ~ 145°C"
http://www.keyelco.com/product-pdf.cfm?p=786,//media.digikey.com/photos/Keystone%20Elect%20Photos/3008.JPG,36-3008TR-ND,3008TR,Keystone Electronics,BATTERY RETAINER COIN SMD TAB,30000,72800,"1.01000","0","200","-","Active","Coin Cell, Retainer","Retainer","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.230"" (5.85mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=786,//media.digikey.com/photos/Keystone%20Elect%20Photos/3008.JPG,36-3008CT-ND,3008TR,Keystone Electronics,BATTERY RETAINER COIN SMD TAB,30152,72855,"1.46000","0","1","-","Active","Coin Cell, Retainer","Retainer","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.230"" (5.85mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=786,//media.digikey.com/photos/Keystone%20Elect%20Photos/3008.JPG,36-3008DKR-ND,3008TR,Keystone Electronics,BATTERY RETAINER COIN SMD TAB,30152,72855,"Digi-Reel","0","1","-","Active","Coin Cell, Retainer","Retainer","Coin, 24.5mm","1","2450","PCB, Surface Mount","SMD (SMT) Tab","0.230"" (5.85mm)","-"
https://cdn.harwin.com/pdfs/S8401.pdf,//media.digikey.com/Photos/Harwin/MFG_S8401-46.jpg,952-1743-2-ND,S8401-46,Harwin Inc.,BATTERY HOLDER COIN 20MM PC PIN,5700,0,"1.02377","0","300","S8401","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.665"" (16.90mm)","-40°C ~ 105°C"
https://cdn.harwin.com/pdfs/S8401.pdf,//media.digikey.com/Photos/Harwin/MFG_S8401-46.jpg,952-1743-1-ND,S8401-46,Harwin Inc.,BATTERY HOLDER COIN 20MM PC PIN,5912,0,"1.76000","0","1","S8401","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.665"" (16.90mm)","-40°C ~ 105°C"
https://cdn.harwin.com/pdfs/S8401.pdf,//media.digikey.com/Photos/Harwin/MFG_S8401-46.jpg,952-1743-6-ND,S8401-46,Harwin Inc.,BATTERY HOLDER COIN 20MM PC PIN,5912,0,"Digi-Reel","0","1","S8401","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.665"" (16.90mm)","-40°C ~ 105°C"
http://www.memoryprotectiondevices.com/datasheets/BC2032-E2-datasheet.pdf,//media.digikey.com/Photos/Memory%20Protection%20Photos/BC2032-E2.JPG,BC2032-E2-ND,BC2032-E2,MPD (Memory Protection Devices),BATTERY HOLDER COIN 20MM PC PIN,8576,24000,"1.03000","0","1","-","Active","Coin Cell, Holder","Holder (Open)","Coin, 20.0mm","1","2032","PCB, Through Hole","PC Pin","0.200"" (5.08mm)","-40°C ~ 180°C"
