Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products","Specifications","Compatible Tools","Cable Group"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=90140-1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/90140-1.jpg,90140-1-ND,90140-1,TE Application Tooling,TOOL DIE SET W/O 69710-1 10AWG,2,0,"2272.20000","0","1","Multimate XII","Active","Die Set","Contacts, 10 AWG","-","69365, 69710-1","-"
https://www.molex.com/pdm_docs/ats/ATS-621002000.pdf,//media.digikey.com/Photos/Molex/0621002000.jpg,WM6672-ND,0621002000,Molex,HANDTOOL MANUAL IDT,3,1,"2302.02000","0","1","Milli-Grid","Active","Terminating Head","Rectangular IDC Connectors, 28 AWG","-","63600-0478","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-4324&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Photos/356611-2.JPG,A97911-ND,356611-2,TE Application Tooling,10AWG DIE SET FOR 69710-1,5,0,"2661.75000","0","1","Multimate .125 Powerband","Active","Die Set","Contacts, 10 AWG","-","69710-1, 217500","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9442&DocType=SS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/58374-1.JPG,A9915-ND,58374-1,TE Application Tooling,TOOL DIE SET AWG12-14,5,0,"3543.75000","0","1","MATE-N-LOK","Active","Die Set","Rectangular Contacts, 12-14 AWG","-","69710-1, 69365, 69365-2, 69365-3","-"
-,//media.digikey.com/Photos/TE%20Connectivity/4-539785-8.JPG,A120158-ND,4-539785-8,TE Application Tooling,TOOL POSITIONER,15,0,"52.28000","0","1","-","Active","Positioner","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=4-539785-7&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/4-539785-7.jpg,A120185-ND,4-539785-7,TE Application Tooling,TOOL POSITIONER FOR 169341-1,10,0,"52.28000","0","1","-","Active","Positioner","-","-","169341-1","-"
https://www.belfuse.com/resources/Trompeter/Drawings/dr-CD3-1.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/CD3-1.JPG,1097-1055-ND,CD3-1,Cinch Connectivity Solutions Trompeter,CRIMP DIE - CT5 1A-.213 1B-.178,9,0,"70.04000","0","1","-","Active","Die Set","Coaxial, RF Connectors","Hex - 0.042"", 0.068"", 0.178"", 0.213""","CT3, CT4, CT4L, CT5","-"
https://www.belfuse.com/resources/Trompeter/Drawings/dr-CD3-1.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/CD3-21.JPG,1097-1057-ND,CD3-21,Cinch Connectivity Solutions Trompeter,CRIMP DIE -CT5 290-.290 255-.255,8,0,"70.04000","0","1","-","Active","Die Set","Coaxial, RF Connectors","Hex - 0.042"", 0.255"", 0.291""","CT3, CT4, CT4L, CT5","-"
-,//media.digikey.com/Photos/Astro%20Tools%20Photos/GTP-109.jpg,GTP109-ND,GTP 109,Astro Tool Corp,POSITIONER GLENAIR,11,0,"83.69000","0","1","-","Active","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-7516&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/601966-2.JPG,A121491-ND,601966-2,TE Application Tooling,POSITIONER M22520/2-02,3,0,"113.85000","0","1","-","Active","Positioner","Termi-Block Contacts, 32 ~ 20 AWG","-","601966-1","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9657&DocType=SS&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/58425-2.jpg,A9993-ND,58425-2,TE Application Tooling,"DIESET HEXCRIMP RG179, 161, 187",9,0,"137.45000","0","1","Pro-Crimper III","Active","Die Set","Coaxial, RF - BNC, TNC","Hex - 0.128"", 0.178""; Square - 0.042""","1490076-2, 2031450-1, 2031460-1, 354940-1, 679304-1, 9-1478240-0","RG-161, 179, 187"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9877&DocType=SS&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/58489-1.jpg,A9809-ND,58489-1,TE Application Tooling,"DIE SET SMB RG/174,179,187",6,0,"137.45000","0","1","Pro-Crimper II","Active","Die Set","Coaxial, RF - SMB","Hex - 0.094"", 0.025"", 0.118"", 0.128""","354940-1","RG-161, 174, 178, 179, 180, 187, 188, 196, 316 (Double Braid), Belden 9221"
https://www.bulgin.com/products/pub/media/bulgin/data/400_power.pdf,//media.digikey.com/Photos/Bulgin%20Photos/14025%5E1AMP.JPG,708-1104-ND,14025/1AMP,Bulgin,TOOL CRIMP POSITIONER FOR 1A,5,0,"151.93000","0","1","400, Buccaneer®","Active","Positioner","24-28 AWG Terminals","-","14025","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9657&DocType=SS&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/58436-1.jpg,A9994-ND,58436-1,TE Application Tooling,"DIESET HEXCRIMP RG58, 62, 59",19,0,"157.08000","0","1","Pro-Crimper III","Active","Die Set","Coaxial, RF - BNC, TNC","Hex - 0.068"", 0.213"", 0.255""","1490076-2, 2031450-1, 2031460-1, 354940-1, 679304-1, 9-1478240-0","RG-58, 59, 62"
-,//media.digikey.com/photos/Astro%20Tools%20Photos/tgv702.JPG,TGV702-ND,TGV702,Astro Tool Corp,TOOL POSITIONER FOR 616336,5,0,"160.81000","0","1","-","Active","Positioner","Contacts, 16-28 AWG","-","616336","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-4352&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/58637-2.jpg,A120150-ND,58637-2,TE Application Tooling,TOOL PRO-CRIMP DIE 20-14 UMNL,8,0,"172.52000","0","1","Pro-Crimper III, Universal MATE-N-LOK","Active","Die Set","Contacts, 14-20 AWG","-","1213890-1, 1213890-2, 1490076-2, 354940-1, 679304-1, 9-1478240-0","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=408-9887&DocType=SS&DocLang=EN,//media.digikey.com/photos/Tyco%20Photos/90575-2.JPG,A9939-ND,90575-2,TE Application Tooling,TOOL DIESET 14-20AWG COM-MATE,6,0,"183.37000","0","1","Pro-Crimper III, Commercial MATE-N-LOK","Active","Die Set","Rectangular Contacts, 14-20 AWG","-","1213890-1, 1213890-2, 1490076-2, 354940-1, 679304-1, 9-1478240-0","-"
