Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Current - Max","Region Utilized","Overload Protection","Connector - AC Input","Connector - AC Output","Voltage - Input","Dielectric Material","Media Lines Protected","AC Outlets","Energy","Cord Length","Approvals","Features"
https://assets.tripplite.com/product-pdfs/en/rs0615r.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_RS-0615-R.jpg,TL1149-ND,RS-0615-R,Tripp Lite,POWER STRIP 6OUT 15'CORD RACK,25,0,"74.66000","0","1","-","Active","PDU (Power Distribution Unit)","Rack, Horizontal","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","-","15' (4.57m)","cUL, NOM, UL","-"
https://assets.tripplite.com/product-pdfs/en/isobar6ultra.pdf,//media.digikey.com/Photos/Tripplite%20Photos/ISOBAR6%20ULTRA.JPG,TL077-ND,ISOBAR6 ULTRA,Tripp Lite,SURGE SUPPRSSR 6OUT 6'CORD W/LED,32,0,"74.99000","0","1","ISOBAR®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","12A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","3330J","6' (1.83m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/rs0615f.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_RS-0615-F.jpg,TL1717-ND,RS-0615-F,Tripp Lite,POWER STRIP 15A 6OUT 19"" RACK,27,0,"75.99000","0","1","-","Active","PDU (Power Distribution Unit)","Rack, Horizontal","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","6","-","15' (4.57m)","cUL, NOM, UL","-"
https://assets.tripplite.com/product-pdfs/en/ps3612ra.pdf,//media.digikey.com/Photos/Tripplite%20Photos/PS3612RA.jpg,TL724-ND,PS3612RA,Tripp Lite,POWER STRIP 36"" 12OUT 15'CORD,18,0,"77.33000","0","1","-","Active","Outlet Strip","Bench, Rack, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Aluminum","-","12","-","15' (4.57m)","CSA, cUL, UL","-"
https://assets.tripplite.com/product-pdfs/en/ss3612.pdf,//media.digikey.com/Photos/Tripplite%20Photos/SS3612.jpg,TL769-ND,SS3612,Tripp Lite,POWER STRIP,20,0,"78.66000","0","1","-","Active","Outlet Strip, Surge Protector","Bench, Rack, Wall","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","-","-","12","1050J","15' (4.57m)","CSA, cUL, UL","-"
http://www.hammondmfg.com/pdf/1583H12A1BKX.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1582H6A1.jpg,HM1847-ND,1583H12A1BKX,Hammond Manufacturing,POWER STRIP 19""15A 12OUT 6' CORD,13,53,"79.88000","0","1","1583","Active","PDU (Power Distribution Unit)","Rack, Horizontal","15A","North America","Circuit Breaker(s)","NEMA 5-15P","NEMA 5-15R","120V","Steel","-","12","-","6' (1.83m)","CSA, UL","-"
-,//media.digikey.com/Photos/Tripplite%20Photos/MFG_IB4-6%5E220.jpg,TL435-ND,IB4-6/220,Tripp Lite,SURGE SUPPR 4OUT 6'CORD 5-15R,15,0,"80.13000","0","1","ISOBAR®","Active","Outlet Strip, Surge Protector","Bench, Floor, Wall","9A","North America","-","NEMA 5-15P","NEMA 5-15R","230V","Metal","-","4","330J","6' (1.83m)","-","-"
http://www.hammondmfg.com/pdf/1582H8E1BK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1582H8E1BK.jpg,HM1841-ND,1582H8E1BK,Hammond Manufacturing,POWER STRIP 19"" 10A 230VAC 8OUT,29,74,"82.35000","0","1","1582E","Active","PDU (Power Distribution Unit)","Rack, Horizontal","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Steel","-","8","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
http://www.hammondmfg.com/pdf/1583T8E1BK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1583H8E1BK.jpg,HM1860-ND,1583T8E1BK,Hammond Manufacturing,POWER STRIP 19"" 10A 230VAC 8OUT,15,123,"82.35000","0","1","1583E","Active","PDU (Power Distribution Unit)","Rack, Horizontal","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Steel","-","8","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
http://www.hammondmfg.com/pdf/1582T8E1BK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1582T8E1BK.jpg,HM1846-ND,1582T8E1BK,Hammond Manufacturing,RACK MOUNT OUTLET STRIP 10A 8 PO,10,39,"82.35000","0","1","1582E","Active","PDU (Power Distribution Unit)","Rack, Horizontal","10A","International","Circuit Breaker(s)","IEC 320-C14","IEC 320-C13","230V","Steel","-","8","-","Without Cord","CE, CSA, cULus, TUV-GS","-"
