Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Form","Power - Rated","AC Outlets","Backup Time - Max Load","Media Lines Protected","Voltage - Output","Connector - AC Input","Connector - AC Output","Cord Length","Size / Dimension","Height"
https://assets.tripplite.com/product-pdfs/en/su750rtxl2un.pdf,-,SU750RTXL2UN-ND,SU750RTXL2UN,Tripp Lite,750VA UPS SMART ONLINE,0,0,"1004.22000","0","1","SmartOnline","Active","Online (Double Conversion)","Network, Single Phase","Rackmount","750VA / 600W","6 (UPS)","6 minutes","RS-232","120V","NEMA 5-15P","NEMA 5-15R (6)","6' (1.83m)","17.500"" L x 13.500"" W (444.50mm x 342.90mm)","3.500"" (88.90mm)"
https://assets.tripplite.com/product-pdfs/en/smart1000rm1un.pdf,-,SMART1000RM1UN-ND,SMART1000RM1UN,Tripp Lite,1000VA UPS LINE INTERACTIVE,0,0,"1012.03000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount","1kVA / 800W","6 (UPS)","4 minutes","-","120V","NEMA 5-15P","NEMA 5-15R (6)","10' (3.05m)","17.500"" L x 16.750"" W (444.50mm x 425.45mm)","1.750"" (44.45mm)"
https://assets.tripplite.com/product-pdfs/en/su1000rtxl2un.pdf,-,SU1000RTXL2UN-ND,SU1000RTXL2UN,Tripp Lite,1000VA UPS SMART ONLINE,0,0,"1064.74000","0","1","SmartOnline","Active","Online (Double Conversion)","Network, Single Phase","Rackmount","1kVA / 800W","6 (UPS)","4.5 minutes","RS-232","120V","NEMA 5-15P","NEMA 5-15R (6)","10' (3.05m)","17.500"" L x 13.500"" W (444.50mm x 342.90mm)","3.500"" (88.90mm)"
https://assets.tripplite.com/product-pdfs/en/smart1500crmxl.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART1500CRMXL.jpg,SMART1500CRMXL-ND,SMART1500CRMXL,Tripp Lite,UPS SMART RACKMOUNT AVR USB DB9,0,0,"1068.21000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/suint1500lcd2u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SUINT1500LCD2U_primary.jpg,SUINT1500LCD2U-ND,SUINT1500LCD2U,Tripp Lite,INTL UPS SYSTEM SMART,0,0,"1069.35000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/smart1500rm2un.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART1500RM%20Series.jpg,SMART1500RM2UN-ND,SMART1500RM2UN,Tripp Lite,UPS SMART LCD RACKMOUNT AVR,0,0,"1080.67000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount, Tower","1.5kVA / 1350W","8 (UPS)","4.5 minutes","-","120V","NEMA 5-15P","NEMA 5-15R (8)","10' (3.05m)","13.450"" L x 17.300"" W (341.63mm x 439.42mm)","3.450"" (87.63mm)"
https://www.emerson.com/documents/automation/catalog-solahd-shdcat-s4k4u-c-s4k6u-c-en-5013450.pdf,-,2106-A2D115HW-ND,A2D115HW,SolaHD,BYPASS SWITCH HW 15AMP 2U,0,0,"1081.51000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/su5000xfmr2utaa.pdf,-,SU5000XFMR2UTAA-ND,SU5000XFMR2UTAA,Tripp Lite,SMARTONLINE STEP-DOWN ISOLATION,0,0,"1092.69000","0","1","Smart Online™","Active","Online (Double Conversion)","General Purpose, Industrial Control","Rackmount, Tower","5kVA / 5000W","13 (UPS)","-","-","120VAC, 208VAC","NEMA L6-30P","NEMA 5-15/20R (12), NEMA L6-30R (1)","10' (3.05m)","20.750"" L x 17.500"" W (527.05mm x 444.50mm)","3.500"" (88.90mm)"
https://assets.tripplite.com/product-pdfs/en/smart3000vs.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART3000VS.jpg,SMART3000VS-ND,SMART3000VS,Tripp Lite,UPS SMARTPRO 3.0KVA 2250W 10OUT,0,0,"1109.78000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Tower","3kVA / 2250W","10 (UPS)","4 minutes","-","120V","NEMA L5-30P","NEMA 5-15R (7), NEMA 5-20R (2), NEMA L5-30R (1)","8' (2.44m)","12.000"" L x 9.201"" W (304.80mm x 233.70mm)","14.201"" (360.70mm)"
http://www.ia.omron.com/data_pdf/cat/s8ba_u701-e1_4_5_csm1042516.pdf,//media.digikey.com/Photos/Omron%20Auto/MFG_S8BA-24D24D120LF.jpg,S8BA-24D24D120LF-ND,S8BA-24D24D120LF,Omron Automation and Safety,DIN RAIL UPS 120W 24VDC,0,13,"1122.88000","0","1","S8BA","Active","Standby (No Regulation)","General Purpose, Industrial Control","Din Rail","120W","1 (UPS)","6 minutes","RJ45","24V","-","-","5' (1.52m)","3.937"" L x 3.701"" W (100.00mm x 94.00mm)","3.937"" (100.00mm)"
https://assets.tripplite.com/product-pdfs/en/su2200xla.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU2200XLA.jpg,SU2200XLA-ND,SU2200XLA,Tripp Lite,UPS SMART ONLINE,0,0,"1126.79000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/su1500rtxlcd2u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU1500RTXLCD2U.jpg,SU1500RTXLCD2U-ND,SU1500RTXLCD2U,Tripp Lite,UPS SMART ONLINE RACKMOUNT,0,0,"1127.55000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/hcrk36.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_HCRK%20Series.jpg,HCRK-36-ND,HCRK-36,Tripp Lite,MEDICAL MOBILE CART POWER KIT,0,0,"1141.30000","0","1","-","Active","Standby (No Regulation)","General Purpose, Industrial Control","Desktop","300W","3 (UPS)","-","-","120V","NEMA 5-15P","NEMA 5-15R (3)","10' (3.05m)","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-shdcat-s4k4u-c-s4k6u-c-en-5013450.pdf,-,2106-A2D120HW-ND,A2D120HW,SolaHD,BYPASS SWITCH HW 20AMP 2U,0,0,"1157.28000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-s4k2u-c-s4k2u-5c-ups-en-us-164170.pdf,-,2106-S4K2U700C-ND,S4K2U700C,SolaHD,UPS ON LINE 700VA 120V 3G,0,0,"1157.82000","0","1","S4K","Active","Online (Double Conversion)","General Purpose, Industrial Control","Rackmount, Tower","700VA / 630W","6","-","-","110V, 115V, 120V, 127V","NEMA 5-15P","NEMA 5-15R (6)","10' (3.05m)","19.701"" L x 16.929"" W (500.40mm x 430.00mm)","3.402"" (86.40mm)"
https://assets.tripplite.com/product-pdfs/en/smart1500rmxln.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SMART1500RM%20Series.jpg,SMART1500RMXLN-ND,SMART1500RMXLN,Tripp Lite,UPS SMART LCD RACKMOUNT AVR,0,0,"1158.68000","0","1","Smart Pro®","Active","Line Interactive (Input Regulation)","Network, Single Phase","Rackmount, Tower","1.5kVA / 1350W","8 (UPS)","4.9 minutes","-","120V","NEMA 5-15P","NEMA 5-15R (8)","10' (3.05m)","13.450"" L x 17.300"" W (341.63mm x 439.42mm)","3.450"" (87.63mm)"
https://assets.tripplite.com/product-pdfs/en/suint2000xlcd.pdf,-,SUINT2000XLCD-ND,SUINT2000XLCD,Tripp Lite,SMARTONLINE 230V 2KVA 1800W ON-L,0,0,"1172.20000","0","1","SmartOnline","Active","Online (Double Conversion)","Network, Single Phase","Tower","2kVA / 1800W","7 (UPS)","4.7 minutes","-","220V, 230V, 240V","C14","C13 (7)","10' (3.05m)","14.200"" L x 7.500"" W (360.68mm x 190.50mm)","12.800"" (325.12mm)"
https://assets.tripplite.com/product-pdfs/en/sm2200rmxl2utaa.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SM2200RMXL2UTAA.jpg,SM2200RMXL2UTAA-ND,SM2200RMXL2UTAA,Tripp Lite,UPS SMART RACKMOUNT AVR USB DB9,0,0,"1196.44000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-s3k-series-ups-en-us-164174.pdf,-,2106-S3K1600-ND,S3K1600,SolaHD,L/I-S UPS 1600VA 120-120V50/60,0,0,"1198.24000","0","1","S3K","Active","Line Interactive (Input Regulation)","General Purpose, Industrial Control","Tower","1.44kVA / 1200W","6","11 minutes","RS-232","120V","NEMA 5-15P","NEMA 5-15R (6)","-","17.717"" L x 6.693"" W (450.00mm x 170.00mm)","8.898"" (226.00mm)"
https://www.emerson.com/documents/automation/catalog-solahd-shdcat-s4k4u-c-s4k6u-c-en-5013450.pdf,-,2106-A2D130HW-ND,A2D130HW,SolaHD,BYPASS SWITCH HW 30AMP 2U,0,0,"1198.44000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/su1500rtxl2un.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SU1500RTXL2UN.jpg,SU1500RTXL2UN-ND,SU1500RTXL2UN,Tripp Lite,UPS SMART ONLINE RACKMOUNT,0,0,"1218.44000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,2106-SUS4K061UM-ND,SUS4K061UM,SolaHD,S4K 6KVA START-UP M-F 8-5,0,0,"1221.65000","0","1","S4K","Active","Standby (No Regulation)","General Purpose, Industrial Control","-","6kVA","-","-","-","-","-","-","-","-","-"
-,-,2106-SUS5KCXXMF-ND,SUS5KCXXMF,SolaHD,S5KC STARTUP MONDAY-FRIDAY 8-5,0,0,"1222.42000","0","1","S5KC","Active","Standby (No Regulation)","General Purpose, Industrial Control","-","-","-","-","-","-","-","-","-","-","-"
