Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","Applications","Number of Channels","Interface","Voltage - Supply","Operating Temperature","Specifications","Package / Case","Supplier Device Package"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fina1650,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040064-3;PW;14.jpg,296-45364-5-ND,INA1650IPW,Texas Instruments,IC AUDIO RECEIVER 91DB 14TSSOP,644,5220,"4.62000","0","1","Tube","SoundPlus™","Active","Audio Receiver","Audio","2","-","4.5V ~ 36V","-40°C ~ 125°C (TA)","-","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdir9001,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-TSSOP.jpg,296-21389-5-ND,DIR9001PW,Texas Instruments,IC DGTL AUDIO IR RCVR 28-TSSOP,3457,10000,"5.04000","0","1","Tube","-","Active","Audio Receiver","Automotive Audio, Consumer Audio, Musical Instruments","1","I²S","2.7V ~ 3.6V","-40°C ~ 85°C (TA)","28kHz ~ 108kHz","28-TSSOP (0.173"", 4.40mm Width)","28-TSSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdix9211,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg,296-27870-2-ND,DIX9211PTR,Texas Instruments,TXRX DIX 192KHZ 3.3V 48-LQFP,1000,0,"5.04900","0","1000","Tape & Reel (TR)","-","Active","Audio Transceiver","Consumer Audio, Musical Instruments","2","I²C, I²S, SPI","2.9V ~ 3.6V","-40°C ~ 85°C (TA)","7kHz ~ 216kHz","48-LQFP","48-LQFP (7x7)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdix9211,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg,296-27870-1-ND,DIX9211PTR,Texas Instruments,TXRX DIX 192KHZ 3.3V 48-LQFP,1052,0,"9.17000","0","1","Cut Tape (CT)","-","Active","Audio Transceiver","Consumer Audio, Musical Instruments","2","I²C, I²S, SPI","2.9V ~ 3.6V","-40°C ~ 85°C (TA)","7kHz ~ 216kHz","48-LQFP","48-LQFP (7x7)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdix9211,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP.jpg,296-27870-6-ND,DIX9211PTR,Texas Instruments,TXRX DIX 192KHZ 3.3V 48-LQFP,1052,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Audio Transceiver","Consumer Audio, Musical Instruments","2","I²C, I²S, SPI","2.9V ~ 3.6V","-40°C ~ 85°C (TA)","7kHz ~ 216kHz","48-LQFP","48-LQFP (7x7)"
http://www.onsemi.com/pub/Collateral/NE570-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/488;-751G-03;-D,-DW,-DWF;-16---Top.jpg",NE570DGOS-ND,NE570DG,ON Semiconductor,IC COMPANDOR DUAL GAIN 16-SOIC,269,4418,"5.31000","0","1","Tube","-","Active","Compandor","Consumer Audio, Telecommunication Systems","2","Analog","6V ~ 24V","0°C ~ 70°C (TA)","110dB","16-SOIC (0.295"", 7.50mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv134,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,296-36093-5-ND,DRV134PAG4,Texas Instruments,IC AUDIO DIFF LINE DRIVER 8-DIP,146,10000,"5.49000","0","1","Tube","-","Active","Line Driver","Pre-Amplifier, Professional Audio","2","Analog","±4.5V ~ 18V","-55°C ~ 125°C (TA)","Differential Output","8-DIP (0.300"", 7.62mm)","8-PDIP"
//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/SAE_800.pdf,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,SAE800GXLLA1-ND,SAE800GXLLA1,Infineon Technologies,IC PROGRAMMABLE TONE GONG 8DSO,3845,0,"5.56000","0","1","Tube","-","Not For New Designs","Audio Tone Processor","Audio Systems","1","Logic","2.8V ~ 18V","-25°C ~ 125°C (TJ)","100kHz","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-1"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD1895.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-TSSOP.jpg,AD1895AYRSZRLTR-ND,AD1895AYRSZRL,Analog Devices Inc.,IC SAMP-RATEHP/CONV 24BIT 28SSOP,1500,1500,"5.71307","0","1500","Tape & Reel (TR)","-","Active","Sample Rate Converter","Digital Audio Interfacing","2","I²S, TDM","3.3V, 5V","-40°C ~ 105°C (TA)","6kHz ~ 215kHz","28-SSOP (0.209"", 5.30mm Width)","28-SSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD1895.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/28-TSSOP.jpg,AD1895AYRSZRLCT-ND,AD1895AYRSZRL,Analog Devices Inc.,IC SAMP-RATEHP/CONV 24BIT 28SSOP,1500,1500,"10.37000","0","1","Cut Tape (CT)","-","Active","Sample Rate Converter","Digital Audio Interfacing","2","I²S, TDM","3.3V, 5V","-40°C ~ 105°C (TA)","6kHz ~ 215kHz","28-SSOP (0.209"", 5.30mm Width)","28-SSOP"
