Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
//media.digikey.com/pdf/Data Sheets/TPI PDFs/CT001147 DVI-DVI 2M.pdf,//media.digikey.com/photos/TPI%20Photos/CT001147.JPG,290-1913-ND,CT001147,TPI (Test Products Int),CABLE DVI MALE TO DVI MALE 2M,0,200,"19.14000","0","100","-","Active","DVI-D Single Link, Male to DVI-D Single Link, Male","6.6' (2.00m)","Round","Black","Shielded","Digital Visual Interface"
https://assets.tripplite.com/product-pdfs/en/ezbdvim2.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_EZB-DVIM-2.jpg,EZB-DVIM-2-ND,EZB-DVIM-2,Tripp Lite,DVI CABLE KIT 2 X DVI MALE 1FT,0,0,"19.43000","0","1","-","Active","DVI-D Single Link, Male to DVI-D Single Link, Male","1.00' (304.80mm)","Round","Black","Shielded","-"
https://assets.tripplite.com/product-pdfs/en/p569006lock.pdf,-,P569-006-LOCK-ND,P569-006-LOCK,Tripp Lite,CABLE HDMI-A M TO HDMI-A M 6',0,0,"19.43000","0","1","-","Active","HDMI-A Male to HDMI-A Male","6.0' (1.83m)","Round","Black","Unshielded","High Definition Multimedia Interface"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-01-ND,K-8846-024-01,Winchester Interconnect,PATCH CORD MID SZ 2' BRN,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Brown","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-02-ND,K-8846-024-02,Winchester Interconnect,PATCH CORD MID SZ 2' RED,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Red","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-03-ND,K-8846-024-03,Winchester Interconnect,PATCH CORD MID SZ 2' ORANGE,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Orange","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-04-ND,K-8846-024-04,Winchester Interconnect,PATCH CORD MID SZ 2' YELLOW,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Yellow","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-05-ND,K-8846-024-05,Winchester Interconnect,PATCH CORD MID SZ 2' GREEN,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Green","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-06-ND,K-8846-024-06,Winchester Interconnect,PATCH CORD MID SZ 2' BLUE,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Blue","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-07-ND,K-8846-024-07,Winchester Interconnect,PATCH CORD MID SZ 2' VIOLET,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Violet","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-08-ND,K-8846-024-08,Winchester Interconnect,PATCH CORD MID SZ 2' GRAY,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Gray","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-09-ND,K-8846-024-09,Winchester Interconnect,PATCH CORD MID SZ 2' WHITE,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","White","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcordmid.pdf,-,K-8846-024-10-ND,K-8846-024-10,Winchester Interconnect,PATCH CORD MID SZ 2' BLACK,0,0,"19.43000","0","1","KINGS® 8846","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Black","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-01-ND,K-9075-024-01,Winchester Interconnect,PATCH CORD MID SZ 2' BRN,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Brown","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-02-ND,K-9075-024-02,Winchester Interconnect,PATCH CORD MID SZ 2' RED,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Red","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-03-ND,K-9075-024-03,Winchester Interconnect,PATCH CORD MID SZ 2' ORANGE,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Orange","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-04-ND,K-9075-024-04,Winchester Interconnect,PATCH CORD MID SZ 2' YELLOW,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Yellow","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-05-ND,K-9075-024-05,Winchester Interconnect,PATCH CORD MID SZ 2' GREEN,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Green","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-06-ND,K-9075-024-06,Winchester Interconnect,PATCH CORD MID SZ 2' BLUE,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Blue","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-07-ND,K-9075-024-07,Winchester Interconnect,PATCH CORD MID SZ 2' VIOLET,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Violet","Unshielded","Patch"
https://www.winchesterelectronics.com/wp-content/uploads/2015/12/patchcord_mid_flex_K-9075.pdf,-,K-9075-024-08-ND,K-9075-024-08,Winchester Interconnect,PATCH CORD MID SZ 2' GRAY,0,0,"19.43000","0","1","KINGS® K-9075","Active","DIN (5.08mm Dia) Male to DIN (5.08mm Dia) Male","2.00' (609.60mm)","Round","Gray","Unshielded","Patch"
