Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Type","Current Rating (Amps)","Inductance","ET (Volt-Time)","Turns Ratio - Primary:Secondary","Current Ratio","DC Resistance (DCR)","Ratings","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
http://catalog.triadmagnetics.com/Asset/CST206-2A.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.1%20A%20SERIES.jpg,237-1098-ND,CST206-2A,Triad Magnetics,CURR SENSE XFMR 80A T/H,3278,2887,"7.04000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","80A","56mH","4000VµS","-","200:1","3.5Ohm Max","-","Through Hole","1.075"" L x 0.400"" W (27.31mm x 10.16mm)","1.225"" (31.12mm)","PC Pin"
http://catalog.triadmagnetics.com/Asset/CST206-1A.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/HIGH%20FREQUENCY%20%20FIG.1%20A%20SERIES.jpg,237-1096-ND,CST206-1A,Triad Magnetics,CURR SENSE XFMR 110A T/H,137,0,"7.04000","0","1","Bulk","CST","Active","20kHz ~ 200kHz","Non-Invasive (Solid Core)","110A","14mH","2000VµS","-","100:1","580mOhm Max","-","Through Hole","1.075"" L x 0.400"" W (27.31mm x 10.16mm)","1.225"" (31.12mm)","PC Pin"
http://productfinder.pulseeng.com/products/datasheets/P707.pdf,//media.digikey.com/photos/Pulse%20Photos/PA3209NL.jpg,553-2177-ND,PA3209NL,Pulse Electronics Power,CURR SENSE XFMR ROGOWSKI 1000A,520,0,"7.98000","0","1","Tray","Sidewinder®, PA32XXNL","Active","50/60Hz","Non-Invasive (Solid Core)","1000A","3mH","-","Rogowski Coil","-","42Ohm Max","-","Chassis Mount","2.240"" L x 2.098"" W (56.90mm x 53.30mm)","0.580"" (14.73mm)","Wire Leads"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8320-1600.jpg,582-1009-ND,CR8320-1600,CR Magnetics Inc.,CURR SENSE XFMR 10A T/H,4308,0,"8.66000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","10A","-","-","-","1600:1","95Ohm","-","Through Hole","0.764"" L x 0.323"" W (19.40mm x 8.20mm)","0.768"" (19.50mm)","PC Pin"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,//media.digikey.com/Photos/CR%20Magnetics%20Photos/CR8348-1000.jpg,582-1161-ND,CR8348-1000,CR Magnetics Inc.,CURR SENSE XFMR 20A T/H,1064,0,"10.50000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","20A","-","-","-","1000:1","24Ohm","-","Through Hole","0.925"" L x 0.433"" W (23.50mm x 11.00mm)","0.984"" (25.00mm)","PC Pin"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,"//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8349-1500,%20CR8349-2500-N.jpg",582-1012-ND,CR8349-1500,CR Magnetics Inc.,CURR SENSE XFMR 75A T/H,286,0,"11.20000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","75A","-","-","-","1500:1","80Ohm","-","Through Hole","1.024"" L x 0.670"" W (26.00mm x 17.00mm)","1.102"" (28.00mm)","PC Pin"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,"//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8348-2000,CR8348-2500-N.jpg",582-1010-ND,CR8348-2000,CR Magnetics Inc.,CURR SENSE XFMR 50A T/H,2669,0,"11.21000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","50A","-","-","-","2000:1","106Ohm","-","Through Hole","0.925"" L x 0.433"" W (23.50mm x 11.00mm)","0.984"" (25.00mm)","PC Pin"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8410-1000.jpg,582-1017-ND,CR8410-1000,CR Magnetics Inc.,CURR SENSE XFMR 20A IN-LINE,2617,0,"11.26000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","20A","-","-","-","1000:1","41Ohm","-","Free Hanging (In-Line)","1.094"" L x 0.866"" W (27.80mm x 22.00mm)","0.323"" (8.20mm)","Wire Leads"
http://www.crmagnetics.com/Products/Assets/ProductPDFs/CR8300%20Series.pdf,"//media.digikey.com/photos/CR%20Magnetics%20Photos/CR8348-2000,CR8348-2500-N.jpg",582-1011-ND,CR8348-2500-N,CR Magnetics Inc.,CURR SENSE XFMR 40A T/H,9330,0,"11.70000","0","1","Bulk","CR8300","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","40A","-","-","-","2500:1","134Ohm","-","Through Hole","0.925"" L x 0.433"" W (23.50mm x 11.00mm)","0.984"" (25.00mm)","PC Pin"
http://www.crmagnetics.com/Assets/ProductPDFs/CR8400%20Series.pdf,//media.digikey.com/Photos/CR%20Magnetics%20Photos/CR8448-2500-N.jpg,582-1174-ND,CR8448-2500-N,CR Magnetics Inc.,CURR SENSE XFMR 40A IN-LINE,701,0,"11.70000","0","1","Bulk","CR8400","Active","20Hz ~ 1kHz","Non-Invasive (Solid Core)","40A","-","-","-","2500:1","134Ohm","-","Free Hanging (In-Line)","1.160"" L x 0.922"" W (29.46mm x 23.42mm)","0.435"" (11.05mm)","Wire Leads"
