Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary","Power (Watts)","1st Connector","2nd Connector"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H34S-ND,DT651H34S,SolaHD,34KVA 460D-460Y SCR DRIVE,0,0,"1399.36000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H34S-ND,DT661H34S,SolaHD,34KVA 460D-230Y SCR DRIVE,0,0,"1399.36000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E3H15S-ND,E3H15S,SolaHD,15KVA 208D-208Y,0,0,"1421.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E79H15S-ND,E79H15S,SolaHD,15KVA 480D-380Y,0,0,"1421.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E81H15S-ND,E81H15S,SolaHD,15KVA 480D-480Y,0,0,"1421.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E84H15S-ND,E84H15S,SolaHD,15KVA 208D-480Y,0,0,"1421.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E85H15S-ND,E85H15S,SolaHD,15KVA 240D-480Y,0,0,"1421.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT631H40S-ND,DT631H40S,SolaHD,40KVA 575D-230Y SCR DRIVE,0,0,"1463.54000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H40S-ND,DT651H40S,SolaHD,40KVA 460D-460Y SCR DRIVE,0,0,"1463.54000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H40S-ND,DT661H40S,SolaHD,40KVA 460D-230Y SCR DRIVE,0,0,"1463.54000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E2H45S-ND,E2H45S,SolaHD,LVGP DOE2016 45KVA 480D-208Y,0,0,"1537.14000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-ES5H50S-ND,ES5H50S,SolaHD,50KVA 240X480-120/240 1PH,0,0,"1552.65000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E5H45-ND,E5H45,SolaHD,45KVA 480D-240DCT NO ESS,0,0,"1582.18000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E2H45-ND,E2H45,SolaHD,45KVA 480D-208Y NO ESS,0,0,"1585.43000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT631H51S-ND,DT631H51S,SolaHD,51KVA 575D-230Y SCR DRIVE,0,0,"1602.21000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT651H51S-ND,DT651H51S,SolaHD,51KVA 460D-460Y SCR DRIVE,0,0,"1602.21000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-drive-isolation-transformers-en-us-163704.pdf,-,2106-DT661H51S-ND,DT661H51S,SolaHD,51KVA 460D-230Y SCR DRIVE,0,0,"1602.21000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E6H15S-ND,E6H15S,SolaHD,15KVA 240D-208Y,0,0,"1664.40000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-ES12H25S-ND,ES12H25S,SolaHD,25KVA 120//277-120/240,0,0,"1665.44000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E5H45S-ND,E5H45S,SolaHD,LVGP DOE2016 45KVA 480D-240DCT,0,0,"1671.77000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164090/d00b8249206ca0c32f19a78f7959db95/shdcat-low-temp-rise-data.pdf,-,2106-E2HF15S-ND,E2HF15S,SolaHD,15KVA 480D-208Y 115C,0,0,"1698.81000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-low-temperature-rise-transformers-en-us-164090.pdf,-,2106-ES5HF25S-ND,ES5HF25S,SolaHD,25KVA 240X480-120/240 115C,0,0,"1734.85000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E3H30S-ND,E3H30S,SolaHD,30KVA 208D-208Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E6H30S-ND,E6H30S,SolaHD,30KVA 240D-208Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E79H30S-ND,E79H30S,SolaHD,30KVA 480D-380Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E81H30S-ND,E81H30S,SolaHD,LVGP 2016 XMFR 30KVA 480D-480Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E84H30S-ND,E84H30S,SolaHD,30KVA 208D-480Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
https://www.emerson.com/documents/automation/catalog-solahd-general-purpose-transformers-en-us-175176.pdf,-,2106-E85H30S-ND,E85H30S,SolaHD,30KVA 240D-480Y,0,0,"1763.06000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164090/d00b8249206ca0c32f19a78f7959db95/shdcat-low-temp-rise-data.pdf,-,2106-E2HB15S-ND,E2HB15S,SolaHD,15KVA 480D-208Y 80C,0,0,"1765.54000","0","1","*","Active","-","-","-","-","-","-"
http://www.emerson.com/resource/blob/164090/d00b8249206ca0c32f19a78f7959db95/shdcat-low-temp-rise-data.pdf,-,2106-E5HF15S-ND,E5HF15S,SolaHD,15KVA 480D-240DCT 115C,0,0,"1783.50000","0","1","*","Active","-","-","-","-","-","-"
