Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Inductance","For Use With/Related Products","Mounting Type","Size / Dimension","Height - Seated (Max)"
http://productfinder.pulseeng.com/products/datasheets/P774.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PH9400.jpg,553-3354-1-ND,PH9400.111ANLT,Pulse Electronics Power,XFMR GATE DRIVE SIDE CAR SMT,2144,0,"5.52000","0","1","PH9400","Active","1.21mH","-","Surface Mount","0.657"" L x 0.500"" W (16.70mm x 12.70mm)","0.559"" (14.20mm)"
http://productfinder.pulseeng.com/products/datasheets/P774.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_PH9400.jpg,553-3354-6-ND,PH9400.111ANLT,Pulse Electronics Power,XFMR GATE DRIVE SIDE CAR SMT,2144,0,"Digi-Reel","0","1","PH9400","Active","1.21mH","-","Surface Mount","0.657"" L x 0.500"" W (16.70mm x 12.70mm)","0.559"" (14.20mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-1269-5-ND,78253/55MVC,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 SMD,9274,0,"3.43000","0","1","78253","Not For New Designs","240µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78250.pdf,//media.digikey.com/Photos/Murata%20Photos/78250S-SERIES.jpg,811-1275-5-ND,78250MVC,Murata Power Solutions Inc.,XFRMR MAX250 4KVDC 2.5 MH SMD,5513,0,"3.43000","0","1","78250","Not For New Designs","2mH","MAX250, MAX251","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253S-SERIES.jpg,811-2645-ND,78253/35MVC,Murata Power Solutions Inc.,MAX 253 TX 4KVDC 3.3V IN 5V OUT,2575,0,"3.43000","0","1","78253","Not For New Designs","142µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253.pdf,//media.digikey.com/Photos/Murata%20Photos/78253T-SERIES.jpg,811-1268-5-ND,78253/55VC,Murata Power Solutions Inc.,XFRMR 5V IN/OUT MAX 253 DIP,1293,0,"3.43000","0","1","78253","Active","240µH","MAX253","Through Hole","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
https://www.murata-ps.com/data/magnetics/kmp_78253j.pdf,//media.digikey.com/Photos/Murata%20Photos/DA103MC.JPG,811-2414-ND,78253/35JVC,Murata Power Solutions Inc.,XFRMR 1:2.14 4KV SMD MAX253,645,0,"3.43000","0","1","78253J","Active","360µH","MAX253","Surface Mount","0.354"" L x 0.375"" W (9.00mm x 9.52mm)","0.260"" (6.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/PE-65x12_Rev2006.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-65612NL.JPG,553-1580-5-ND,PE-65612NL,Pulse Electronics Network,TRANSFORMER 1:1 2000VRMS,603,0,"4.79000","0","1","-","Active","2.5mH","CS8401, CS8402, CS8403, CS8404 Audio Transmitters","Through Hole","0.500"" L x 0.350"" W (12.70mm x 8.89mm)","0.250"" (6.35mm)"
http://www.newava.com/wp-content/uploads/2018/11/S22160.pdf,//media.digikey.com/photos/Newava%20Technologies%20Photos/S22160.jpg,470-1004-ND,S22160,Newava Technology Inc.,"TRANSFORMER FOR CS 8401,2:8411",2794,0,"5.49000","0","1","-","Active","225µH","CS8401, 8402, 8411 & 8412","Through Hole","0.385"" L x 0.650"" W (9.78mm x 16.51mm)","0.250"" (6.35mm)"
http://www.excelitas.com/downloads/ZS1031-11H.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/ZS1031-11%28H%29.JPG,ZS1031-11(H)-ND,ZS1031-11(H),Excelitas Technologies,TRIGGER COIL,1221,0,"18.15000","0","1","-","Active","11µH","Xenon Flash","Through Hole","0.630"" Dia (16.00mm)","-"
