Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications"
http://advdownload.advantech.com/productfile/PIS/PCM-9375/Product%20-%20Datasheet/PCM-9375_DS(03.21.18)20180321173256.pdf,-,1703200201-ND,1703200201,Advantech Corp,ATX POWER CONTROL CABLE,0,0,"9.31000","0","1","-","Active","Power Cord","Power Cable, ATX"
http://downloadt.advantech.com/ProductFile/PIS/AIMB-582/Product%20-%20Datasheet/AIMB-582_DS(01.15.14)20140122143139.pdf,-,1950014302N001-ND,1950014302N001,Advantech Corp,SPECIAL BRACKET AIMB-RP3P8-12A1E,0,0,"9.36000","0","1","-","Active","Hardware","Riser Card Bracket"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/VL-CBR-0501.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-CBR-0501.jpg,1241-1058-ND,VL-CBR-0501,VersaLogic Corporation,QTY 2 USB TRANSITION CABLES,0,0,"9.37500","0","10","-","Active","Cable","USB Channel 3 and 4 Transition Cable"
http://downloadt.advantech.com/download/downloadlit.aspx?LIT_ID=1-241KPJ,-,1700002204-ND,1700002204,Advantech Corp,USB CABLE W/2 PORTS 27CM,0,0,"10.53000","0","1","-","Active","Cable","USB Cable, 27cm"
-,-,EDMHSCP12200501-ND,EDMHSCP12200501,TechNexion,ACCY 12MM HTSINK 20MM THERM PAD,0,0,"10.64000","0","1","-","Active","Heat Sink","EDM Compact 12mm Passive Heat Sink"
http://advdownload.advantech.com/productfile/Downloadfile/1-150B8J/1701340700_ds.pdf,-,1703100260-ND,1703100260,Advantech Corp,USB CABLE INTERNAL,0,0,"10.64000","0","1","-","Active","Cable","USB Cable"
//media.digikey.com/pdf/Data%20Sheets/SolidRun%20PDFs/HBPO220_Spec.pdf,//media.digikey.com/Photos/SolidRun/MFG_HBPO220.jpg,PA00011-ND,PA00011,SolidRun LTD,POWER ADAPTER 5VDC 2A EURO,0,0,"10.64000","0","1","-","Active","Switching Power Supply","100 ~ 240VAC 50/60Hz, 5VDC, 2A"
//media.digikey.com/pdf/Data%20Sheets/SolidRun%20PDFs/HBPO110_Spec.pdf,//media.digikey.com/Photos/SolidRun/MFG_HBPO110.jpg,PA00010-ND,PA00010,SolidRun LTD,POWER ADAPTER 5VDC 2A US,0,0,"10.64000","0","1","-","Active","Switching Power Supply","100 ~ 240VAC 50/60Hz, 5VDC, 2A"
//media.digikey.com/pdf/Data%20Sheets/SolidRun%20PDFs/PO220-3_Spec.pdf,//media.digikey.com/Photos/SolidRun/MFG_PowerAdapter.jpg,PA00001-ND,PA00001,SolidRun LTD,POWER ADAPTER 5VDC 3A EURO,0,0,"10.64000","0","1","-","Active","Switching Power Supply","100 ~ 240VAC 50/60Hz, 5VDC, 3A"
//media.digikey.com/pdf/Data%20Sheets/SolidRun%20PDFs/PO220_Spec.pdf,//media.digikey.com/Photos/SolidRun/MFG_PowerAdapter.jpg,PO220-ND,PO220,SolidRun LTD,POWER ADAPTER 5VDC 2A EURO,0,0,"10.64000","0","1","-","Active","Switching Power Supply","100 ~ 240VAC 50/60Hz, 5VDC, 2A"
