Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Edition","License Length","License - User Details","Operating System","For Use With/Related Products","Media Delivery Type"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWA-BASIC-FL.JPG,CWA-BASIC-FL-ND,CWA-BASIC-FL,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW BASIC,1,0,"429.76000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Basic","1 Year","Floating Node","Linux, Windows","Code Warrior™ Software","USB Flash Drive"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CodeWarrior.jpg,CWT-STANDARD-ND,CWT-STANDARD,NXP USA Inc.,SUPPORT TECH CW CODE WARRIOR STD,1,0,"538.56000","0","1","CodeWarrior™","Active","Tech Support","Programming","Standard","1 Year Renewal","-","-","Code Warrior™ Software","-"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWA-STANDARD-FL.JPG,CWA-STANDARD-FL-ND,CWA-STANDARD-FL,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW STD,1,0,"1057.19000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Standard","1 Year","Floating Node","-","Code Warrior™ Software","USB Flash Drive"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWA-PRO-NL.jpg,CWA-PRO-NL-ND,CWA-PRO-NL,NXP USA Inc.,SOFTWARE TECH SUPPORT BUNDLE,1,0,"2119.69000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Professional","1 Year","Fixed Node","Windows XP, 7","Code Warrior™ Software","USB Flash Drive"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CWA-PRO-FL.JPG,CWA-PRO-FL-ND,CWA-PRO-FL,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW PRO,1,0,"2119.69000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Professional","1 Year","Floating Node","Windows XP, 7","Code Warrior™ Software","USB Flash Drive"
http://cache.freescale.com/files/soft_dev_tools/doc/fact_sheet/BRCWPPI.pdf,//media.digikey.com/Photos/Freescale%20Photos/CodeWarrior.jpg,CWA-PRO-R-ND,CWA-PRO-R,NXP USA Inc.,SOFTWARE SUPPORT ANNUAL CW PRO,1,0,"2119.69000","0","1","CodeWarrior™","Active","Integrated Development Environment (IDE)","Programming","Professional","1 Year Renewal","-","-","Code Warrior™ Software","-"
-,//media.digikey.com/Photos/Keil%20Photos/MFG_KEIL.jpg,MDKPL-KD-40001-ND,MDKPL-KD-40001,ARM,MDK-PLUS FLEX FLOATING TERM,0,0,"3170.02000","0","1","-","Active","Integrated Development Environment (IDE)","Programming","Plus","1 Year","Floating Node","Windows Vista, 7, 8 10","ARM®","Electronically Delivered"
https://versalogic.com/Products/PDF/DS-VersaViewer.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-DEV-USB-VV1.JPG,1241-1413-ND,VL-DEV-USB-VV1,VersaLogic Corporation,VERSAVIEWER SOFTWARE USB DRIVE,4,0,"10.00000","0","1","-","Active","Management","Diagnostic","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/Screenly_Software_SD_Cards_Pro_OSE_Web.pdf,//media.digikey.com/Photos/Pi-Supply/PIS-0191.jpg,1910-1078-ND,PIS-0191,Pi Supply,SCREENLY SOFTWARE SD CARDS PRO,25,0,"11.19000","0","1","Screenly","Active","Preloaded","Digital Signage","Professional","-","-","-","Raspberry Pi","SD/microSD/MMC Card"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/Screenly_Software_SD_Cards_Pro_OSE_Web.pdf,//media.digikey.com/Photos/Pi-Supply/PIS-0191.jpg,1910-1079-ND,PIS-0192,Pi Supply,SCREENLY SOFTWARE SD CARDS OSE,22,0,"11.19000","0","1","Screenly","Active","Preloaded","Digital Signage","Open Source","-","-","-","Raspberry Pi","SD/microSD/MMC Card"
