Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,1754-M12L-05BMMM-SL8H05-ND,M12L-05BMMM-SL8H05,Amphenol LTW,M12 L CODE CABLE 5P M CONN M PIN,0,0,"Active","0","0","*","Active"
-,-,863-2044-ND,SKY12245-492EK1,Skyworks Solutions Inc.,EVAL BOARD FOR SKY12245-492EKI,0,0,"Active","0","0","*","Active"
-,-,445-181634-2-ND,DEA105150HT-8044A1,TDK Corporation,MULTILAYER HIGH PASS FILTER FOR,0,0,"Active","0","0","*","Active"
-,-,445-181635-2-ND,DEA202025LT-5052C1,TDK Corporation,MULTILAYER LOW PASS FILTER FOR 1,0,0,"Active","0","0","*","Active"
-,-,445-181637-2-ND,DEA162170LT-5039A5,TDK Corporation,MULTILLAYER LOWER PASS FILTER FO,0,0,"Active","0","0","*","Active"
-,-,445-181643-2-ND,DPX165850DT-8086A1,TDK Corporation,MULTILAYER DIPLEXER FOR 698 - 26,0,0,"Active","0","0","*","Active"
-,-,445-181635-1-ND,DEA202025LT-5052C1,TDK Corporation,MULTILAYER LOW PASS FILTER FOR 1,0,0,"Active","0","0","*","Active"
-,-,445-181637-1-ND,DEA162170LT-5039A5,TDK Corporation,MULTILLAYER LOWER PASS FILTER FO,0,0,"Active","0","0","*","Active"
-,-,445-181638-1-ND,DEA202170LT-5071A1,TDK Corporation,MULTILAYER LOW PASS FILTER FOR 6,0,0,"Active","0","0","*","Active"
-,-,445-181639-1-ND,DEA203600BT-2224A1-H,TDK Corporation,MULTILAYER BAND PASS FILTER FOR,0,0,"Active","0","0","*","Active"
-,-,445-181639-2-ND,DEA203600BT-2224A1-H,TDK Corporation,MULTILAYER BAND PASS FILTER FOR,0,0,"Active","0","0","*","Active"
-,-,445-181641-2-ND,TPX253600MT-7019B2,TDK Corporation,MULTILAYER TRIPLEXER FOR 698 - 9,0,0,"Active","0","0","*","Active"
-,-,445-181634-1-ND,DEA105150HT-8044A1,TDK Corporation,MULTILAYER HIGH PASS FILTER FOR,0,0,"Active","0","0","*","Active"
-,-,445-181642-2-ND,TPX255850MT-7025A1,TDK Corporation,MULTILAYER TRIPLEXER FOR 1447 -,0,0,"Active","0","0","*","Active"
-,-,445-181644-2-ND,DPX165950DT-8145A1,TDK Corporation,MULTILAYER DIPLEXER FOR 2400 - 2,0,0,"Active","0","0","*","Active"
-,-,445-181636-1-ND,HHM1944A1,TDK Corporation,MULTILAYER BALUN FOR 758 - 821MH,0,0,"Active","0","0","*","Active"
-,-,445-181640-2-ND,TPX252690MT-7029A1,TDK Corporation,MULTILAYER TRIPLEXER FOR 698 - 9,0,0,"Active","0","0","*","Active"
-,-,445-181645-2-ND,DPX205850DT-9043B1BR,TDK Corporation,MULTILAYER DIPLEXER FOR 2400 - 2,0,0,"Active","0","0","*","Active"
-,-,445-181638-2-ND,DEA202170LT-5071A1,TDK Corporation,MULTILAYER LOW PASS FILTER FOR 6,0,0,"Active","0","0","*","Active"
-,-,MM5Z3V9T5G-ND,MM5Z3V9T5G,ON Semiconductor,DIODE ZENER SOD523,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLU3G16DMUTCG-ND,NLU3G16DMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,HBL21000WP-ND,HBL21000WP,ON Semiconductor,IC ESD PROTECTION SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,NLX1G57CMUTCG-ND,NLX1G57CMUTCG,ON Semiconductor,IC LOGIC SMD,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MMBZ5231BLT1H-ND,MMBZ5231BLT1H,ON Semiconductor,DIODE ZENER SOT23,0,0,"Last Time Buy","0","0","*","Last Time Buy"
-,-,MM5Z16VMT5G-ND,MM5Z16VMT5G,ON Semiconductor,DIODE ZENER SOD523,0,0,"Last Time Buy","0","0","*","Last Time Buy"
