Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance Range","Adjustment Type","Voltage - Rated","Dielectric Material","Q @ Freq","Size / Dimension","Height - Seated (Max)","Operating Temperature","Mounting Type","Features"
http://media.wix.com/ugd/d86717_d77c5f8ea1b841218f3c83ea14835fd0.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GZC10103.jpg,SG9119-ND,GZC10103,Sprague-Goodman,CAP TRIMMER 9-100PF 100V TH,4998,0,"9.03000","0","1","Bulk","FILMTRIM®","Active","9 ~ 100pF","Top and Bottom","100V","Polycarbonate (PC)","200 @ 1MHz","0.433"" L x 0.374"" W (11.00mm x 9.50mm)","0.449"" (11.40mm)","-40°C ~ 85°C","Through Hole","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,//media.digikey.com/Photos/Johanson-Manufacturing/9402-1.jpg,1956-1076-ND,9402-1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,1999,0,"9.05000","0","1","Bulk","Thin-Trim®","Active","1 ~ 5pF","Top","250V","-","1000 @ 100MHz","0.141"" Dia (3.58mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,//media.digikey.com/Photos/Johanson-Manufacturing/9402-2.jpg,1956-1079-ND,9402-2,Johanson Manufacturing,CAP TRIMMER 2.5-10PF 250V SMD,312,0,"9.05000","0","1","Bulk","Thin-Trim®","Active","2.5 ~ 10pF","Top","250V","-","1000 @ 100MHz","0.141"" Dia (3.58mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,//media.digikey.com/Photos/Johanson-Manufacturing/9402-0SL-1.jpg,1956-1078-ND,9402-0SL-1,Johanson Manufacturing,CAP TRIMMER 0.5-2.5PF 250V SMD,959,0,"9.36000","0","1","Bulk","Thin-Trim®","Active","0.5 ~ 2.5pF","Top","250V","-","3000 @ 100MHz","0.141"" Dia (3.58mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,//media.digikey.com/Photos/Johanson-Manufacturing/9402-1SL-1.jpg,1956-1084-ND,9402-1SL-1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,314,0,"9.36000","0","1","Bulk","Thin-Trim®","Active","1 ~ 5pF","Top","250V","-","1000 @ 100MHz","0.141"" Dia (3.58mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,-,1956-1070-ND,9401-0SL-1,Johanson Manufacturing,CAP TRIMMER 0.25-0.7PF 250V SMD,543,0,"9.77000","0","1","Bulk","Thin-Trim®","Active","0.25 ~ 0.7pF","Top","250V","-","1000 @ 100MHz","0.150"" Dia (3.81mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,-,1956-1074-ND,9401-1SL-1,Johanson Manufacturing,CAP TRIMMER 0.5-1.3PF 250V SMD,214,0,"9.77000","0","1","Bulk","Thin-Trim®","Active","0.5 ~ 1.3pF","Top","250V","-","1000 @ 100MHz","0.150"" Dia (3.81mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,-,1956-1068-ND,9702-1,Johanson Manufacturing,CAP TRIMMER 1-5PF 250V SMD,500,0,"9.86000","0","1","Bulk","Thin-Trim®","Active","1 ~ 5pF","Top","250V","Ceramic","1000 @ 100MHz","0.145"" Dia (3.68mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
http://www.johansonmfg.com/media/pdf/Thin-Trim.pdf,-,1956-1064-ND,9702-2,Johanson Manufacturing,CAP TRIMMER 2.5-10PF 250V SMD,483,0,"9.86000","0","1","Bulk","Thin-Trim®","Active","2.5 ~ 10pF","Top","250V","Ceramic","1000 @ 100MHz","0.145"" Dia (3.68mm)","0.040"" (1.02mm)","-55°C ~ 125°C","Surface Mount","General Purpose"
//media.digikey.com/pdf/Data%20Sheets/Sprague-Goodman%20PDFs/GXEyy000NM_Dwg.pdf,//media.digikey.com/Photos/Sprague-Goodman%20Photos/GXE9R000NM.JPG,SG9140-ND,GXE9R000NM,Sprague-Goodman,CAP TRIMMER 1.8-9PF 200V TH,1439,0,"9.99000","0","1","Bulk","GXE","Active","1.8 ~ 9pF","Top and Bottom","200V","Polytetrafluoroethylene (PTFE)","1500 @ 1MHz","0.335"" L x 0.295"" W (8.50mm x 7.50mm)","0.402"" (10.20mm)","-40°C ~ 125°C","Through Hole","Non-Magnetic"
