Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Breakdown","ESR (Equivalent Series Resistance)","ESL (Equivalent Series Inductance)","Applications","Features","Operating Temperature","Package / Case","Height","Size / Dimension"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1044-2-ND,RFCS04021500BJTTS,Vishay Electro-Films,CAP SILICON 15PF 5% 16V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","15pF","±5%","16V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1050-2-ND,RFCS04021800CBTTS,Vishay Electro-Films,CAP SILICON 1.8PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","1.8pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1051-2-ND,RFCS04022000DBTT1,Vishay Electro-Films,CAP SILICON 0.2PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","0.2pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1037-2-ND,RFCS04021000CBTT1,Vishay Electro-Films,CAP SILICON 1PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","1pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1037-1-ND,RFCS04021000CBTT1,Vishay Electro-Films,CAP SILICON 1PF 50V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","1pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1037-6-ND,RFCS04021000CBTT1,Vishay Electro-Films,CAP SILICON 1PF 50V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","1pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1041-2-ND,RFCS04021200CBTT1,Vishay Electro-Films,CAP SILICON 1.2PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","1.2pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1041-1-ND,RFCS04021200CBTT1,Vishay Electro-Films,CAP SILICON 1.2PF 50V 0402,0,0,"Obsolete","0","1","Cut Tape (CT)","RFCS","Obsolete","1.2pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1041-6-ND,RFCS04021200CBTT1,Vishay Electro-Films,CAP SILICON 1.2PF 50V 0402,0,0,"Digi-Reel","0","1","Digi-Reel®","RFCS","Obsolete","1.2pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
http://www.vishay.com/docs/61090/rfcs.pdf,//media.digikey.com/Renders/Vishay%20Electro-Films/RFCS%20Series%200402.jpg,909-1045-2-ND,RFCS04021500CBTT1,Vishay Electro-Films,CAP SILICON 1.5PF 50V 0402,0,0,"Obsolete","0","1000","Tape & Reel (TR)","RFCS","Obsolete","1.5pF","±0.1pF","50V","-","-","-","-","-55°C ~ 125°C","0402 (1005 Metric)","0.016"" (0.41mm)","0.040"" L x 0.020"" W (1.02mm x 0.51mm)"
