Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Number of Capacitors","Circuit Type","Temperature Coefficient","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-10025-1-ND,CA064C100K5GAC7800,KEMET,CAP ARRAY 10PF 50V NP0 0612,8275,0,"0.60000","0","1","Cut Tape (CT)","-","Active","10pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-10025-6-ND,CA064C100K5GAC7800,KEMET,CAP ARRAY 10PF 50V NP0 0612,8275,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","10pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9419-2-ND,CA064C330K5GACTU,KEMET,CAP ARRAY 33PF 50V NP0 0612,4000,0,"0.13580","0","4000","Tape & Reel (TR)","-","Active","33pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9419-1-ND,CA064C330K5GACTU,KEMET,CAP ARRAY 33PF 50V NP0 0612,6191,0,"0.60000","0","1","Cut Tape (CT)","-","Active","33pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/COG_Dielectric_Rev_Mar_2015.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9419-6-ND,CA064C330K5GACTU,KEMET,CAP ARRAY 33PF 50V NP0 0612,6191,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","33pF","±10%","50V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/X7R_Dielectric_10-200V_Rev_Nov2013.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9415-2-ND,CA064C102K5RACTU,KEMET,CAP ARRAY 1000PF 50V X7R 0612,8000,0,"0.13613","0","4000","Tape & Reel (TR)","-","Active","1000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/X7R_Dielectric_10-200V_Rev_Nov2013.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9415-1-ND,CA064C102K5RACTU,KEMET,CAP ARRAY 1000PF 50V X7R 0612,9796,0,"0.61000","0","1","Cut Tape (CT)","-","Active","1000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/X7R_Dielectric_10-200V_Rev_Nov2013.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9415-6-ND,CA064C102K5RACTU,KEMET,CAP ARRAY 1000PF 50V X7R 0612,9796,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-7583-2-ND,W2A45C103M4T2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,4000,0,"0.15428","0","4000","Tape & Reel (TR)","IPC","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.051"" L x 0.083"" W (1.30mm x 2.10mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-7583-1-ND,W2A45C103M4T2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,7950,0,"0.69000","0","1","Cut Tape (CT)","IPC","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.051"" L x 0.083"" W (1.30mm x 2.10mm)","0.037"" (0.94mm)"
