Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Operating Temperature","Mounting Type","Package / Case","Lead Spacing","Features","Size / Dimension","Height - Seated (Max)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD%2015%20SERIES.jpg,338-1045-ND,CD15FD331JO3,Cornell Dubilier Electronics (CDE),CAP MICA 330PF 5% 500V RADIAL,4064,400,"3.41000","0","1","Bulk","CD15","Active","330pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.469"" L x 0.209"" W (11.90mm x 5.30mm)","0.390"" (9.90mm)"
http://www.cde.com/resources/catalogs/MCM-MIN.pdf,"//media.digikey.com/photos/Cornell%20Dubilier%20Photos/MIN02-002C,CC,DC%20SERIES%20YELLOW%20HIGHLIGHT.jpg",338-1301-ND,MIN02-002DC470J-F,Cornell Dubilier Electronics (CDE),CAP MICA 47PF 5% 300V SMD,1850,400,"3.53000","0","1","Bulk","MIN","Active","47pF","±5%","300V","Mica","-55°C ~ 200°C","Surface Mount","Nonstandard SMD","-","RF, High Frequency","0.218"" L x 0.400"" W (5.54mm x 10.16mm)","-"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD%20SERIES.jpg,338-2885-ND,CD19FD501FO3,Cornell Dubilier Electronics (CDE),CAP MICA 500PF 1% 500V RADIAL,149,0,"3.72000","0","1","Bulk","CD19","Active","500pF","±1%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.642"" L x 0.201"" W (16.30mm x 5.10mm)","0.512"" (13.00mm)"
http://www.cde.com/resources/catalogs/MINI-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD5EC300JO3F.jpg,338-2628-ND,CD5FC101JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 5% 300V RADIAL,738,4700,"3.75000","0","1","Bulk","CD5","Active","100pF","±5%","300V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.118"" (3.00mm)","General Purpose","0.272"" L x 0.181"" W (6.90mm x 4.60mm)","0.240"" (6.10mm)"
http://www.cde.com/resources/catalogs/CD-CDV16.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CDV16F.jpg,338-3116-ND,CDV16FF821JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 820PF 5% 1KV RADIAL,412,300,"3.75000","0","1","Bulk","CDV16","Active","820pF","±5%","1kV","Mica","-55°C ~ 150°C","Through Hole","Radial","0.232"" (5.90mm)","RF, High Q, Low Loss","0.461"" L x 0.173"" W (11.70mm x 4.40mm)","0.500"" (12.70mm)"
http://www.cde.com/resources/catalogs/MC.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/338-2220(5750).jpg,338-1348-ND,MC22FF101J-F,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 5% 1KV 2220,2637,6200,"3.83000","0","1","Bulk","MC","Active","100pF","±5%","1kV","Mica","-55°C ~ 125°C","Surface Mount","2220 (5750 Metric)","-","RF, High Q, Low Loss","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","0.157"" (4.00mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD%20SERIES.jpg,338-1044-ND,CD19FD102JO3,Cornell Dubilier Electronics (CDE),CAP MICA 1000PF 5% 500V RADIAL,368,2150,"3.84000","0","1","Bulk","CD19","Active","1000pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.650"" L x 0.220"" W (16.50mm x 5.60mm)","0.520"" (13.20mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2673-ND,CD15FC561JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 560PF 5% 300V RADIAL,1939,5900,"3.85000","0","1","Bulk","CD15","Active","560pF","±5%","300V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.461"" L x 0.209"" W (11.70mm x 5.30mm)","0.382"" (9.70mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD15ED680FO3F.jpg,338-2601-ND,CD15FD391JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 390PF 5% 500V RADIAL,559,11000,"3.88000","0","1","Bulk","CD15","Active","390pF","±5%","500V","Mica","-55°C ~ 125°C","Through Hole","Radial","0.232"" (5.90mm)","General Purpose","0.469"" L x 0.209"" W (11.90mm x 5.30mm)","0.390"" (9.90mm)"
http://www.cde.com/resources/catalogs/STD-DIPPED.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/CD19FD182FO3F.jpg,338-3132-ND,CDV19FF101JO3F,Cornell Dubilier Electronics (CDE),CAP MICA 100PF 5% 1KV RADIAL,11516,9800,"3.91000","0","1","Bulk","CDV19","Active","100pF","±5%","1kV","Mica","-55°C ~ 125°C","Through Hole","Radial","0.343"" (8.70mm)","General Purpose","0.642"" L x 0.189"" W (16.30mm x 4.80mm)","0.500"" (12.70mm)"
